SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Sunbury,45,57,345,254,253,443,0,21,61,108,1596
Sunbury - South,136,149,773,583,705,1025,5,45,120,233,3779
Broadmeadows,94,34,295,221,215,506,0,178,96,266,1909
Campbellfield - Coolaroo,86,29,263,252,215,677,7,199,113,219,2061
Gladstone Park - Westmeadows,93,77,477,340,303,679,7,44,85,172,2265
Greenvale - Bulla,126,63,563,337,255,574,0,63,89,127,2192
Meadow Heights,48,33,251,258,243,638,4,238,115,222,2048
Melbourne Airport,0,0,5,0,0,0,0,0,0,8,24
Roxburgh Park - Somerton,147,80,553,413,347,930,6,307,141,240,3167
Tullamarine,62,39,244,152,137,253,0,25,32,91,1034
Craigieburn - Central,86,30,175,181,175,384,6,56,64,109,1255
Craigieburn - North,190,55,436,323,258,564,0,54,84,138,2108
Craigieburn - South,221,53,543,377,343,753,8,124,103,164,2687
Craigieburn - West,315,73,718,430,375,747,0,109,113,183,3057
Mickleham - Yuroke,41,26,122,106,100,144,0,17,20,35,607
Bayswater,164,71,499,270,268,371,0,39,67,111,1869
Knoxfield - Scoresby,198,84,693,257,235,441,3,21,63,93,2085
Lysterfield,47,29,225,125,91,173,0,8,16,45,757
Rowville - Central,200,73,616,291,243,475,0,21,52,79,2048
Rowville - North,120,46,340,154,107,198,0,13,22,41,1043
Rowville - South,110,40,434,208,140,294,0,13,37,52,1327
Wantirna,207,76,632,241,184,344,0,15,50,86,1834
Wantirna South,278,91,730,276,191,372,0,42,41,57,2083
Boronia,232,132,876,531,457,694,0,64,98,240,3331
Ferntree Gully (North),145,84,516,318,292,436,0,23,61,106,1973
Ferntree Gully (South) - Upper Ferntree Gully,139,79,536,326,309,464,0,30,58,100,2038
The Basin,25,37,163,99,90,116,0,17,12,29,589
Donvale - Park Orchards,200,97,700,201,107,253,0,12,44,88,1704
Warrandyte - Wonga Park,82,51,315,126,89,179,0,9,22,48,928
Bayswater North,94,96,411,297,264,371,0,22,45,112,1718
Croydon Hills - Warranwood,164,123,737,325,250,382,0,11,40,88,2129
Ringwood,330,137,876,360,312,514,0,68,94,153,2842
Ringwood East,319,172,977,384,301,490,0,59,96,129,2918
Ringwood North,97,60,419,151,117,219,0,16,34,48,1159
Croydon - East,177,105,635,370,346,558,0,79,86,169,2511
Croydon - West,141,91,538,234,242,377,0,34,56,99,1812
Croydon South,51,36,228,110,89,138,0,12,24,38,723
Forest Hill,237,81,578,166,88,231,0,22,33,63,1503
Mitcham (Vic.),394,158,1074,274,162,367,0,21,54,119,2626
Nunawading,259,119,685,219,108,267,3,21,41,107,1836
Vermont,227,67,542,166,85,243,0,8,42,56,1439
Vermont South,228,38,497,138,65,220,0,7,23,33,1248
Belgrave - Selby,100,77,388,203,157,237,0,19,27,76,1290
Chirnside Park,42,42,282,213,229,314,0,26,38,57,1235
Healesville - Yarra Glen,51,63,350,275,288,381,4,41,55,137,1646
Kilsyth,54,51,232,213,256,327,3,26,47,75,1289
Lilydale - Coldstream,94,95,521,418,466,657,4,41,74,137,2507
Monbulk - Silvan,32,30,158,97,102,150,0,12,12,41,648
Montrose,50,37,218,126,138,191,0,9,21,52,842
Mooroolbark,148,116,723,521,542,742,0,84,97,159,3140
Mount Dandenong - Olinda,120,82,342,156,136,187,0,8,30,76,1144
Mount Evelyn,44,61,288,229,221,298,0,26,37,80,1284
Upwey - Tecoma,100,71,372,215,165,264,0,15,27,63,1289
Wandin - Seville,28,26,186,153,202,265,0,10,40,58,968
Yarra Valley,39,73,248,307,406,537,5,49,68,160,1892
Beaconsfield - Officer,109,90,473,393,335,459,0,14,71,93,2042
Bunyip - Garfield,26,26,168,138,191,258,0,20,32,76,927
Emerald - Cockatoo,98,88,511,355,371,504,0,36,60,171,2177
Koo Wee Rup,9,33,106,152,197,289,0,25,36,89,942
Pakenham - North,121,82,510,489,735,882,6,83,102,238,3240
Pakenham - South,222,116,828,724,917,1290,3,117,178,275,4671
Berwick - North,196,100,763,426,368,613,0,26,96,121,2715
Berwick - South,365,151,1082,692,532,947,0,62,124,191,4157
Doveton,66,21,255,207,203,454,6,91,123,164,1592
Hallam,94,28,276,231,191,388,0,83,105,102,1500
Narre Warren North,40,24,216,108,99,179,0,13,30,45,756
Endeavour Hills - North,97,41,396,248,189,400,0,38,68,97,1579
Endeavour Hills - South,151,45,443,271,219,404,0,36,65,110,1758
Narre Warren - North East,108,60,394,306,269,475,0,30,83,87,1805
Narre Warren - South West,141,51,410,356,322,552,0,56,89,130,2125
Cranbourne,108,60,392,457,547,831,3,105,148,246,2894
Cranbourne East,370,140,1244,878,755,1188,6,75,175,285,5130
Cranbourne North,229,90,710,560,511,886,5,119,118,240,3463
Cranbourne South,35,38,232,192,210,343,0,15,44,88,1184
Cranbourne West,210,70,537,466,558,728,6,73,112,192,2952
Hampton Park - Lynbrook,199,54,601,527,543,1015,7,200,226,339,3713
Lynbrook - Lyndhurst,295,60,754,394,303,622,0,79,129,178,2815
Pearcedale - Tooradin,24,18,160,162,192,279,0,22,35,82,967
Narre Warren South (East),104,55,383,281,241,476,0,38,93,94,1764
Narre Warren South (West),134,67,466,389,376,718,3,80,175,164,2576
Clarinda - Oakleigh South,157,45,422,212,143,311,0,25,58,77,1447
Clayton South,328,45,683,258,131,409,0,41,74,147,2123
Dandenong,345,66,862,579,484,1131,11,316,376,506,4677
Dandenong North,179,83,669,424,376,743,9,110,183,219,2998
Dingley Village,90,52,350,204,116,239,0,13,28,52,1147
Keysborough,368,111,1075,483,339,1023,10,198,187,220,4015
Noble Park North,60,29,249,137,123,288,0,39,42,64,1036
Springvale,253,48,722,394,224,868,3,218,212,266,3202
Springvale South,81,34,326,211,157,573,3,186,119,115,1821
Noble Park - East,229,39,545,338,192,495,4,89,101,174,2199
Noble Park - West,225,50,514,376,308,812,6,214,192,204,2903
Ashwood - Chadstone,480,138,1162,323,180,444,0,31,73,245,3079
Clayton,901,90,1273,310,146,432,0,37,63,228,3472
Glen Waverley - East,459,69,1020,265,112,346,0,23,57,83,2431
Glen Waverley - West,473,98,982,281,108,413,0,37,71,123,2580
Mount Waverley - North,343,78,707,182,93,269,0,4,41,98,1819
Mount Waverley - South,456,93,951,257,133,332,0,18,60,114,2422
Mulgrave,368,109,960,367,237,510,4,31,67,131,2796
Oakleigh - Huntingdale,549,140,1196,407,215,518,0,22,73,196,3320
Wheelers Hill,350,89,802,277,143,296,0,23,46,91,2123
Ardeer - Albion,108,44,285,179,139,322,0,45,59,144,1334
Cairnlea,75,36,435,185,133,419,0,69,57,84,1500
Deer Park - Derrimut,292,102,1161,573,514,1270,3,181,201,368,4671
Delahey,54,28,217,154,150,374,6,35,50,79,1145
Keilor Downs,80,54,400,247,201,483,0,41,62,114,1687
Kings Park (Vic.),53,22,322,244,222,628,3,133,111,181,1931
St Albans - North,178,42,501,387,330,870,6,191,133,364,3007
St Albans - South,130,36,451,302,240,732,7,174,100,237,2407
Sunshine,106,60,467,177,130,389,0,87,76,120,1619
Sunshine North,94,35,358,196,168,482,0,137,103,123,1697
Sunshine West,154,69,620,299,282,760,0,133,136,225,2680
Sydenham,152,57,492,270,222,475,0,33,68,138,1908
Taylors Lakes,90,53,522,277,218,523,0,31,67,118,1901
Altona,195,101,610,236,177,341,0,18,52,126,1860
Altona Meadows,202,115,746,411,362,703,3,65,94,187,2884
Altona North,160,89,575,274,214,509,0,50,65,177,2120
Newport,369,199,1249,365,214,474,0,12,58,182,3120
Seabrook,74,24,233,96,84,184,0,9,21,54,790
Williamstown,244,116,691,208,121,277,3,12,41,124,1835
Braybrook,329,112,990,337,243,732,3,119,125,276,3267
Footscray,530,182,1226,332,181,553,0,47,107,327,3480
Maribyrnong,296,108,830,256,154,412,0,9,73,195,2332
Seddon - Kingsville,277,162,794,205,120,253,0,12,29,121,1976
West Footscray - Tottenham,286,152,733,254,176,368,0,37,49,162,2224
Yarraville,376,203,1197,318,156,411,0,17,60,192,2925
Bacchus Marsh,108,107,530,429,483,750,4,53,89,197,2753
Hillside,182,122,959,499,447,928,3,41,116,258,3552
Melton,56,57,323,375,550,878,9,106,110,247,2694
Melton South,164,103,640,501,708,1094,9,102,129,312,3756
Melton West,74,61,457,429,553,880,9,74,112,242,2886
Rockbank - Mount Cottrell,6,7,21,29,34,64,0,10,6,285,455
Taylors Hill,229,101,964,491,411,985,4,68,101,186,3542
Burnside,28,13,154,100,70,202,0,27,31,38,650
Burnside Heights,91,20,303,178,140,292,0,25,53,67,1171
Caroline Springs,234,129,963,491,398,837,0,55,142,214,3453
Hoppers Crossing - North,175,72,539,366,377,737,0,75,82,185,2611
Hoppers Crossing - South,213,70,543,323,420,773,0,119,126,189,2771
Laverton,295,45,538,220,153,309,0,39,63,136,1796
Tarneit,1012,142,1887,973,777,1539,12,121,245,479,7185
Truganina,804,130,1452,674,425,940,0,57,169,348,5010
Werribee - South,87,49,367,211,179,404,0,51,62,144,1550
Wyndham Vale,362,118,868,657,720,1133,8,98,145,274,4386
Point Cook - East,284,66,671,312,220,487,4,20,71,144,2276
Point Cook - North,607,170,1362,564,402,863,0,43,128,226,4361
Point Cook - South,567,127,1128,411,257,540,0,24,83,186,3318
Werribee - East,171,59,508,358,460,818,8,146,147,239,2912
Werribee - West,82,56,374,258,264,461,4,42,56,126,1711
Carrum Downs,122,82,499,512,631,912,9,72,101,265,3188
Frankston,143,112,675,524,518,754,4,92,96,327,3236
Frankston North,80,66,391,425,560,697,12,100,99,292,2712
Frankston South,133,104,643,285,270,397,0,26,48,90,1998
Langwarrin,88,126,630,556,660,806,0,58,109,212,3239
Seaford (Vic.),133,98,584,426,389,560,0,35,69,232,2518
Skye - Sandhurst,91,66,431,369,335,550,0,28,72,110,2047
Dromana,38,42,243,188,186,274,0,14,35,70,1094
Flinders,29,18,138,39,38,71,0,6,14,37,389
Hastings - Somers,70,73,414,383,611,698,0,72,94,221,2627
Mornington,102,133,691,414,446,605,0,40,73,164,2674
Mount Eliza,150,95,632,250,162,306,4,11,37,75,1719
Mount Martha,105,117,592,351,259,406,0,9,56,114,2004
Point Nepean,57,66,348,270,274,435,3,25,59,167,1707
Rosebud - McCrae,53,71,336,340,416,536,4,54,63,172,2032
Somerville,72,64,397,367,448,602,3,45,81,156,2249
Ararat,22,24,118,89,166,251,0,24,33,67,792
Ararat Region,6,7,81,50,39,64,0,5,7,49,312
Horsham,77,81,413,272,413,466,6,64,57,133,1987
Horsham Region,13,23,76,43,48,92,0,8,16,31,351
Nhill Region,23,18,126,80,116,145,0,28,19,52,612
St Arnaud,4,11,57,33,46,91,0,9,19,22,297
Stawell,20,15,148,116,149,246,0,28,35,90,850
West Wimmera,6,10,65,38,37,68,0,5,6,13,248
Yarriambiack,5,17,105,72,123,146,0,19,27,46,567
Irymple,11,13,132,85,159,220,0,13,30,66,738
Merbein,3,10,69,65,92,167,0,12,20,45,491
Mildura Region,11,9,70,46,65,100,0,18,5,34,354
Red Cliffs,7,18,91,73,139,209,0,24,23,73,665
Mildura - North,63,65,422,248,412,712,5,109,83,263,2388
Mildura - South,49,67,359,226,321,564,4,54,62,167,1871
Buloke,15,21,110,49,91,160,0,5,14,61,530
Gannawarra,8,18,115,79,104,181,0,16,15,46,583
Kerang,6,7,59,32,69,115,0,12,14,41,362
Robinvale,4,6,50,35,46,172,0,27,26,78,429
Swan Hill,33,37,272,135,237,384,3,45,54,160,1347
Swan Hill Region,10,13,92,66,112,167,0,26,31,106,626
Echuca,55,66,347,210,332,418,0,58,34,145,1673
Kyabram,16,24,218,142,238,343,4,27,46,120,1174
Lockington - Gunbower,10,8,70,43,71,116,0,9,9,44,385
Rochester,8,6,52,32,88,110,0,10,13,31,361
Rushworth,7,10,59,45,63,93,0,8,7,29,328
Cobram,16,8,85,88,127,205,3,23,30,69,645
Moira,3,4,45,34,48,65,0,0,4,31,241
Numurkah,22,60,198,161,260,377,0,36,42,89,1246
Yarrawonga,22,17,148,86,186,187,0,19,15,85,749
Mooroopna,23,32,122,131,207,281,5,48,34,87,979
Shepparton - North,114,106,583,336,359,566,0,78,92,253,2490
Shepparton - South,83,116,470,342,487,815,0,137,176,302,2934
Shepparton Region - East,12,27,76,65,55,101,0,7,20,30,392
Shepparton Region - West,32,46,196,171,184,304,0,39,28,118,1115
Glenelg (Vic.),21,24,123,100,184,227,0,15,22,84,800
Hamilton (Vic.),34,34,221,125,212,281,4,32,26,63,1028
Portland,16,37,196,132,258,341,7,54,32,116,1191
Southern Grampians,26,23,158,78,88,139,0,12,13,46,584
Camperdown,8,12,67,24,72,102,0,14,9,30,341
Colac,17,21,217,161,305,387,0,50,55,91,1307
Colac Region,24,10,103,56,120,148,3,9,17,43,535
Corangamite - North,10,20,90,66,82,134,0,16,22,53,490
Corangamite - South,9,25,142,81,123,202,0,15,33,64,691
Otway,14,14,79,58,53,68,0,12,12,35,334
Moyne - East,16,34,143,90,150,163,0,10,18,56,688
Moyne - West,35,51,260,144,181,228,0,23,29,81,1022
Warrnambool - North,99,111,572,340,510,642,0,58,84,199,2622
Warrnambool - South,67,69,409,188,245,352,0,33,64,139,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0
No Usual Address (Vic.),82,36,264,103,121,234,5,38,46,359,1271
Alexandra Hills,75,52,416,371,479,663,5,49,64,121,2279
Belmont - Gumdale,73,35,285,123,94,218,0,6,13,32,883
Birkdale,77,47,422,283,320,483,0,28,58,81,1812
Capalaba,80,59,471,337,461,731,0,36,74,102,2344
Thorneside,29,17,115,97,79,127,0,7,12,33,523
Wellington Point,62,47,337,221,215,328,0,9,33,59,1314
Cleveland,67,31,356,205,230,419,0,21,48,76,1464
Ormiston,32,22,156,104,83,128,0,3,25,26,579
Redland Bay,58,53,392,306,392,599,0,26,45,160,2034
Sheldon - Mount Cotton,52,44,331,203,215,311,0,7,38,52,1255
Thornlands,68,43,400,318,341,484,0,25,53,75,1799
Victoria Point,45,46,260,265,302,488,3,22,46,74,1558
Redland Islands,14,10,88,84,118,238,0,24,21,77,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0,0,0,0
Manly - Lota,59,36,276,132,95,194,0,3,29,44,871
Manly West,76,58,439,238,218,384,5,17,54,88,1579
Murarrie,54,23,216,95,73,152,0,8,20,42,686
Tingalpa,72,58,361,185,185,328,0,14,48,83,1341
Wakerley,134,59,542,210,157,304,0,0,38,66,1525
Wynnum,119,64,473,276,230,442,0,25,51,90,1765
Wynnum West - Hemmant,91,66,511,328,335,639,0,37,74,122,2208
Bald Hills,46,36,276,163,206,321,0,13,39,55,1165
Bridgeman Downs,88,41,347,105,83,135,0,4,21,38,858
Carseldine,140,57,430,145,126,231,0,3,29,61,1224
Everton Park,127,74,521,206,192,281,0,14,29,59,1497
McDowall,96,48,345,141,124,168,0,7,24,52,995
Aspley,122,60,514,205,181,313,0,14,39,79,1535
Chermside,174,36,545,189,168,322,3,20,56,136,1657
Chermside West,58,44,276,116,112,199,0,3,29,34,864
Geebung,30,33,202,92,80,164,0,4,16,33,650
Kedron - Gordon Park,271,128,947,287,237,411,0,13,56,176,2521
Stafford,86,59,427,137,132,250,0,18,24,82,1211
Stafford Heights,70,54,309,111,101,201,0,8,37,53,941
Wavell Heights,136,91,603,200,164,316,0,6,40,80,1641
Boondall,77,39,326,197,201,308,0,21,41,60,1271
Brisbane Airport,0,0,3,0,0,5,0,0,0,7,23
Eagle Farm - Pinkenba,13,4,58,10,13,26,0,4,3,21,151
Northgate - Virginia,104,60,393,129,145,222,0,8,31,86,1190
Nudgee - Banyo,116,59,468,201,184,361,0,23,50,94,1547
Nundah,273,105,875,318,247,513,0,21,60,173,2588
Bracken Ridge,131,79,631,384,403,611,4,40,79,113,2473
Brighton (Qld),74,47,399,194,171,316,0,9,33,71,1306
Deagon,27,18,145,63,90,128,0,4,16,30,526
Sandgate - Shorncliffe,66,41,262,70,104,137,0,11,10,40,739
Taigum - Fitzgibbon,206,69,656,308,262,461,0,20,56,115,2171
Zillmere,109,37,389,210,207,380,4,32,55,106,1537
Camp Hill,189,107,779,198,142,280,0,9,30,105,1843
Cannon Hill,87,52,365,111,104,195,0,11,23,120,1062
Carina,161,98,661,271,169,352,0,15,34,105,1871
Carina Heights,108,49,402,138,106,265,0,13,33,59,1174
Carindale,200,91,635,208,131,299,0,7,35,81,1687
Annerley,355,132,872,224,165,304,0,13,38,184,2292
Coorparoo,384,166,1231,327,224,439,0,16,63,203,3045
Fairfield - Dutton Park,153,43,329,71,49,121,0,7,13,56,844
Greenslopes,251,103,768,219,143,256,0,3,38,124,1907
Holland Park,134,82,570,144,98,209,0,10,31,80,1361
Holland Park West,113,55,468,108,101,149,0,6,21,55,1074
Woolloongabba,169,45,385,93,78,156,0,8,24,125,1076
Yeronga,197,91,608,158,94,164,0,11,26,105,1467
Eight Mile Plains,457,91,910,251,162,469,0,38,68,119,2559
Macgregor (Qld),162,33,282,71,55,179,0,19,24,53,874
Mansfield (Qld),110,44,347,145,129,254,0,20,39,57,1145
Mount Gravatt,295,122,920,271,216,393,5,29,66,166,2489
Rochedale - Burbank,153,39,382,97,70,159,0,3,28,33,968
Upper Mount Gravatt,202,71,511,144,125,266,0,13,36,100,1466
Wishart,151,57,579,186,135,278,0,9,39,65,1490
Coopers Plains,155,24,273,105,66,188,0,20,35,60,927
Moorooka,224,109,676,175,156,278,0,28,47,102,1791
Robertson,183,19,240,53,33,153,0,17,24,40,764
Salisbury - Nathan,147,51,403,112,123,180,0,10,33,79,1134
Tarragindi,183,101,671,158,123,226,0,6,39,76,1579
Algester,133,36,375,171,187,316,0,16,43,60,1339
Calamvale - Stretton,661,106,1289,379,275,728,0,39,109,213,3802
Pallara - Willawong,77,20,221,110,78,184,0,10,29,52,783
Parkinson - Drewvale,309,60,802,330,233,595,0,19,85,97,2529
Rocklea - Acacia Ridge,89,32,329,160,187,346,4,50,60,119,1385
Kuraby,154,37,446,110,98,245,0,30,45,50,1209
Runcorn,424,72,803,305,187,556,0,30,91,130,2596
Sunnybank,203,32,432,146,87,340,0,51,61,84,1429
Sunnybank Hills,433,66,892,310,200,582,0,61,100,170,2809
Jindalee - Mount Ommaney,119,45,361,100,83,171,0,8,31,40,953
Middle Park - Jamboree Heights,84,42,332,147,112,195,0,12,25,28,983
Riverhills,47,29,223,100,81,137,0,11,18,32,677
Seventeen Mile Rocks - Sinnamon Park,169,62,531,151,111,199,0,10,30,46,1293
Westlake,59,27,167,67,38,76,0,0,3,11,456
Bellbowrie - Moggill,117,66,510,193,137,253,0,11,30,57,1370
Brookfield - Kenmore Hills,85,19,252,60,28,63,0,0,16,20,549
Chapel Hill,252,99,531,116,63,117,0,0,15,43,1239
Fig Tree Pocket,79,26,194,41,27,40,0,0,4,21,426
Kenmore,173,76,468,113,65,143,0,9,18,30,1087
Pinjarra Hills - Pullenvale,69,40,216,56,36,70,0,0,16,20,524
Chelmer - Graceville,140,68,452,88,44,122,0,3,10,39,957
Corinda,76,34,273,62,44,107,0,8,11,38,646
Indooroopilly,377,89,792,119,77,225,0,3,47,123,1837
Sherwood,128,46,377,63,50,115,0,4,24,60,870
St Lucia,494,62,563,57,31,143,0,4,23,112,1491
Taringa,367,90,646,123,71,146,0,3,21,73,1534
Enoggera,130,91,533,177,135,218,0,9,15,87,1395
Enoggera Reservoir,0,0,0,0,0,0,0,0,0,0,7
Keperra,68,56,315,125,152,217,0,20,23,46,1023
Mitchelton,137,71,537,171,134,254,3,8,30,61,1421
Mount Coot-tha,0,0,0,0,0,0,0,0,0,0,0
The Gap,231,130,838,184,172,297,0,6,31,95,1978
Upper Kedron - Ferny Grove,110,80,440,199,212,322,0,10,31,54,1439
Brisbane City,352,79,763,170,91,350,0,13,50,223,2090
Fortitude Valley,207,68,664,168,141,299,0,12,44,257,1853
Highgate Hill,213,51,448,81,51,147,0,5,13,106,1111
Kangaroo Point,211,68,681,148,113,247,0,7,34,147,1663
New Farm,317,148,1086,208,132,344,0,11,59,346,2644
South Brisbane,308,67,587,136,80,198,0,8,40,148,1568
Spring Hill,181,59,560,115,66,196,0,12,43,161,1393
West End,374,102,729,149,71,227,0,9,32,217,1912
Balmoral,92,35,280,69,59,115,0,4,16,61,722
Bulimba,156,72,421,150,90,166,0,0,26,109,1197
East Brisbane,123,50,440,123,84,183,0,6,27,102,1134
Hawthorne,105,38,357,104,60,126,0,3,20,37,851
Morningside - Seven Hills,246,149,1014,355,249,447,0,12,76,211,2750
Norman Park,119,67,457,102,105,183,0,0,19,79,1130
Albion,61,33,226,65,44,83,0,0,12,69,594
Alderley,92,69,463,118,77,153,0,3,23,59,1059
Ascot,73,27,305,97,54,119,0,0,25,48,745
Clayfield,215,93,647,241,150,341,5,5,37,128,1871
Grange,75,41,285,66,51,93,0,5,8,34,648
Hamilton (Qld),117,42,400,127,95,175,0,3,21,142,1130
Hendra,60,26,255,69,41,108,0,5,9,36,618
Kelvin Grove - Herston,354,75,757,130,84,204,0,10,24,174,1824
Newmarket,95,49,339,86,65,127,0,8,12,44,823
Newstead - Bowen Hills,368,140,1039,232,149,340,0,4,44,386,2700
Wilston,76,43,282,43,44,71,0,4,9,34,608
Windsor,165,82,596,138,123,193,0,4,11,89,1405
Wooloowin - Lutwyche,205,93,710,186,144,265,3,15,28,142,1789
Ashgrove,253,112,786,161,127,221,0,7,37,98,1802
Auchenflower,159,58,444,79,56,106,0,0,15,85,1004
Bardon,203,93,634,105,71,170,0,3,15,64,1362
Paddington - Milton,305,116,951,169,117,257,0,5,42,134,2097
Red Hill (Qld),134,54,489,92,81,150,0,7,12,109,1129
Toowong,372,101,905,139,111,198,0,0,23,146,2004
Brinsmead,39,30,209,129,103,191,0,6,22,62,785
Clifton Beach - Kewarra Beach,87,34,356,233,213,351,0,21,54,123,1471
Freshwater - Stratford,36,25,183,53,54,98,0,0,15,46,520
Redlynch,93,75,508,269,309,409,0,14,58,122,1855
Trinity Beach - Smithfield,108,83,544,317,352,514,0,28,69,184,2202
Yorkeys Knob - Machans Beach,33,27,189,103,134,206,0,8,37,119,847
Bentley Park,17,21,179,182,261,438,0,28,68,114,1316
Cairns City,127,61,548,268,181,448,5,26,59,428,2153
Earlville - Bayview Heights,45,26,246,129,165,303,0,16,36,98,1068
Edmonton,17,23,233,210,338,558,4,31,48,154,1624
Gordonvale - Trinity,23,24,215,149,227,313,0,20,37,103,1118
Kanimbla - Mooroobool,61,52,324,176,229,339,0,37,57,153,1428
Lamb Range,0,0,0,0,0,0,0,0,0,0,0
Manoora,27,19,143,101,181,283,4,45,40,200,1038
Manunda,19,12,119,92,118,217,7,41,43,154,825
Mount Sheridan,35,28,273,182,204,367,3,16,38,75,1222
Westcourt - Bungalow,29,25,217,125,109,261,3,32,48,162,1005
White Rock,13,8,94,79,159,218,0,21,30,87,708
Whitfield - Edge Hill,79,48,309,108,149,258,0,18,40,83,1091
Woree,16,12,95,74,111,233,0,18,22,107,687
Babinda,10,7,79,42,77,147,0,9,24,42,440
Innisfail,34,16,135,84,201,341,3,49,38,178,1079
Johnstone,16,9,128,100,164,322,0,27,31,86,875
Tully,18,22,184,118,182,416,0,40,29,153,1151
Wooroonooran,0,0,0,0,0,0,0,0,0,0,0
Yarrabah,0,4,17,8,42,162,0,22,9,40,305
Daintree,18,21,111,82,151,218,0,12,27,129,777
Port Douglas,23,16,174,99,106,218,0,4,23,159,827
Atherton,28,17,223,144,226,361,0,25,45,104,1161
Herberton,8,8,46,34,81,192,0,19,19,92,500
Kuranda,19,13,100,68,68,145,0,8,14,48,492
Malanda - Yungaburra,15,14,166,91,146,233,0,23,27,72,787
Mareeba,27,26,226,143,215,406,0,41,40,190,1310
Balonne,14,20,123,62,80,193,0,9,11,48,548
Chinchilla,19,16,218,113,181,356,0,22,33,150,1113
Goondiwindi,16,22,202,89,147,261,0,18,16,101,866
Inglewood - Waggamba,7,3,95,61,65,160,0,9,20,50,467
Miles - Wandoan,5,4,107,53,74,159,0,18,15,71,504
Roma,40,35,251,116,178,269,0,17,34,142,1081
Roma Region,9,3,139,93,109,211,0,17,20,66,668
Tara,5,5,61,26,69,142,4,15,11,92,423
Crows Nest - Rosalie,21,11,137,93,171,287,0,27,27,75,841
Jondaryan,12,3,109,85,151,308,0,42,29,91,834
Millmerran,8,0,62,27,61,120,0,17,16,46,352
Pittsworth,11,14,104,60,131,178,0,19,25,52,585
Wambo,41,43,393,233,356,684,5,69,77,192,2093
Clifton - Greenmount,12,10,105,65,102,153,0,15,15,53,531
Southern Downs - East,4,6,62,52,74,154,0,11,8,36,401
Southern Downs - West,16,6,55,51,72,141,0,14,18,42,407
Stanthorpe,16,10,94,60,102,210,0,19,22,38,575
Stanthorpe Region,8,12,100,54,114,185,0,17,15,45,553
Warwick,34,35,216,142,356,613,4,61,62,119,1646
Central Highlands - East,18,19,143,90,169,461,0,30,29,147,1113
Central Highlands - West,11,10,187,101,163,391,0,14,26,132,1039
Emerald,51,47,429,211,353,744,0,23,53,283,2183
Berserker,9,20,126,64,174,341,0,43,27,79,892
Bouldercombe,0,8,34,26,40,79,0,3,4,17,214
Emu Park,3,12,85,53,114,213,0,17,16,58,573
Frenchville - Mount Archer,30,28,234,121,236,371,0,18,31,70,1146
Glenlee - Rockyview,7,15,128,67,83,162,0,3,8,27,515
Gracemere,25,43,246,174,364,676,7,42,47,151,1775
Lakes Creek,14,16,70,61,127,260,0,30,17,58,660
Mount Morgan,3,3,24,32,44,99,0,27,12,33,273
Norman Gardens,63,43,329,151,229,441,3,42,36,111,1435
Park Avenue,7,9,89,56,153,254,6,22,14,51,658
Parkhurst - Kawana,25,29,182,98,168,320,0,26,24,63,947
Rockhampton - West,24,21,174,85,140,243,3,18,14,51,763
Rockhampton City,12,3,61,32,64,129,0,26,8,46,374
Rockhampton Region - East,7,8,37,35,77,112,0,15,11,33,338
Rockhampton Region - North,4,9,82,40,74,170,0,11,10,40,439
Rockhampton Region - West,13,0,54,32,57,119,0,4,6,41,328
Shoalwater Bay,0,0,0,0,0,0,0,0,0,0,0
The Range - Allenstown,46,40,268,83,99,242,0,15,19,104,927
Yeppoon,71,64,458,206,413,638,3,34,81,172,2139
Banana,20,28,180,95,173,392,0,24,30,103,1042
Biloela,18,19,167,61,146,272,0,40,25,80,819
Agnes Water - Miriam Vale,8,14,87,47,102,216,5,16,13,71,564
Boyne Island - Tannum Sands,28,41,269,152,285,473,0,19,48,110,1420
Callemondah,0,0,0,0,0,0,0,0,0,0,0
Clinton - New Auckland,72,42,425,178,442,818,0,44,43,143,2214
Gladstone,30,19,139,83,118,284,0,23,20,117,833
Gladstone Hinterland,15,25,234,147,340,595,0,24,44,167,1589
Kin Kora - Sun Valley,14,6,82,61,111,205,0,11,15,37,538
South Trees,0,0,0,0,0,0,0,0,0,0,0
Telina - Toolooa,23,22,186,90,198,343,6,23,26,78,993
West Gladstone,23,10,138,37,104,223,0,15,15,64,638
Broadbeach Waters,59,22,261,162,125,240,0,4,27,78,985
Burleigh Heads,88,54,403,207,148,245,0,14,40,158,1351
Burleigh Waters,117,77,546,304,245,423,3,16,64,98,1891
Mermaid Beach - Broadbeach,140,63,562,322,265,445,0,15,69,279,2166
Mermaid Waters,96,46,451,260,232,429,0,18,49,126,1705
Miami,81,52,388,180,159,244,0,9,51,120,1285
Coolangatta,40,20,206,90,101,159,0,10,30,102,758
Currumbin - Tugun,81,45,443,253,229,323,0,14,54,168,1609
Currumbin Waters,39,22,211,186,198,260,0,13,46,63,1047
Elanora,64,41,335,234,218,356,7,22,51,95,1408
Palm Beach,115,60,605,321,351,507,0,12,67,186,2233
