SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Berserker,343,416,52,21,64,892
Bouldercombe,56,125,17,6,17,214
Emu Park,155,327,33,21,35,573
Frenchville - Mount Archer,380,617,51,35,60,1146
Glenlee - Rockyview,128,314,16,24,26,515
Gracemere,499,1033,65,62,118,1775
Lakes Creek,193,362,37,22,43,660
Mount Morgan,106,121,10,9,22,273
Norman Gardens,504,746,59,45,91,1435
Park Avenue,241,321,33,16,40,658
Parkhurst - Kawana,306,509,46,32,57,947
Rockhampton - West,310,348,51,17,45,763
Rockhampton City,152,154,19,11,35,374
Rockhampton Region - East,84,200,14,8,24,338
Rockhampton Region - North,106,257,17,5,44,439
Rockhampton Region - West,100,187,6,9,31,328
Shoalwater Bay,0,0,0,0,0,0
The Range - Allenstown,347,431,41,23,88,927
Yeppoon,694,1151,84,68,143,2139
Banana,289,610,36,18,84,1042
Biloela,270,419,41,29,63,819
Agnes Water - Miriam Vale,163,317,26,20,52,564
Boyne Island - Tannum Sands,354,869,44,54,95,1420
Callemondah,0,0,0,0,0,0
Clinton - New Auckland,684,1259,70,73,128,2214
Gladstone,330,356,30,17,106,833
Gladstone Hinterland,382,932,68,64,135,1589
Kin Kora - Sun Valley,156,308,23,20,26,538
South Trees,0,0,0,0,0,0
Telina - Toolooa,298,554,34,30,71,993
West Gladstone,242,286,23,23,58,638
Broadbeach Waters,423,429,44,19,65,985
Burleigh Heads,709,422,63,20,139,1351
Burleigh Waters,675,1035,64,38,77,1891
Mermaid Beach - Broadbeach,1329,477,88,17,254,2166
Mermaid Waters,693,787,84,23,113,1705
Miami,704,386,72,24,107,1285
Coolangatta,424,195,34,6,97,758
Currumbin - Tugun,692,692,62,27,134,1609
Currumbin Waters,318,619,31,22,47,1047
Elanora,415,812,61,45,74,1408
Palm Beach,963,943,113,41,175,2233
Arundel,472,653,63,30,86,1301
Biggera Waters,626,466,53,17,141,1299
Coombabah,431,625,49,31,84,1214
Labrador,1220,960,114,61,246,2596
Paradise Point - Hollywell,377,522,33,16,57,1008
Runaway Bay,354,420,48,18,42,885
Guanaba - Springbrook,171,255,17,6,129,583
Tamborine - Canungra,458,819,61,59,125,1523
Currumbin Valley - Tallebudgera,226,448,27,29,53,783
Mudgeeraba - Bonogin,655,1468,102,100,146,2478
Reedy Creek - Andrews,340,722,50,55,64,1231
Carrara,600,803,78,44,93,1613
Highland Park,364,618,40,29,67,1115
Nerang - Mount Nathan,969,1523,101,86,169,2843
Pacific Pines - Gaven,894,1696,123,99,190,2994
Worongary - Tallai,268,485,39,28,49,878
Coomera,649,1319,99,59,179,2297
Helensvale,627,1187,69,61,132,2077
Hope Island,450,617,34,22,123,1238
Jacobs Well - Alberton,140,228,22,9,18,412
Ormeau - Yatala,808,1871,145,97,197,3119
Oxenford - Maudsland,726,1389,79,57,159,2404
Pimpama,483,916,74,44,205,1718
Upper Coomera - Willow Vale,1455,3144,201,147,328,5277
Clear Island Waters,152,196,5,10,34,394
Merrimac,406,533,41,14,69,1070
Robina,1208,1503,119,59,181,3074
Varsity Lakes,1003,1151,104,54,178,2480
Ashmore,535,771,62,40,93,1506
Molendinar,320,436,43,28,52,881
Parkwood,403,510,49,32,62,1048
Southport - North,1341,649,73,20,236,2317
Southport - South,1211,897,80,36,190,2418
Benowa,298,521,28,28,75,958
Bundall,210,281,18,8,47,559
Main Beach,282,111,23,0,69,485
Surfers Paradise,2402,769,103,27,644,3937
Darra - Sumner,361,329,25,10,100,828
Durack,485,504,41,18,116,1164
Forest Lake - Doolandella,1638,2266,146,87,234,4372
Inala - Richlands,1020,1088,95,25,330,2560
Oxley (Qld),549,599,45,28,97,1321
Wacol,142,192,17,8,265,613
Boonah,386,727,47,44,100,1306
Esk,134,236,25,18,44,455
Lake Manchester - England Creek,0,0,0,0,0,0
Lockyer Valley - East,715,1212,99,86,189,2300
Lowood,472,955,71,61,144,1706
Rosewood,393,709,65,43,92,1302
Brassall,539,796,68,68,87,1562
Bundamba,468,540,79,33,107,1233
Churchill - Yamanto,305,580,48,35,46,1011
Ipswich - Central,265,407,46,18,77,810
Ipswich - East,878,1161,109,57,180,2382
Ipswich - North,174,357,18,19,21,587
Karalee - Barellan Point,217,407,19,27,28,703
Karana Downs,237,475,37,28,36,798
Leichhardt - One Mile,355,537,61,22,129,1102
North Ipswich - Tivoli,288,431,43,29,55,852
Raceview,692,1213,128,82,112,2219
Ripley,293,409,29,16,60,809
Riverview,147,146,28,12,37,365
Bellbird Park - Brookwater,742,1359,106,77,137,2423
Camira - Gailes,437,626,50,36,80,1230
Carole Park,0,0,0,0,0,0
Collingwood Park - Redbank,400,674,62,35,75,1241
Goodna,608,768,68,38,170,1648
New Chum,0,0,0,0,0,0
Redbank Plains,1030,1622,157,96,225,3130
Springfield,330,672,33,32,61,1126
Springfield Lakes,1100,1732,138,89,142,3201
Beaudesert,497,821,76,54,115,1566
Beenleigh,418,507,60,31,91,1105
Eagleby,562,866,93,46,139,1702
Edens Landing - Holmview,412,650,57,32,61,1215
Mount Warren Park,266,405,32,26,54,781
Wolffdene - Bahrs Scrub,223,465,41,30,50,809
Boronia Heights - Park Ridge,541,841,64,48,98,1584
Browns Plains,399,598,55,28,82,1160
Chambers Flat - Logan Reserve,230,321,35,16,46,644
Crestmead,568,947,91,58,168,1836
Greenbank Military Camp,0,0,0,0,0,0
Hillcrest,391,618,51,35,42,1137
Marsden,710,1086,110,45,252,2211
Munruben - Park Ridge South,164,288,17,19,23,511
Regents Park - Heritage Park,771,1287,100,58,126,2343
Greenbank,481,1092,59,56,73,1756
Jimboomba,1050,2222,151,96,232,3741
Logan Village,229,454,48,25,69,829
Bethania - Waterford,525,801,58,51,114,1549
Cornubia - Carbrook,355,559,43,36,49,1040
Loganholme - Tanah Merah,550,948,87,55,96,1737
Loganlea,528,732,81,36,151,1527
Shailer Park,569,834,68,52,72,1597
Waterford West,354,501,55,21,72,1001
Daisy Hill,343,526,44,26,38,980
Kingston (Qld.),466,607,66,30,185,1346
Logan Central,299,348,54,9,57,777
Rochedale South - Priestdale,852,1261,112,62,103,2389
Slacks Creek,606,683,72,46,99,1499
Springwood,531,640,51,42,87,1345
Underwood,396,573,44,22,52,1094
Woodridge,765,770,76,36,125,1764
Bowen,447,523,18,29,112,1142
Broadsound - Nebo,303,676,39,32,186,1244
Clermont,165,282,22,12,59,546
Collinsville,107,217,6,8,60,398
Moranbah,413,864,59,57,186,1592
Andergrove - Beaconsfield,675,1159,76,92,113,2119
East Mackay,173,219,17,11,36,452
Eimeo - Rural View,614,1109,78,61,133,1999
Eungella Hinterland,0,0,0,0,0,0
Mackay,256,198,10,3,76,558
Mackay Harbour,35,21,0,0,14,68
Mount Pleasant - Glenella,436,778,48,39,57,1356
North Mackay,291,361,32,27,57,767
Ooralea - Bakers Creek,232,372,27,11,59,705
Pioneer Valley,282,670,55,52,84,1147
Sarina,414,762,66,38,132,1420
Seaforth - Calen,210,488,31,25,74,825
Shoal Point - Bucasia,245,498,37,38,50,863
Slade Point,152,201,22,19,25,425
South Mackay,378,404,48,15,48,900
Walkerston - Eton,286,598,37,25,71,1015
West Mackay,297,368,35,19,68,777
Airlie - Whitsundays,956,800,73,48,405,2284
Cape Conway,0,0,0,0,0,0
Proserpine,255,546,36,37,76,943
Beachmere - Sandstone Point,441,809,59,58,110,1470
Bribie Island,413,669,63,28,63,1238
Burpengary - East,139,277,19,15,19,467
Caboolture,1303,1802,156,125,282,3667
Caboolture - South,936,1635,143,112,210,3025
Elimbah,131,297,20,14,28,496
Morayfield - East,418,614,49,46,66,1201
Wamuran,161,249,21,12,31,471
Kilcoy,180,310,20,16,52,578
Woodford - D'Aguilar,239,431,27,24,88,810
Burpengary,522,999,95,56,106,1781
Deception Bay,836,1446,152,98,198,2738
Morayfield,129,271,26,20,24,474
Narangba,706,1769,115,124,122,2829
Upper Caboolture,104,184,13,14,21,334
Clontarf,381,497,52,31,70,1031
Margate - Woody Point,559,699,73,55,81,1469
Redcliffe,455,484,45,35,94,1114
Rothwell - Kippa-Ring,706,1099,94,70,116,2086
Scarborough - Newport - Moreton Island,444,606,58,45,92,1243
Albany Creek,553,1144,70,57,52,1876
Cashmere,866,1739,126,85,75,2882
Dayboro,296,593,37,39,70,1031
Eatons Hill,277,685,37,38,28,1070
The Hills District,1222,1907,135,105,105,3472
Samford Valley,341,741,36,47,66,1232
Dakabin - Kallangur,1284,1920,167,125,231,3730
Murrumba Downs - Griffin,934,1587,134,93,154,2906
North Lakes - Mango Hill,1532,3127,213,162,277,5309
Bray Park,517,803,66,51,64,1496
Lawnton,340,403,44,28,47,863
Petrie,386,710,54,45,59,1257
Strathpine - Brendale,694,869,83,46,90,1783
Aurukun,69,64,35,15,0,182
Cape York,312,385,110,41,87,936
Croydon - Etheridge,43,64,9,4,21,139
Kowanyama - Pormpuraaw,114,103,46,3,15,274
Northern Peninsula,119,196,46,11,14,392
Tablelands,147,246,20,23,51,487
Torres,238,203,21,17,127,605
Torres Strait Islands,189,278,50,24,45,587
Weipa,226,328,26,26,65,674
Carpentaria,258,252,56,44,76,690
Mount Isa,1011,1346,179,84,348,2972
Mount Isa Region,173,165,28,10,64,441
Northern Highlands,135,198,19,4,33,381
Barcaldine - Blackall,206,297,14,16,42,581
Charleville,188,281,23,11,43,546
Far Central West,98,113,12,3,29,256
Far South West,137,152,11,8,19,329
Longreach,175,229,26,9,44,479
Buderim - North,599,964,58,44,101,1755
Buderim - South,602,1064,64,73,75,1876
Mountain Creek,506,1044,78,48,74,1750
Sippy Downs,422,751,48,45,86,1346
Aroona - Currimundi,323,712,50,59,32,1176
Buddina - Minyama,261,363,41,14,38,715
Caloundra - Kings Beach,307,259,24,16,62,669
Caloundra - West,738,1678,122,92,130,2759
Golden Beach - Pelican Waters,341,620,20,27,48,1056
Moffat Beach - Battery Hill,304,467,31,35,38,881
Parrearra - Warana,416,610,50,21,67,1159
Wurtulla - Birtinya,334,569,48,23,59,1038
Coolum Beach,681,1065,84,47,123,2006
Marcoola - Mudjimba,433,668,48,30,69,1252
Maroochydore - Kuluin,1240,929,114,37,171,2500
Mooloolaba - Alexandra Headland,781,525,80,15,168,1564
Noosa Heads,155,201,17,10,30,417
Noosaville,298,410,24,25,49,807
Sunshine Beach,296,373,30,16,53,775
Tewantin,326,562,20,29,48,982
Peregian Beach - Marcus Beach,141,220,17,10,30,412
Peregian Springs,257,679,28,43,96,1104
Beerwah,313,560,54,37,65,1024
Caloundra Hinterland,237,354,33,32,33,686
Glass House Mountains,214,399,23,15,36,683
Landsborough,364,706,56,35,86,1249
Maroochy Hinterland,182,279,23,12,33,532
Palmwoods,341,694,55,33,46,1169
Bli Bli,343,656,38,35,58,1128
Diddillibah - Rosemount,119,223,10,11,29,394
Eumundi - Yandina,364,673,48,25,71,1176
Nambour,771,1416,115,70,142,2509
Noosa Hinterland,632,1264,68,77,131,2171
Cambooya - Wyreema,230,566,24,47,64,928
Darling Heights,784,951,93,42,119,1988
Drayton - Harristown,488,586,83,40,102,1294
Gatton,530,418,28,17,83,1070
Gowrie (Qld),203,553,34,38,40,872
Highfields,350,993,51,49,60,1505
Lockyer Valley - West,376,749,45,38,106,1307
Middle Ridge,193,516,21,34,18,785
Newtown (Qld),542,571,80,27,98,1319
North Toowoomba - Harlaxton,296,332,44,14,61,748
Rangeville,315,533,44,42,48,988
Toowoomba - Central,753,780,84,48,121,1784
Toowoomba - East,420,575,61,43,87,1181
Toowoomba - West,532,1011,58,64,97,1763
Wilsonton,584,779,82,35,110,1589
Ayr,325,546,41,14,72,998
Burdekin,240,449,31,15,39,779
Charters Towers,311,459,42,28,93,935
Dalrymple,106,249,25,5,46,430
Ingham,121,206,19,13,32,397
Ingham Region,142,336,15,11,42,547
Palm Island,109,156,34,10,7,315
Aitkenvale,272,299,32,18,49,664
Annandale,316,606,38,44,61,1060
Belgian Gardens - Pallarenda,137,182,9,18,36,380
Bohle Plains,389,670,50,28,54,1185
Condon - Rasmussen,509,701,66,49,91,1418
Cranbrook,307,316,36,24,51,733
Deeragun,1204,2251,171,109,230,3969
Douglas,480,463,44,30,52,1070
Garbutt - West End,452,308,49,19,120,942
Gulliver - Currajong - Vincent,368,557,51,33,80,1093
Heatley,195,270,27,17,37,544
Hermit Park - Rosslea,347,347,43,12,60,805
Hyde Park - Pimlico,258,297,40,13,34,642
Kelso,474,791,65,50,127,1504
Kirwan - East,354,500,50,37,47,988
Kirwan - West,719,1248,98,90,119,2283
Magnetic Island,94,82,8,5,29,217
Mount Louisa,503,842,66,42,78,1533
Mundingburra,153,191,29,8,17,397
Northern Beaches,212,396,35,25,66,732
Oonoonba,397,555,50,27,50,1076
South Townsville - Railway Estate,377,263,32,13,85,772
Townsville - South,159,263,21,16,28,487
Townsville City - North Ward,817,338,55,17,167,1388
Wulguru - Roseneath,233,307,33,21,166,763
Ashfield - Kepnock,196,355,23,15,31,612
Bargara - Burnett Heads,571,965,64,56,74,1729
Branyan - Kensington,146,346,13,16,32,555
Bundaberg,364,317,41,14,78,814
Bundaberg East - Kalkie,216,391,35,31,38,718
Bundaberg North - Gooburrum,256,328,27,18,51,683
Bundaberg Region - North,251,474,40,19,87,868
Bundaberg Region - South,230,463,35,27,85,834
Millbank - Avoca,234,465,26,21,44,792
Svensson Heights - Norville,215,335,17,31,49,643
Walkervale - Avenell Heights,442,634,77,33,80,1273
Gayndah - Mundubbera,232,345,41,16,81,705
Gin Gin,144,246,18,5,38,451
Kingaroy,404,722,60,39,80,1301
Kingaroy Region - North,330,461,55,23,62,934
Kingaroy Region - South,113,241,14,11,33,419
Monto - Eidsvold,94,195,25,10,47,375
Nanango,241,469,32,18,71,835
North Burnett,0,0,0,0,0,0
Cooloola,146,246,12,10,33,444
Gympie - North,553,886,78,45,108,1666
Gympie - South,205,452,26,25,43,751
Gympie Region,493,1093,85,56,143,1870
Kilkivan,94,209,6,10,33,356
Booral - River Heads,141,270,21,22,32,489
Craignish - Dundowran Beach,125,306,11,16,22,482
Pialba - Eli Waters,458,776,47,37,91,1408
Point Vernon,162,319,20,13,41,562
Torquay - Scarness - Kawungan,523,751,46,44,124,1485
Urangan - Wondunna,427,725,51,34,98,1335
Burrum - Fraser,266,465,36,33,82,882
Granville,104,165,13,4,25,318
Maryborough (Qld),564,965,102,66,131,1821
Maryborough Region - South,214,354,30,13,66,680
Tinana,163,353,27,22,36,604
Migratory - Offshore - Shipping (Qld),3,0,0,0,4,12
No Usual Address (Qld),859,245,56,5,352,1518
Adelaide,1855,353,94,11,244,2560
North Adelaide,621,186,31,11,75,923
Adelaide Hills,181,369,27,24,35,640
Aldgate - Stirling,546,1093,93,90,69,1889
Hahndorf - Echunga,134,242,14,14,27,429
Lobethal - Woodside,290,539,58,36,27,953
Mount Barker,766,1295,108,88,123,2378
Mount Barker Region,235,399,30,35,39,739
Nairne,232,432,37,24,34,771
Uraidla - Summertown,194,306,31,14,25,574
Burnside - Wattle Park,844,1067,74,51,75,2109
Glenside - Beaumont,359,565,40,22,45,1033
Toorak Gardens,744,890,68,37,63,1794
Athelstone,432,547,31,24,20,1060
Paradise - Newton,1053,1252,90,34,113,2534
Rostrevor - Magill,1295,1379,95,39,104,2911
Norwood (SA),906,491,56,13,114,1580
Payneham - Felixstow,846,717,82,28,68,1745
St Peters - Marden,841,744,69,28,71,1747
Nailsworth - Broadview,442,391,39,17,43,928
Prospect,900,902,66,57,94,2017
Walkerville,373,349,20,10,50,814
Goodwood - Millswood,1248,1016,102,60,118,2542
Unley - Parkside,1276,1095,96,55,130,2655
Gawler - North,350,708,58,46,53,1203
Gawler - South,746,1238,110,66,110,2273
Lewiston - Two Wells,214,361,32,28,47,683
Craigmore - Blakeview,842,1473,138,85,118,2656
Davoren Park,905,1412,124,76,216,2731
Elizabeth,484,562,59,29,126,1262
Elizabeth East,555,803,90,39,115,1598
Munno Para West - Angle Vale,605,1095,98,71,117,1981
One Tree Hill,66,122,7,8,9,206
Smithfield - Elizabeth North,560,762,85,35,118,1566
Virginia - Waterloo Corner,140,235,25,10,40,451
Enfield - Blair Athol,1602,1547,124,45,234,3561
Northgate - Oakden - Gilles Plains,1664,1869,122,60,290,4010
Windsor Gardens,1661,1531,135,52,175,3557
Dry Creek - North,0,0,0,0,0,0
Ingle Farm,728,1000,74,31,82,1919
Para Hills,741,1008,98,55,81,1977
Parafield,16,0,0,0,0,16
Parafield Gardens,863,1297,92,37,111,2398
Paralowie,866,1314,97,56,131,2458
Salisbury,921,1129,87,47,131,2309
Salisbury East,806,1143,92,54,99,2194
Salisbury North,963,1347,117,58,157,2650
Mawson Lakes - Globe Derby Park,1117,1124,91,42,112,2483
Pooraka - Cavan,478,502,42,15,65,1091
Golden Grove,438,673,46,41,42,1238
Greenwith,403,694,32,48,35,1210
Highbury - Dernancourt,441,654,57,46,41,1233
Hope Valley - Modbury,946,1010,104,42,86,2188
Modbury Heights,886,1251,112,76,80,2410
Redwood Park,684,1173,88,65,92,2105
St Agnes - Ridgehaven,608,787,65,49,54,1559
Brighton (SA),630,726,79,48,56,1534
Glenelg (SA),1247,926,123,45,171,2506
Edwardstown,1062,866,93,26,119,2161
Hallett Cove,538,835,62,48,49,1537
Marino - Seaview Downs,428,640,46,40,49,1202
Mitchell Park,1082,907,90,30,98,2209
Morphettville,990,879,87,40,106,2106
Sheidow Park - Trott Park,514,893,49,53,39,1556
Warradale,1004,869,95,45,113,2122
Belair,137,236,17,23,17,425
Bellevue Heights,446,388,29,26,32,911
Blackwood,419,839,49,60,36,1400
Colonel Light Gardens,859,1096,82,69,77,2179
Mitcham (SA),685,920,81,48,68,1792
Panorama,440,468,49,30,66,1049
Aberfoyle Park,499,760,59,49,32,1404
Aldinga,575,1244,111,84,144,2158
Christie Downs,452,573,52,40,99,1216
Christies Beach,468,546,73,40,108,1236
Clarendon,70,143,4,9,5,232
Coromandel Valley,163,318,13,24,19,542
Flagstaff Hill,404,714,50,49,50,1263
Hackham - Onkaparinga Hills,237,423,40,23,14,741
Hackham West - Huntfield Heights,395,501,58,34,56,1046
Happy Valley,622,950,88,78,69,1806
Happy Valley Reservoir,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,3
McLaren Vale,159,358,26,24,26,591
Morphett Vale - East,665,879,88,60,91,1778
Morphett Vale - West,468,646,69,39,84,1308
Reynella,501,735,53,47,47,1385
Seaford (SA),1005,1733,129,102,164,3138
Willunga,93,204,11,18,19,341
Woodcroft,459,803,63,58,33,1417
Beverley,534,516,32,27,62,1176
Flinders Park,876,856,91,47,86,1954
Henley Beach,721,824,79,38,87,1750
Hindmarsh - Brompton,1469,965,109,39,150,2733
Royal Park - Hendon - Albert Park,391,375,35,14,40,854
Seaton - Grange,898,928,80,34,113,2056
West Lakes,631,706,55,33,78,1506
Woodville - Cheltenham,1114,1098,79,40,112,2441
Dry Creek - South,0,0,0,0,0,0
Largs Bay - Semaphore,876,823,108,51,75,1930
North Haven,758,792,84,44,73,1755
Port Adelaide,659,627,69,27,73,1449
The Parks,1294,1187,99,30,168,2771
Torrens Island,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0
Fulham,104,150,19,15,14,294
Lockleys,845,806,79,16,83,1829
Plympton,1915,1464,144,67,181,3767
Richmond (SA),1530,914,129,50,156,2775
West Beach,284,293,28,11,26,640
Barossa - Angaston,201,394,25,25,31,679
Light,335,623,49,35,46,1087
Lyndoch,202,429,24,28,41,724
Mallala,103,191,20,11,23,340
Nuriootpa,248,398,29,33,36,745
Tanunda,161,260,17,18,21,475
Clare,167,256,18,10,25,481
Gilbert Valley,134,262,21,15,37,468
Goyder,101,223,22,13,21,374
Wakefield - Barunga West,250,542,56,42,52,936
Jamestown,134,254,14,17,25,445
Peterborough - Mount Remarkable,148,240,17,8,34,448
Port Pirie,517,804,84,46,96,1547
Port Pirie Region,87,208,12,13,15,332
Kadina,179,319,28,16,38,578
Moonta,117,207,13,16,22,383
Wallaroo,111,188,12,14,19,345
Yorke Peninsula - North,150,334,21,17,23,547
Yorke Peninsula - South,83,160,8,10,19,285
Ceduna,126,145,15,10,53,352
Eyre Peninsula,164,398,39,16,52,669
Kimba - Cleve - Franklin Harbour,95,276,16,18,45,445
Le Hunte - Elliston,56,154,7,7,12,237
Port Lincoln,598,1010,98,79,130,1916
West Coast (SA),102,201,13,9,50,385
Western,3,0,0,0,6,10
Whyalla,907,1394,135,86,166,2684
Whyalla - North,0,0,0,0,0,0
APY Lands,104,129,49,33,60,379
Coober Pedy,80,80,10,4,37,204
Quorn - Lake Gilles,59,95,8,0,14,186
Outback,118,103,3,0,50,277
Port Augusta,571,741,96,50,143,1603
Roxby Downs,187,344,43,30,45,648
Goolwa - Port Elliot,239,464,42,35,53,833
Kangaroo Island,135,259,18,28,39,475
Strathalbyn,235,448,38,22,51,792
Strathalbyn Region,220,439,35,25,59,771
Victor Harbor,339,639,41,57,54,1129
Yankalilla,128,285,24,19,29,483
Grant,136,356,19,20,32,565
Kingston - Robe,116,195,14,6,19,358
Millicent,142,294,28,16,27,507
Naracoorte,275,360,33,41,38,748
Naracoorte Region,54,143,5,10,11,226
Penola,101,204,16,10,17,349
Tatiara,228,400,29,31,53,737
Wattle Range,92,186,13,14,20,323
Mount Gambier - East,512,1026,95,65,97,1798
Mount Gambier - West,526,889,94,53,82,1648
Barmera,199,350,33,22,36,632
Berri,183,252,25,6,36,498
Karoonda - Lameroo,79,172,14,6,23,299
Loxton,170,308,28,33,21,568
Loxton Region,43,96,6,9,14,162
Mannum,169,276,16,24,33,518
Murray Bridge,811,929,92,60,130,2023
Murray Bridge Region,108,210,19,13,25,372
Renmark,185,261,19,16,54,534
Renmark Region,187,289,22,13,41,553
The Coorong,149,309,28,19,46,549
Waikerie,185,341,16,14,34,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0
No Usual Address (SA),179,76,19,4,74,353
Augusta,176,354,25,29,53,635
Busselton,921,1780,111,125,173,3110
Busselton Region,409,822,41,59,116,1455
Margaret River,523,749,49,55,109,1483
Australind - Leschenault,593,1527,102,81,146,2449
Capel,195,347,25,24,38,633
College Grove - Carey Park,345,380,37,20,77,854
Collie,286,550,54,35,89,1015
Dardanup,79,198,6,19,19,324
Davenport,0,0,0,0,0,0
Eaton - Pelican Point,441,942,69,63,88,1604
Harvey,270,572,39,36,79,1005
East Bunbury - Glen Iris,332,464,38,31,60,918
Waroona,124,238,17,13,41,436
Dalyellup,379,861,48,41,84,1410
Gelorup - Stratham,68,194,4,10,8,286
South Bunbury - Bunbury,594,710,55,39,114,1502
Withers - Usher,237,361,36,22,65,713
Bridgetown - Boyup Brook,167,372,21,13,37,612
Donnybrook - Balingup,196,321,21,25,52,617
Manjimup,186,332,26,28,46,616
Pemberton,136,240,15,11,46,441
Dawesville - Bouvard,235,497,36,31,58,855
Falcon - Wannanup,283,557,37,25,64,961
Greenfields,345,583,53,36,70,1095
Halls Head - Erskine,595,1172,76,56,110,2005
Mandurah,439,407,54,19,87,1001
Mandurah - East,156,321,25,23,34,554
Mandurah - North,736,1487,120,99,134,2583
Mandurah - South,326,506,49,28,70,978
Pinjarra,326,617,49,52,92,1137
City Beach,133,297,21,20,32,498
Claremont (WA),474,327,30,27,83,943
Cottesloe,450,339,40,25,64,913
Floreat,237,540,24,27,30,867
Mosman Park - Peppermint Grove,656,492,55,26,129,1357
Nedlands - Dalkeith - Crawley,866,916,62,41,98,1991
Swanbourne - Mount Claremont,276,479,23,36,47,866
Kings Park (WA),0,0,0,0,0,5
Mount Hawthorn - Leederville,1030,765,71,44,108,2016
Mount Lawley - Inglewood,1525,858,102,44,245,2772
North Perth,817,510,63,41,106,1538
Perth City,5316,972,240,30,1186,7740
Subiaco - Shenton Park,1361,896,79,49,221,2603
Wembley - West Leederville - Glendalough,1709,1219,109,53,282,3373
Bassendean - Eden Hill - Ashfield,969,1031,107,76,120,2299
Bayswater - Embleton - Bedford,1764,1586,152,78,206,3783
Maylands,1695,724,107,32,227,2789
Morley,1543,1397,116,58,182,3298
Noranda,375,439,24,23,36,901
Chidlow,106,173,8,8,33,330
Glen Forrest - Darlington,203,426,30,35,34,724
Helena Valley - Koongamia,240,380,28,19,35,701
Malmalling - Reservoir,0,0,0,0,0,0
Mundaring,416,785,62,61,85,1403
Swan View - Greenmount - Midvale,549,730,73,44,72,1463
Avon Valley National Park,0,0,0,0,0,0
Ballajura,898,1227,113,47,107,2391
Beechboro,1116,1363,95,55,462,3092
Bullsbrook,207,371,29,20,81,699
Ellenbrook,2099,3666,250,156,386,6554
Gidgegannup,96,160,14,10,23,302
Hazelmere - Guildford,235,324,37,17,41,647
Lockridge - Kiara,695,825,87,50,118,1772
Malaga,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0
Middle Swan - Herne Hill,260,305,26,11,50,665
Midland - Guildford,706,573,70,27,167,1545
Stratton - Jane Brook,334,536,52,36,56,1011
The Vines,492,797,47,37,73,1449
Walyunga National Park,0,0,0,0,0,0
Craigie - Beldon,660,761,91,54,86,1652
Currambine - Kinross,589,1043,52,47,68,1805
Duncraig,498,1070,68,80,49,1760
Greenwood - Warwick,667,916,92,70,72,1819
Heathridge - Connolly,556,744,59,46,61,1473
Hillarys,353,678,44,47,37,1157
Iluka - Burns Beach,279,644,27,27,19,1000
Joondalup - Edgewater,894,793,71,45,83,1894
Kingsley,448,874,57,59,61,1509
Mullaloo - Kallaroo,398,753,50,35,80,1324
Ocean Reef,233,452,37,29,26,781
Padbury,447,628,54,45,51,1224
Sorrento - Marmion,271,545,32,40,39,927
Woodvale,269,584,27,30,14,928
Balcatta - Hamersley,1060,1009,104,52,155,2378
Balga - Mirrabooka,1452,1339,121,30,297,3243
Dianella,1433,1401,112,67,163,3176
Herdsman,0,0,0,0,0,0
Innaloo - Doubleview,1813,1051,122,45,259,3288
Karrinyup - Gwelup - Carine,777,1453,99,105,116,2549
Nollamara - Westminster,1989,1265,152,40,297,3750
Osborne Park Industrial,0,0,0,0,0,0
Scarborough,1939,904,151,46,272,3310
Stirling - Osborne Park,1116,893,98,25,119,2248
Trigg - North Beach - Watermans Bay,396,427,45,36,43,948
Tuart Hill - Joondanna,1511,744,135,17,184,2584
Wembley Downs - Churchlands - Woodlands,604,922,58,47,63,1707
Yokine - Coolbinia - Menora,1230,905,112,33,186,2462
Alexander Heights - Koondoola,590,775,63,42,100,1567
Butler - Merriwa - Ridgewood,1157,2040,149,122,328,3799
Carramar,975,1673,134,80,158,3019
Clarkson,914,1092,99,51,159,2318
Girrawheen,524,567,50,22,82,1251
Madeley - Darch - Landsdale,1419,2433,144,101,161,4251
Marangaroo,580,712,62,38,66,1457
Mindarie - Quinns Rocks - Jindalee,696,1364,79,79,120,2336
Neerabup National Park,0,0,0,0,0,0
Tapping - Ashby - Sinagra,588,1285,63,67,100,2098
Wanneroo,1435,2096,155,112,160,3945
Alkimos - Eglinton,620,823,69,36,133,1677
Carabooda - Pinjar,27,29,11,0,9,86
Two Rocks,107,222,21,9,37,402
Yanchep,404,780,40,31,105,1369
Armadale - Wungong - Brookdale,937,1383,133,63,232,2745
Ashendon - Lesley,0,0,0,0,0,0
Camillo - Champion Lakes,276,364,38,24,36,738
Forrestdale - Harrisdale - Piara Waters,1544,2298,129,86,138,4193
Kelmscott,492,693,54,43,112,1401
Mount Nasura - Mount Richon - Bedfordale,270,483,46,35,45,881
Roleystone,249,467,46,23,49,841
Seville Grove,530,995,87,66,101,1778
Belmont - Ascot - Redcliffe,1123,869,80,33,225,2337
East Victoria Park - Carlisle,1796,1015,118,44,280,3252
Kewdale Commercial,0,0,0,0,0,0
Perth Airport,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,2242,1550,174,49,490,4502
