SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Heidelberg West,1252,68,43,79,176,152,131,35,162,0,207,2297
Ivanhoe,1027,74,34,17,105,138,101,53,26,0,75,1651
Ivanhoe East - Eaglemont,560,44,6,3,35,62,36,13,3,0,30,797
Montmorency - Briar Hill,1770,88,33,24,57,83,28,43,19,0,84,2224
Viewbank - Yallambie,1717,90,52,46,118,213,125,43,31,7,68,2509
Watsonia,1027,34,23,19,65,67,47,21,11,0,40,1359
Kingsbury,579,28,36,94,222,277,167,41,32,6,126,1601
Reservoir - East,2325,88,129,195,370,385,589,81,124,4,360,4644
Reservoir - West,2121,82,106,212,202,241,504,52,46,4,247,3827
Preston - East,2142,129,126,116,274,244,242,84,70,0,311,3753
Preston - West,1360,86,31,40,98,113,172,38,28,3,133,2107
Eltham,2085,139,35,22,60,98,23,40,45,0,99,2644
Hurstbridge,368,28,0,0,4,0,5,10,4,0,20,430
Kinglake,396,19,7,0,7,0,4,4,0,0,52,493
Panton Hill - St Andrews,385,28,0,5,6,0,0,3,3,0,44,476
Plenty - Yarrambat,855,23,26,19,32,40,29,10,6,5,48,1098
Research - North Warrandyte,567,41,13,0,15,4,3,9,8,0,40,699
Wattle Glen - Diamond Creek,1446,80,20,3,28,23,12,23,20,0,61,1719
Bundoora - North,513,17,46,87,83,229,105,10,19,3,54,1173
Bundoora - West,417,12,16,26,55,169,70,8,7,0,47,839
Lalor,1436,19,183,394,383,112,549,17,45,8,226,3378
Mill Park - North,1411,26,111,147,125,143,202,25,28,0,127,2354
Mill Park - South,968,19,67,82,123,116,135,16,19,0,109,1656
Thomastown,1163,23,125,271,340,95,510,21,35,0,199,2779
Wallan,1907,60,22,20,74,21,93,16,22,0,234,2472
Whittlesea,840,20,12,3,10,3,9,8,10,0,72,979
Doreen,3134,113,62,49,100,35,164,35,63,0,156,3917
Epping - East,1017,21,68,139,113,52,369,15,40,0,122,1954
Epping - South,592,15,69,73,91,63,271,11,20,0,96,1294
Epping - West,896,17,110,157,162,46,643,23,63,0,141,2259
Mernda,2079,51,79,84,184,74,477,34,99,3,238,3405
South Morang (North),1331,29,96,90,101,53,327,21,44,0,93,2182
South Morang (South),1146,22,52,88,95,41,255,16,40,0,64,1813
Wollert,762,16,75,114,121,41,652,20,51,0,155,2025
Airport West,905,21,21,8,45,32,72,21,8,0,81,1206
Essendon Airport,0,0,0,0,0,0,0,0,0,0,0,0
Keilor,768,12,16,18,38,11,25,10,6,0,52,941
Keilor East,2258,56,97,100,291,123,147,67,28,0,165,3329
Niddrie - Essendon West,759,23,14,17,39,31,37,21,11,0,51,1000
Strathmore,864,24,29,36,45,25,46,14,0,0,44,1126
Gisborne,1399,50,11,5,18,13,8,15,13,0,86,1615
Macedon,282,19,7,0,5,3,0,5,0,0,39,357
Riddells Creek,415,20,0,0,5,3,0,0,0,0,19,471
Romsey,915,35,5,5,15,4,3,7,4,0,77,1077
Coburg North,810,56,25,38,93,64,64,30,16,0,99,1291
Fawkner,790,20,32,203,91,28,583,18,25,0,150,1944
Pascoe Vale,2437,119,87,180,214,202,467,109,53,0,285,4157
Glenroy,1608,52,67,322,248,161,947,37,46,5,258,3750
Gowanbrae,354,11,13,15,12,12,20,13,3,0,26,478
Hadfield,512,18,14,81,26,7,60,12,5,0,51,783
Sunbury,1312,43,24,7,39,22,29,15,9,0,88,1596
Sunbury - South,3120,118,42,16,123,30,84,34,25,0,192,3779
Broadmeadows,700,5,14,426,132,43,296,29,56,4,203,1909
Campbellfield - Coolaroo,793,10,26,701,84,13,196,5,49,4,194,2061
Gladstone Park - Westmeadows,1677,29,54,137,88,25,82,22,5,0,148,2265
Greenvale - Bulla,1450,31,50,270,85,41,125,20,12,0,114,2192
Meadow Heights,802,5,22,728,126,12,128,22,32,3,175,2048
Melbourne Airport,5,0,0,0,0,0,0,0,0,0,8,24
Roxburgh Park - Somerton,1076,20,60,1212,171,39,320,26,64,0,183,3167
Tullamarine,715,11,21,43,46,17,86,8,9,0,80,1034
Craigieburn - Central,661,12,25,116,57,9,265,11,4,3,93,1255
Craigieburn - North,992,18,41,199,101,20,569,14,30,0,117,2108
Craigieburn - South,1214,24,37,381,142,31,684,16,38,0,130,2687
Craigieburn - West,1102,24,33,378,176,40,1098,20,52,3,125,3057
Mickleham - Yuroke,345,12,11,43,34,3,117,4,6,0,40,607
Bayswater,1076,42,24,22,176,215,169,21,24,4,86,1869
Knoxfield - Scoresby,1061,54,15,44,246,289,237,34,24,5,83,2085
Lysterfield,568,12,18,8,38,34,35,8,8,0,29,757
Rowville - Central,1213,44,45,41,171,245,162,18,32,0,78,2048
Rowville - North,634,30,15,18,98,107,83,9,18,5,31,1043
Rowville - South,805,19,36,22,97,117,143,17,20,0,43,1327
Wantirna,971,30,25,18,193,344,154,15,19,3,62,1834
Wantirna South,955,43,26,29,241,473,218,13,27,0,48,2083
Boronia,2229,95,42,37,194,217,241,44,46,0,185,3331
Ferntree Gully (North),1383,66,27,13,125,110,106,19,22,0,95,1973
Ferntree Gully (South) - Upper Ferntree Gully,1492,67,21,20,103,106,86,31,28,0,85,2038
The Basin,488,31,11,4,13,11,9,0,6,0,28,589
Donvale - Park Orchards,1015,53,25,60,116,244,66,20,33,0,73,1704
Warrandyte - Wonga Park,761,39,9,10,17,24,7,10,12,0,43,928
Bayswater North,1228,33,13,15,102,75,100,20,31,0,98,1718
Croydon Hills - Warranwood,1678,88,17,20,58,104,45,19,35,0,69,2129
Ringwood,1511,75,32,69,290,411,238,39,49,0,126,2842
Ringwood East,1905,99,28,52,222,273,155,39,28,4,115,2918
Ringwood North,843,33,15,14,54,100,25,21,18,3,42,1159
Croydon - East,1761,69,23,28,209,109,96,21,29,4,160,2511
Croydon - West,1221,55,23,24,148,106,86,31,24,0,94,1812
Croydon South,538,18,10,7,38,43,20,4,15,0,29,723
Forest Hill,667,15,22,36,169,362,156,21,19,0,52,1503
Mitcham (Vic.),1375,81,37,73,226,470,190,40,41,0,103,2626
Nunawading,898,45,11,37,195,327,194,17,22,0,92,1836
Vermont,733,35,24,18,141,285,125,19,15,3,43,1439
Vermont South,519,20,4,12,140,386,103,12,13,3,31,1248
Belgrave - Selby,1032,95,20,3,21,18,9,18,20,0,73,1290
Chirnside Park,992,49,5,13,43,31,33,8,19,0,51,1235
Healesville - Yarra Glen,1358,66,14,3,23,14,3,15,11,0,136,1646
Kilsyth,1025,49,8,10,65,15,26,17,13,0,63,1289
Lilydale - Coldstream,2131,66,12,7,42,31,50,24,32,4,118,2507
Monbulk - Silvan,524,47,6,0,9,13,0,7,7,0,36,648
Montrose,726,23,3,0,20,6,8,3,9,0,40,842
Mooroolbark,2402,92,20,26,213,98,79,24,46,0,131,3140
Mount Dandenong - Olinda,881,78,28,7,14,21,6,25,10,0,66,1144
Mount Evelyn,1130,39,12,4,11,9,0,9,5,0,67,1284
Upwey - Tecoma,1030,83,24,4,34,12,12,16,11,3,53,1289
Wandin - Seville,845,22,10,0,10,6,3,6,5,0,48,968
Yarra Valley,1607,52,12,0,24,11,8,12,9,0,159,1892
Beaconsfield - Officer,1470,95,34,19,46,40,189,24,44,0,84,2042
Bunyip - Garfield,799,23,3,0,14,5,3,11,4,0,76,927
Emerald - Cockatoo,1792,107,20,4,27,11,12,25,25,0,160,2177
Koo Wee Rup,786,29,11,0,19,3,9,3,0,0,84,942
Pakenham - North,2365,106,34,60,103,31,217,37,71,4,203,3240
Pakenham - South,3209,147,78,96,205,83,451,64,119,6,219,4671
Berwick - North,1865,117,64,36,83,146,196,46,58,0,108,2715
Berwick - South,2259,143,82,91,190,260,781,55,134,5,158,4157
Doveton,525,12,119,82,157,41,481,6,43,3,135,1592
Hallam,523,9,79,76,150,43,476,21,56,0,72,1500
Narre Warren North,525,25,39,16,18,32,46,8,10,0,34,756
Endeavour Hills - North,728,30,109,66,122,77,294,30,28,0,92,1579
Endeavour Hills - South,748,27,135,62,138,122,369,26,42,3,93,1758
Narre Warren - North East,1075,36,68,52,99,67,282,20,22,0,72,1805
Narre Warren - South West,1056,36,55,68,164,72,491,26,51,0,107,2125
Cranbourne,1704,71,43,48,164,55,516,19,65,0,207,2894
Cranbourne East,2398,127,81,107,342,95,1468,49,209,0,244,5130
Cranbourne North,1652,70,73,75,254,74,928,39,92,0,206,3463
Cranbourne South,999,40,17,3,18,6,9,10,22,0,71,1184
Cranbourne West,1516,56,45,44,190,41,794,31,80,4,156,2952
Hampton Park - Lynbrook,1306,34,166,136,476,112,1063,45,123,0,258,3713
Lynbrook - Lyndhurst,913,63,71,61,300,127,997,32,94,0,146,2815
Pearcedale - Tooradin,815,36,12,0,17,0,5,9,4,0,76,967
Narre Warren South (East),1001,59,69,37,90,79,282,31,42,0,65,1764
Narre Warren South (West),1242,28,69,62,172,60,697,57,55,0,125,2576
Clarinda - Oakleigh South,715,17,65,32,164,134,213,18,22,8,50,1447
Clayton South,481,13,70,102,314,344,624,27,40,0,107,2123
Dandenong,902,22,339,239,349,175,2031,28,174,4,415,4677
Dandenong North,1127,30,200,165,339,109,780,33,56,0,170,2998
Dingley Village,783,43,35,18,71,56,68,14,22,0,36,1147
Keysborough,1256,36,107,90,1290,384,568,36,83,4,154,4015
Noble Park North,438,11,61,25,183,50,172,15,29,0,61,1036
Springvale,471,3,24,38,1410,358,643,12,38,4,202,3202
Springvale South,341,7,17,22,1033,89,189,10,28,0,86,1821
Noble Park - East,480,16,79,42,410,99,830,16,70,9,145,2199
Noble Park - West,602,22,84,69,1136,106,617,34,83,0,154,2903
Ashwood - Chadstone,1312,60,80,60,319,625,287,54,54,4,223,3079
Clayton,548,34,62,104,506,1110,809,40,63,5,199,3472
Glen Waverley - East,583,43,17,38,329,808,488,11,40,6,57,2431
Glen Waverley - West,598,40,30,41,353,845,515,19,27,0,114,2580
Mount Waverley - North,614,34,31,22,202,510,276,20,23,5,84,1819
Mount Waverley - South,926,42,42,35,248,609,354,32,36,0,102,2422
Mulgrave,1177,43,81,59,393,425,410,35,46,0,129,2796
Oakleigh - Huntingdale,1498,82,128,44,290,564,417,59,47,11,166,3320
Wheelers Hill,942,44,34,48,209,503,230,15,21,3,71,2123
Ardeer - Albion,516,10,22,49,221,74,257,19,50,0,112,1334
Cairnlea,491,15,72,41,610,58,102,22,30,0,61,1500
Deer Park - Derrimut,1725,26,176,144,1209,196,617,89,193,5,289,4671
Delahey,539,9,64,46,239,19,122,14,17,0,74,1145
Keilor Downs,1053,21,89,63,200,31,93,33,11,0,91,1687
Kings Park (Vic.),675,11,93,71,680,44,129,30,57,4,146,1931
St Albans - North,801,17,124,97,957,62,537,29,95,3,271,3007
St Albans - South,621,8,54,49,931,80,385,13,54,5,198,2407
Sunshine,561,17,32,40,474,70,259,21,35,0,104,1619
Sunshine North,438,4,18,36,847,57,113,19,47,3,116,1697
Sunshine West,1016,17,99,89,779,121,227,26,107,3,186,2680
Sydenham,904,20,75,59,198,49,409,33,33,0,121,1908
Taylors Lakes,1352,25,97,64,116,31,108,15,13,0,84,1901
Altona,1199,120,67,14,107,73,88,50,22,0,111,1860
Altona Meadows,1708,67,90,87,287,118,279,42,56,0,147,2884
Altona North,1230,65,40,148,224,75,98,48,34,0,161,2120
Newport,2248,202,52,33,154,65,71,91,36,0,158,3120
Seabrook,413,29,25,14,56,73,111,12,9,0,53,790
Williamstown,1299,143,42,20,74,33,30,34,39,0,111,1835
Braybrook,1064,52,54,55,1039,256,304,64,129,0,235,3267
Footscray,1596,112,49,37,579,226,422,86,78,4,294,3480
Maribyrnong,1001,52,80,52,427,240,167,84,32,6,184,2332
Seddon - Kingsville,1354,109,33,10,131,44,89,47,38,0,118,1976
West Footscray - Tottenham,1229,81,34,20,254,67,274,52,73,7,143,2224
Yarraville,2064,211,59,14,133,86,55,83,30,0,184,2925
Bacchus Marsh,2323,84,33,4,41,13,55,25,24,0,161,2753
Hillside,2224,41,150,95,293,46,394,56,50,0,202,3552
Melton,2004,42,77,61,159,30,80,33,21,0,197,2694
Melton South,2479,77,66,99,235,34,364,48,57,0,289,3756
Melton West,2041,46,69,76,137,29,176,35,58,0,214,2886
Rockbank - Mount Cottrell,335,4,9,0,32,8,15,0,0,0,49,455
Taylors Hill,1961,37,188,129,402,82,465,59,69,0,154,3542
Burnside,291,4,43,21,136,15,66,22,22,0,28,650
Burnside Heights,476,7,66,48,228,33,207,24,30,0,51,1171
Caroline Springs,1732,52,215,122,451,125,393,80,78,8,190,3453
Hoppers Crossing - North,1447,51,72,73,219,70,425,34,65,0,154,2611
Hoppers Crossing - South,1296,40,76,81,373,101,541,28,71,0,160,2771
Laverton,507,39,35,27,302,209,486,35,38,0,110,1796
Tarneit,2435,67,100,212,586,170,2808,79,326,5,386,7185
Truganina,1186,39,75,171,562,288,2103,48,254,7,277,5010
Werribee - South,997,27,35,17,113,36,146,33,27,0,117,1550
Wyndham Vale,2455,87,83,97,347,60,848,52,133,9,223,4386
Point Cook - East,918,138,81,46,201,322,270,51,118,4,122,2276
Point Cook - North,1825,131,130,93,502,517,802,65,133,7,167,4361
Point Cook - South,976,125,78,45,469,474,827,62,119,0,141,3318
Werribee - East,1509,40,65,92,387,72,441,33,87,0,187,2912
Werribee - West,1134,48,26,24,130,32,163,24,34,0,101,1711
Carrum Downs,2224,86,59,30,166,60,232,31,68,4,227,3188
Frankston,2324,128,72,22,121,85,121,36,51,6,279,3236
Frankston North,2031,89,63,23,110,68,50,32,30,3,227,2712
Frankston South,1537,124,40,12,58,46,39,25,27,5,83,1998
Langwarrin,2717,156,29,9,59,18,37,26,30,0,161,3239
Seaford (Vic.),1868,134,58,10,89,37,24,50,28,6,212,2518
Skye - Sandhurst,1455,110,49,13,93,42,100,25,89,0,80,2047
Dromana,895,52,9,4,24,14,5,14,13,3,58,1094
Flinders,318,20,5,0,6,0,0,11,0,0,32,389
Hastings - Somers,2182,109,15,0,63,15,11,20,10,0,194,2627
Mornington,2053,235,31,9,62,23,22,38,36,0,170,2674
Mount Eliza,1308,199,17,6,34,21,12,27,25,0,74,1719
Mount Martha,1598,202,21,10,20,11,6,22,24,4,88,2004
Point Nepean,1402,68,17,0,26,13,3,14,19,0,142,1707
Rosebud - McCrae,1684,76,20,0,42,15,24,10,15,0,142,2032
Somerville,1913,93,11,5,49,8,7,11,10,0,143,2249
Ararat,629,10,4,4,29,27,23,4,3,0,62,792
Ararat Region,237,6,0,0,6,0,3,0,0,0,53,312
Horsham,1699,18,0,6,46,24,48,5,13,0,121,1987
Horsham Region,305,5,0,0,7,0,0,0,0,0,23,351
Nhill Region,489,11,4,3,34,4,20,5,3,0,47,612
St Arnaud,255,4,4,0,10,0,0,4,0,0,21,297
Stawell,678,19,0,0,22,20,20,0,7,0,74,850
West Wimmera,215,10,0,0,0,0,3,4,0,0,14,248
Yarriambiack,490,7,0,0,3,0,10,5,4,0,50,567
Irymple,644,8,6,0,16,5,3,0,0,0,56,738
Merbein,415,6,0,5,9,5,0,0,0,0,42,491
Mildura Region,288,9,0,0,0,7,10,0,4,0,31,354
Red Cliffs,546,10,0,3,17,6,3,5,4,0,65,665
Mildura - North,1823,35,12,20,94,72,81,13,20,0,224,2388
Mildura - South,1459,18,4,35,50,34,101,3,17,0,147,1871
Buloke,439,6,0,0,13,5,10,7,0,0,47,530
Gannawarra,513,4,4,0,7,0,6,3,3,0,48,583
Kerang,296,5,0,0,5,0,13,3,4,0,35,362
Robinvale,230,0,0,0,76,39,17,0,5,0,61,429
Swan Hill,1005,15,3,7,55,19,76,6,19,0,143,1347
Swan Hill Region,473,17,0,0,25,10,6,5,5,0,93,626
Echuca,1421,28,5,0,30,10,22,15,3,0,138,1673
Kyabram,993,10,3,0,27,12,11,0,5,0,109,1174
Lockington - Gunbower,327,0,0,0,7,0,0,0,0,0,41,385
Rochester,313,5,6,0,6,3,0,0,0,0,26,361
Rushworth,272,3,0,0,14,0,0,0,0,0,34,328
Cobram,472,6,3,14,29,8,36,3,0,0,67,645
Moira,203,8,0,0,11,0,0,0,0,0,15,241
Numurkah,1075,27,0,4,22,9,12,5,0,0,81,1246
Yarrawonga,609,14,0,0,20,3,20,0,3,0,79,749
Mooroopna,804,8,3,6,26,18,27,0,8,0,75,979
Shepparton - North,1682,30,49,49,78,73,260,14,46,6,219,2490
Shepparton - South,1941,26,32,169,88,89,269,7,38,5,267,2934
Shepparton Region - East,342,6,0,0,3,5,6,6,0,0,22,392
Shepparton Region - West,885,23,6,8,33,25,17,10,0,0,112,1115
Glenelg (Vic.),684,14,0,0,15,0,7,3,8,0,76,800
Hamilton (Vic.),873,23,0,3,19,5,25,10,3,0,70,1028
Portland,1001,11,0,0,33,7,14,0,11,0,108,1191
Southern Grampians,501,15,3,0,7,3,0,3,3,0,46,584
Camperdown,293,4,0,0,8,0,0,0,0,0,37,341
Colac,1127,15,4,12,27,27,15,4,3,0,81,1307
Colac Region,460,15,3,0,13,0,0,0,0,0,45,535
Corangamite - North,418,7,0,0,4,0,0,0,0,0,50,490
Corangamite - South,584,19,4,0,13,3,0,4,3,0,60,691
Otway,242,26,10,0,8,12,6,4,0,0,35,334
Moyne - East,593,21,0,0,3,0,0,4,4,0,56,688
Moyne - West,835,30,7,0,26,19,4,6,15,0,85,1022
Warrnambool - North,2215,44,6,9,50,59,28,14,9,4,165,2622
Warrnambool - South,1255,40,9,7,34,61,20,14,7,0,116,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (Vic.),713,63,33,25,61,75,39,32,25,3,204,1271
Alexandra Hills,1872,101,25,12,66,33,24,23,31,0,93,2279
Belmont - Gumdale,683,30,16,4,12,44,22,18,17,0,31,883
Birkdale,1461,109,20,6,29,36,26,19,43,0,62,1812
Capalaba,1921,83,22,8,81,39,58,21,34,0,74,2344
Thorneside,389,38,8,3,14,13,6,7,9,0,38,523
Wellington Point,1027,111,9,5,28,17,12,15,47,0,49,1314
Cleveland,1053,135,24,9,56,39,20,24,37,0,65,1464
Ormiston,400,57,17,8,23,19,8,9,27,0,17,579
Redland Bay,1632,130,13,4,36,15,15,23,47,0,125,2034
Sheldon - Mount Cotton,1029,72,12,0,19,13,10,8,50,0,41,1255
Thornlands,1370,172,22,3,24,18,22,15,82,0,63,1799
Victoria Point,1270,101,16,3,34,16,14,13,31,0,56,1558
Redland Islands,536,17,3,0,26,6,0,11,7,0,55,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0,0,0,0,0
Manly - Lota,653,100,8,0,21,13,9,14,21,0,40,871
Manly West,1257,93,10,9,41,26,17,29,32,0,68,1579
Murarrie,470,52,8,0,30,34,25,25,12,0,42,686
Tingalpa,997,66,9,9,63,25,46,27,17,0,76,1341
Wakerley,1034,109,23,29,31,57,57,47,89,0,48,1525
Wynnum,1373,123,18,0,64,33,21,42,27,3,70,1765
Wynnum West - Hemmant,1659,94,33,18,101,61,54,37,38,0,112,2208
Bald Hills,885,33,10,8,55,19,70,21,18,3,42,1165
Bridgeman Downs,576,39,8,14,25,42,57,23,33,0,26,858
Carseldine,736,47,7,23,72,67,149,18,47,4,54,1224
Everton Park,1121,68,18,18,54,54,59,27,27,0,56,1497
McDowall,734,40,17,9,30,41,41,17,29,0,36,995
Aspley,1125,46,19,7,77,71,58,30,25,3,59,1535
Chermside,839,43,18,48,134,163,229,52,14,0,115,1657
Chermside West,642,25,12,4,47,41,48,20,9,0,27,864
Geebung,525,27,3,0,28,14,18,5,6,0,27,650
Kedron - Gordon Park,1791,99,29,19,93,91,141,66,37,4,155,2521
Stafford,898,57,15,10,43,38,37,28,16,0,63,1211
Stafford Heights,746,38,5,5,29,20,14,14,16,0,55,941
Wavell Heights,1267,88,20,7,58,36,42,33,20,3,63,1641
Boondall,883,37,15,10,80,54,124,13,10,0,45,1271
Brisbane Airport,10,0,0,3,0,0,0,0,0,0,0,23
Eagle Farm - Pinkenba,79,5,6,0,10,11,3,4,0,0,25,151
Northgate - Virginia,855,52,15,4,48,26,81,13,14,0,75,1190
Nudgee - Banyo,1109,70,22,3,89,51,81,37,10,3,74,1547
Nundah,1586,109,43,17,147,117,300,86,28,0,152,2588
Bracken Ridge,1789,81,28,29,145,53,182,27,45,0,97,2473
Brighton (Qld),1043,112,12,4,16,11,5,20,24,0,63,1306
Deagon,412,34,4,0,22,7,8,9,7,0,28,526
Sandgate - Shorncliffe,572,59,16,0,15,0,10,19,9,0,40,739
Taigum - Fitzgibbon,1121,58,37,45,187,112,404,53,47,0,109,2171
Zillmere,933,38,20,20,102,45,223,34,18,0,98,1537
Camp Hill,1398,101,22,11,54,46,48,38,34,0,98,1843
Cannon Hill,689,60,14,4,35,66,28,36,16,0,106,1062
Carina,1305,108,34,15,69,72,82,53,33,5,94,1871
Carina Heights,779,49,30,22,55,81,48,43,21,0,40,1174
Carindale,1010,70,33,31,89,189,77,44,70,0,64,1687
Annerley,1313,106,51,35,134,141,177,102,59,4,172,2292
Coorparoo,2034,124,48,34,87,116,275,101,38,0,182,3045
Fairfield - Dutton Park,513,48,21,23,56,56,31,38,13,0,47,844
Greenslopes,1152,83,35,20,95,100,213,71,27,4,103,1907
Holland Park,995,59,19,12,47,47,43,31,39,0,69,1361
Holland Park West,722,43,19,11,46,64,75,34,16,0,45,1074
Woolloongabba,526,50,34,11,59,142,67,61,8,0,121,1076
Yeronga,919,75,38,25,65,75,69,55,47,3,107,1467
Eight Mile Plains,721,44,39,34,187,1077,283,19,59,0,95,2559
Macgregor (Qld),212,14,13,0,77,408,81,8,15,3,39,874
Mansfield (Qld),716,25,22,8,51,102,117,27,21,0,51,1145
Mount Gravatt,1574,95,38,41,107,180,173,62,62,0,154,2489
Rochedale - Burbank,418,21,21,12,83,260,80,18,17,3,25,968
Upper Mount Gravatt,710,46,29,20,118,304,103,36,26,0,75,1466
Wishart,813,42,42,5,112,238,134,21,30,0,55,1490
Coopers Plains,296,15,13,16,101,233,141,20,25,0,63,927
Moorooka,1145,72,43,40,77,88,106,65,58,5,89,1791
Robertson,122,4,7,24,72,328,143,10,7,0,32,764
Salisbury - Nathan,746,41,11,14,48,68,82,26,26,0,62,1134
Tarragindi,1216,78,18,13,43,58,35,37,24,0,63,1579
Algester,710,26,23,25,92,229,116,36,39,0,51,1339
Calamvale - Stretton,1001,54,81,96,352,1569,305,50,108,0,178,3802
Pallara - Willawong,400,19,11,14,106,51,106,13,29,0,30,783
Parkinson - Drewvale,1199,58,48,44,206,524,264,29,90,3,75,2529
Rocklea - Acacia Ridge,723,23,29,53,124,81,131,29,82,0,107,1385
Kuraby,398,24,22,57,104,225,221,19,93,9,44,1209
Runcorn,703,21,28,48,233,948,407,22,61,0,107,2596
Sunnybank,298,16,10,13,122,762,105,16,28,5,58,1429
Sunnybank Hills,835,37,56,30,248,1192,213,28,41,0,134,2809
Jindalee - Mount Ommaney,625,55,18,20,56,64,16,37,27,0,30,953
Middle Park - Jamboree Heights,629,56,12,20,87,76,35,23,19,0,23,983
Riverhills,479,35,11,12,27,36,20,17,17,0,26,677
Seventeen Mile Rocks - Sinnamon Park,807,70,21,40,87,90,61,30,56,0,33,1293
Westlake,280,27,5,10,39,34,28,14,15,0,11,456
Bellbowrie - Moggill,860,130,19,13,49,42,57,40,103,0,59,1370
Brookfield - Kenmore Hills,357,39,18,10,17,33,12,17,29,0,26,549
Chapel Hill,728,86,26,14,82,125,44,44,55,0,36,1239
Fig Tree Pocket,261,35,5,13,13,23,18,14,30,0,18,426
Kenmore,667,81,20,7,52,75,55,37,65,0,24,1087
Pinjarra Hills - Pullenvale,367,56,8,0,21,15,5,10,29,0,14,524
Chelmer - Graceville,668,72,16,5,32,49,14,41,29,0,28,957
Corinda,463,39,9,12,33,22,22,15,10,0,31,646
Indooroopilly,807,85,19,69,151,309,156,91,38,0,102,1837
Sherwood,565,44,11,15,36,51,46,27,20,0,56,870
St Lucia,431,52,28,41,261,338,116,90,24,0,98,1491
Taringa,813,79,41,47,118,144,100,85,33,0,67,1534
Enoggera,1034,55,19,12,46,42,41,46,17,0,81,1395
Enoggera Reservoir,3,0,0,0,0,0,0,0,0,0,0,7
Keperra,833,35,13,15,34,22,11,8,14,0,38,1023
Mitchelton,1108,68,17,3,30,40,28,42,27,6,46,1421
Mount Coot-tha,0,0,0,0,0,0,0,0,0,0,0,0
The Gap,1414,165,35,16,51,44,29,51,67,5,95,1978
Upper Kedron - Ferny Grove,1139,80,17,14,34,32,19,37,33,0,39,1439
Brisbane City,592,98,67,44,129,632,91,210,27,4,195,2090
Fortitude Valley,814,94,66,27,116,168,110,188,18,6,243,1853
Highgate Hill,585,92,32,10,53,91,63,74,13,5,97,1111
Kangaroo Point,803,150,60,44,75,121,67,161,39,0,139,1663
New Farm,1606,184,57,22,97,99,74,142,47,0,319,2644
South Brisbane,521,118,54,55,132,311,78,149,10,0,135,1568
Spring Hill,368,72,45,16,106,206,122,290,20,0,133,1393
West End,992,157,62,32,121,120,74,111,24,4,211,1912
Balmoral,498,75,9,6,18,17,11,22,14,0,56,722
Bulimba,787,137,21,8,24,32,20,48,27,4,105,1197
East Brisbane,679,59,24,9,57,69,51,76,20,0,91,1134
Hawthorne,624,68,23,4,18,10,10,40,16,0,32,851
Morningside - Seven Hills,1837,203,47,18,97,125,97,85,57,0,182,2750
Norman Park,839,70,14,3,36,23,16,23,21,0,71,1130
Albion,386,29,11,6,21,30,24,16,8,0,52,594
Alderley,781,44,10,14,38,34,41,24,15,0,52,1059
Ascot,473,48,14,15,20,37,42,27,16,0,46,745
Clayfield,1195,81,36,25,60,87,190,44,35,3,114,1871
Grange,512,41,4,0,14,13,7,21,10,0,26,648
Hamilton (Qld),641,63,22,28,45,83,33,55,22,0,137,1130
Hendra,459,40,8,7,21,17,15,15,7,0,32,618
Kelvin Grove - Herston,758,84,41,143,133,294,110,61,34,0,163,1824
Newmarket,556,37,8,7,42,45,46,30,12,0,35,823
Newstead - Bowen Hills,1528,194,65,37,94,165,40,166,41,3,365,2700
Wilston,456,30,7,3,16,14,19,14,13,0,32,608
Windsor,932,77,20,14,69,65,100,39,20,0,69,1405
Wooloowin - Lutwyche,1155,84,16,20,62,79,164,49,26,4,125,1789
Ashgrove,1357,104,23,9,35,55,46,50,31,4,93,1802
Auchenflower,651,41,13,19,48,48,61,41,7,0,76,1004
Bardon,1027,110,25,9,20,31,9,41,34,0,62,1362
Paddington - Milton,1467,159,33,16,56,74,37,90,38,3,127,2097
Red Hill (Qld),813,75,21,5,21,31,35,31,15,0,89,1129
Toowong,1109,93,36,35,123,225,89,113,29,3,144,2004
Brinsmead,591,41,7,9,18,46,9,10,8,0,45,785
Clifton Beach - Kewarra Beach,962,166,29,7,45,76,6,38,33,0,113,1471
Freshwater - Stratford,374,51,4,0,14,17,7,12,6,0,33,520
Redlynch,1368,127,14,4,51,73,46,41,25,0,99,1855
Trinity Beach - Smithfield,1503,190,40,9,77,103,49,43,40,6,152,2202
Yorkeys Knob - Machans Beach,569,53,19,4,21,35,3,25,7,0,109,847
Bentley Park,1058,41,5,0,62,28,11,12,3,0,86,1316
Cairns City,826,138,43,13,108,439,130,57,15,0,390,2153
Earlville - Bayview Heights,779,37,17,0,47,54,15,11,8,0,100,1068
Edmonton,1292,37,7,0,72,30,24,16,14,0,129,1624
Gordonvale - Trinity,932,43,0,0,20,13,6,7,6,0,89,1118
Kanimbla - Mooroobool,957,43,13,0,59,117,84,17,12,0,122,1428
Lamb Range,0,0,0,0,0,0,0,0,0,0,0,0
Manoora,639,37,11,4,57,72,39,4,15,0,166,1038
Manunda,466,26,8,0,58,59,63,10,11,0,138,825
Mount Sheridan,890,48,11,5,72,80,34,16,5,0,64,1222
