SA2,Never married,Widowed,Divorced,Separated,Married,Total
Gracemere,671,6,120,103,876,1775
Lakes Creek,276,3,43,23,309,660
Mount Morgan,144,3,23,18,83,273
Norman Gardens,490,3,68,67,810,1435
Park Avenue,280,5,40,37,293,658
Parkhurst - Kawana,353,10,40,47,488,947
Rockhampton - West,357,3,32,46,328,763
Rockhampton City,190,0,32,24,126,374
Rockhampton Region - East,87,4,16,8,216,338
Rockhampton Region - North,140,9,27,12,251,439
Rockhampton Region - West,84,0,18,12,222,328
Shoalwater Bay,0,0,0,0,0,0
The Range - Allenstown,396,0,39,39,447,927
Yeppoon,785,4,128,111,1107,2139
Banana,284,3,48,25,678,1042
Biloela,231,3,41,40,513,819
Agnes Water - Miriam Vale,202,7,33,33,298,564
Boyne Island - Tannum Sands,413,7,68,66,867,1420
Callemondah,0,0,0,0,0,0
Clinton - New Auckland,722,13,109,104,1267,2214
Gladstone,352,3,44,50,388,833
Gladstone Hinterland,453,5,90,56,993,1589
Kin Kora - Sun Valley,170,0,37,26,306,538
South Trees,0,0,0,0,0,0
Telina - Toolooa,347,3,42,49,558,993
West Gladstone,246,6,37,43,312,638
Broadbeach Waters,408,0,51,40,489,985
Burleigh Heads,763,3,97,54,444,1351
Burleigh Waters,696,7,123,71,998,1891
Mermaid Beach - Broadbeach,1377,5,128,64,585,2166
Mermaid Waters,779,8,85,62,760,1705
Miami,735,3,79,32,428,1285
Coolangatta,464,4,36,24,227,758
Currumbin - Tugun,785,3,83,65,672,1609
Currumbin Waters,384,4,64,42,559,1047
Elanora,504,10,79,46,766,1408
Palm Beach,1074,3,154,99,900,2233
Arundel,472,11,90,57,682,1301
Biggera Waters,593,9,109,81,511,1299
Coombabah,497,6,116,58,534,1214
Labrador,1295,19,194,117,972,2596
Paradise Point - Hollywell,324,4,77,49,558,1008
Runaway Bay,318,4,71,33,455,885
Guanaba - Springbrook,247,4,44,14,279,583
Tamborine - Canungra,485,0,108,88,840,1523
Currumbin Valley - Tallebudgera,270,5,51,22,438,783
Mudgeeraba - Bonogin,748,10,142,93,1483,2478
Reedy Creek - Andrews,344,0,87,54,749,1231
Carrara,643,6,88,97,778,1613
Highland Park,454,9,67,57,536,1115
Nerang - Mount Nathan,1152,11,166,148,1369,2843
Pacific Pines - Gaven,944,6,184,158,1705,2994
Worongary - Tallai,265,4,48,36,521,878
Coomera,860,0,119,113,1202,2297
Helensvale,676,7,130,78,1197,2077
Hope Island,329,0,106,61,744,1238
Jacobs Well - Alberton,148,8,20,21,219,412
Ormeau - Yatala,907,13,180,148,1870,3119
Oxenford - Maudsland,796,6,145,124,1333,2404
Pimpama,754,3,113,127,730,1718
Upper Coomera - Willow Vale,1722,13,285,249,3004,5277
Clear Island Waters,122,0,19,9,240,394
Merrimac,424,9,88,57,497,1070
Robina,1179,8,179,136,1568,3074
Varsity Lakes,1055,15,184,110,1120,2480
Ashmore,563,0,110,73,758,1506
Molendinar,342,0,44,32,454,881
Parkwood,424,0,51,38,537,1048
Southport - North,1181,22,162,113,845,2317
Southport - South,1134,9,157,111,1000,2418
Benowa,295,0,60,33,567,958
Bundall,203,4,39,31,284,559
Main Beach,258,7,26,16,180,485
Surfers Paradise,2184,9,218,132,1389,3937
Darra - Sumner,310,0,35,24,458,828
Durack,334,10,91,51,681,1164
Forest Lake - Doolandella,1357,17,272,185,2543,4372
Inala - Richlands,876,30,204,176,1270,2560
Oxley (Qld),448,3,36,49,775,1321
Wacol,281,8,29,51,250,613
Boonah,420,9,70,56,753,1306
Esk,168,3,17,23,238,455
Lake Manchester - England Creek,0,0,0,0,0,0
Lockyer Valley - East,842,13,147,147,1148,2300
Lowood,628,13,132,98,834,1706
Rosewood,512,5,77,64,641,1302
Brassall,670,9,115,120,650,1562
Bundamba,596,4,68,68,489,1233
Churchill - Yamanto,385,8,65,56,490,1011
Ipswich - Central,370,3,58,47,338,810
Ipswich - East,1065,14,150,138,1020,2382
Ipswich - North,187,0,33,20,341,587
Karalee - Barellan Point,190,4,27,27,455,703
Karana Downs,197,7,59,22,520,798
Leichhardt - One Mile,508,14,80,115,383,1102
North Ipswich - Tivoli,377,5,73,48,354,852
Raceview,775,8,143,154,1133,2219
Ripley,293,4,50,41,429,809
Riverview,191,4,28,29,110,365
Bellbird Park - Brookwater,674,5,128,116,1498,2423
Camira - Gailes,449,8,81,67,628,1230
Carole Park,0,0,0,0,0,0
Collingwood Park - Redbank,459,10,65,85,624,1241
Goodna,718,12,102,114,707,1648
New Chum,0,0,0,0,0,0
Redbank Plains,1292,26,181,222,1406,3130
Springfield,356,6,68,42,654,1126
Springfield Lakes,968,13,200,178,1847,3201
Beaudesert,605,13,97,116,734,1566
Beenleigh,566,10,74,63,393,1105
Eagleby,807,9,106,125,658,1702
Edens Landing - Holmview,499,8,76,68,569,1215
Mount Warren Park,334,4,50,58,336,781
Wolffdene - Bahrs Scrub,261,0,35,61,449,809
Boronia Heights - Park Ridge,638,13,86,98,745,1584
Browns Plains,455,5,81,75,539,1160
Chambers Flat - Logan Reserve,273,4,37,29,303,644
Crestmead,789,13,84,111,837,1836
Greenbank Military Camp,0,0,0,0,0,0
Hillcrest,455,8,49,72,550,1137
Marsden,900,17,116,168,1002,2211
Munruben - Park Ridge South,149,0,19,25,318,511
Regents Park - Heritage Park,778,14,131,108,1302,2343
Greenbank,432,11,91,66,1159,1756
Jimboomba,1178,18,211,221,2123,3741
Logan Village,281,3,51,30,462,829
Bethania - Waterford,632,9,98,97,714,1549
Cornubia - Carbrook,311,0,62,48,623,1040
Loganholme - Tanah Merah,626,11,105,83,921,1737
Loganlea,622,8,115,89,690,1527
Shailer Park,519,7,74,49,941,1597
Waterford West,422,6,59,52,458,1001
Daisy Hill,336,0,57,34,554,980
Kingston (Qld.),647,17,85,76,520,1346
Logan Central,317,14,46,47,349,777
Rochedale South - Priestdale,740,6,129,97,1415,2389
Slacks Creek,639,13,102,94,648,1499
Springwood,476,0,89,67,710,1345
Underwood,270,6,53,37,733,1094
Woodridge,709,34,91,119,818,1764
Bowen,534,10,60,43,499,1142
Broadsound - Nebo,417,0,57,48,721,1244
Clermont,146,9,30,16,349,546
Collinsville,141,6,16,18,220,398
Moranbah,489,5,60,62,973,1592
Andergrove - Beaconsfield,758,17,131,140,1078,2119
East Mackay,174,0,31,26,218,452
Eimeo - Rural View,704,14,113,107,1064,1999
Eungella Hinterland,0,0,0,0,0,0
Mackay,258,4,37,21,233,558
Mackay Harbour,27,0,9,3,28,68
Mount Pleasant - Glenella,383,10,82,54,834,1356
North Mackay,325,8,53,59,326,767
Ooralea - Bakers Creek,219,0,46,36,403,705
Pioneer Valley,297,10,40,65,735,1147
Sarina,488,5,94,86,741,1420
Seaforth - Calen,229,5,47,32,511,825
Shoal Point - Bucasia,303,0,40,59,462,863
Slade Point,190,0,26,21,184,425
South Mackay,375,10,46,65,408,900
Walkerston - Eton,278,8,48,49,640,1015
West Mackay,284,3,47,45,399,777
Airlie - Whitsundays,1195,14,102,97,878,2284
Cape Conway,0,0,0,0,0,0
Proserpine,324,0,51,58,499,943
Beachmere - Sandstone Point,537,5,111,94,721,1470
Bribie Island,507,7,97,92,529,1238
Burpengary - East,133,3,19,19,301,467
Caboolture,1589,20,276,247,1536,3667
Caboolture - South,1358,8,224,236,1197,3025
Elimbah,149,3,22,17,300,496
Morayfield - East,524,6,80,90,494,1201
Wamuran,132,0,17,19,297,471
Kilcoy,198,0,26,38,309,578
Woodford - D'Aguilar,255,13,48,40,458,810
Burpengary,655,5,125,98,899,1781
Deception Bay,1150,19,236,185,1155,2738
Morayfield,132,3,31,15,294,474
Narangba,714,9,197,155,1759,2829
Upper Caboolture,89,6,19,9,206,334
Clontarf,451,3,74,59,452,1031
Margate - Woody Point,649,8,112,100,599,1469
Redcliffe,484,7,112,78,432,1114
Rothwell - Kippa-Ring,853,12,159,147,913,2086
Scarborough - Newport - Moreton Island,450,10,96,62,624,1243
Albany Creek,475,11,114,78,1201,1876
Cashmere,724,11,146,112,1882,2882
Dayboro,234,0,48,31,714,1031
Eatons Hill,214,3,52,34,772,1070
The Hills District,1091,16,173,120,2076,3472
Samford Valley,304,5,56,28,843,1232
Dakabin - Kallangur,1496,18,290,252,1676,3730
Murrumba Downs - Griffin,982,9,191,137,1588,2906
North Lakes - Mango Hill,1414,14,332,260,3286,5309
Bray Park,550,6,111,76,746,1496
Lawnton,359,4,73,36,398,863
Petrie,400,3,80,58,719,1257
Strathpine - Brendale,729,5,120,106,824,1783
Aurukun,151,0,0,0,29,182
Cape York,681,5,17,20,212,936
Croydon - Etheridge,63,0,0,6,69,139
Kowanyama - Pormpuraaw,228,0,0,3,39,274
Northern Peninsula,293,4,3,5,90,392
Tablelands,186,6,30,18,250,487
Torres,402,0,26,15,157,605
Torres Strait Islands,496,3,0,4,83,587
Weipa,245,0,24,13,386,674
Carpentaria,520,0,19,12,146,690
Mount Isa,1304,14,133,102,1412,2972
Mount Isa Region,238,11,7,8,174,441
Northern Highlands,161,3,11,4,205,381
Barcaldine - Blackall,222,0,28,10,317,581
Charleville,209,8,19,18,292,546
Far Central West,138,0,10,13,98,256
Far South West,171,9,8,13,129,329
Longreach,214,3,10,13,234,479
Buderim - North,584,12,111,51,1000,1755
Buderim - South,551,9,131,93,1097,1876
Mountain Creek,582,4,123,71,966,1750
Sippy Downs,440,7,97,67,735,1346
Aroona - Currimundi,374,3,79,62,658,1176
Buddina - Minyama,293,4,44,30,338,715
Caloundra - Kings Beach,336,4,63,34,223,669
Caloundra - West,832,18,178,169,1566,2759
Golden Beach - Pelican Waters,360,3,69,42,582,1056
Moffat Beach - Battery Hill,328,4,72,47,432,881
Parrearra - Warana,426,7,85,46,607,1159
Wurtulla - Birtinya,348,0,91,56,542,1038
Coolum Beach,789,4,131,80,992,2006
Marcoola - Mudjimba,477,6,93,70,613,1252
Maroochydore - Kuluin,1238,13,178,102,973,2500
Mooloolaba - Alexandra Headland,793,6,105,76,595,1564
Noosa Heads,161,0,41,10,195,417
Noosaville,305,7,68,41,395,807
Sunshine Beach,342,5,45,28,352,775
Tewantin,386,8,74,45,483,982
Peregian Beach - Marcus Beach,147,0,33,19,207,412
Peregian Springs,281,7,80,49,692,1104
Beerwah,385,4,80,43,516,1024
Caloundra Hinterland,294,3,48,28,314,686
Glass House Mountains,225,5,34,42,377,683
Landsborough,402,6,79,69,699,1249
Maroochy Hinterland,209,0,26,28,274,532
Palmwoods,380,0,71,40,672,1169
Bli Bli,370,5,67,47,639,1128
Diddillibah - Rosemount,108,0,23,9,249,394
Eumundi - Yandina,396,0,72,44,658,1176
Nambour,942,18,202,131,1210,2509
Noosa Hinterland,740,13,120,103,1197,2171
Cambooya - Wyreema,202,7,33,39,649,928
Darling Heights,678,26,126,113,1055,1988
Drayton - Harristown,505,16,100,56,617,1294
Gatton,498,4,60,41,464,1070
Gowrie (Qld),183,6,45,34,609,872
Highfields,292,5,72,52,1079,1505
Lockyer Valley - West,377,12,77,57,781,1307
Middle Ridge,156,4,48,26,550,785
Newtown (Qld),615,8,86,81,524,1319
North Toowoomba - Harlaxton,346,0,58,50,296,748
Rangeville,299,6,68,40,575,988
Toowoomba - Central,741,18,119,87,815,1784
Toowoomba - East,419,7,71,39,647,1181
Toowoomba - West,505,10,91,82,1081,1763
Wilsonton,718,10,121,87,660,1589
Ayr,388,3,56,35,518,998
Burdekin,233,5,42,28,466,779
Charters Towers,406,3,64,50,408,935
Dalrymple,127,0,21,15,272,430
Ingham,140,0,24,18,212,397
Ingham Region,160,0,32,15,342,547
Palm Island,283,0,5,6,21,315
Aitkenvale,266,4,38,33,320,664
Annandale,307,4,62,45,639,1060
Belgian Gardens - Pallarenda,135,3,18,11,211,380
Bohle Plains,328,6,57,46,744,1185
Condon - Rasmussen,639,7,105,90,569,1418
Cranbrook,309,4,55,28,333,733
Deeragun,1426,11,234,194,2091,3969
Douglas,405,0,52,36,571,1070
Garbutt - West End,527,3,68,39,306,942
Gulliver - Currajong - Vincent,506,8,67,69,448,1093
Heatley,258,13,36,42,196,544
Hermit Park - Rosslea,374,0,64,42,327,805
Hyde Park - Pimlico,310,6,39,30,257,642
Kelso,585,12,104,118,681,1504
Kirwan - East,447,4,79,49,408,988
Kirwan - West,807,12,173,128,1163,2283
Magnetic Island,119,6,12,8,72,217
Mount Louisa,538,5,98,51,832,1533
Mundingburra,158,0,36,13,185,397
Northern Beaches,249,4,34,33,413,732
Oonoonba,368,0,61,51,588,1076
South Townsville - Railway Estate,392,6,49,41,283,772
Townsville - South,161,5,27,15,278,487
Townsville City - North Ward,796,5,98,48,446,1388
Wulguru - Roseneath,374,5,45,42,293,763
Ashfield - Kepnock,226,3,49,42,296,612
Bargara - Burnett Heads,551,10,104,102,967,1729
Branyan - Kensington,149,7,32,28,345,555
Bundaberg,421,7,64,54,270,814
Bundaberg East - Kalkie,242,3,47,50,375,718
Bundaberg North - Gooburrum,317,12,41,32,282,683
Bundaberg Region - North,292,3,63,52,453,868
Bundaberg Region - South,286,5,32,38,466,834
Millbank - Avoca,294,11,65,46,380,792
Svensson Heights - Norville,279,0,66,37,265,643
Walkervale - Avenell Heights,557,9,86,78,537,1273
Gayndah - Mundubbera,281,0,36,21,356,705
Gin Gin,157,0,31,36,226,451
Kingaroy,507,11,88,80,618,1301
Kingaroy Region - North,460,7,51,32,382,934
Kingaroy Region - South,122,3,20,17,250,419
Monto - Eidsvold,119,3,13,14,215,375
Nanango,306,11,63,39,410,835
North Burnett,0,0,0,0,0,0
Cooloola,199,0,27,34,184,444
Gympie - North,723,11,128,121,680,1666
Gympie - South,262,5,64,49,369,751
Gympie Region,665,12,123,89,981,1870
Kilkivan,92,0,26,19,217,356
Booral - River Heads,174,3,27,27,256,489
Craignish - Dundowran Beach,144,0,30,22,279,482
Pialba - Eli Waters,542,6,125,93,651,1408
Point Vernon,213,3,50,32,256,562
Torquay - Scarness - Kawungan,631,13,136,107,599,1485
Urangan - Wondunna,558,13,88,104,577,1335
Burrum - Fraser,361,0,70,54,394,882
Granville,131,4,20,24,146,318
Maryborough (Qld),792,17,128,99,783,1821
Maryborough Region - South,266,4,52,42,315,680
Tinana,174,6,41,40,349,604
Migratory - Offshore - Shipping (Qld),6,0,0,0,4,12
No Usual Address (Qld),1069,14,72,73,295,1518
Adelaide,1607,3,106,57,789,2560
North Adelaide,546,7,45,24,296,923
Adelaide Hills,178,0,35,24,403,640
Aldgate - Stirling,506,3,91,52,1238,1889
Hahndorf - Echunga,124,4,23,20,269,429
Lobethal - Woodside,298,5,47,40,555,953
Mount Barker,773,7,159,118,1318,2378
Mount Barker Region,232,5,48,27,429,739
Nairne,268,0,42,39,416,771
Uraidla - Summertown,180,0,23,19,357,574
Burnside - Wattle Park,647,0,125,59,1274,2109
Glenside - Beaumont,285,4,39,29,674,1033
Toorak Gardens,634,0,80,47,1031,1794
Athelstone,322,4,65,31,640,1060
Paradise - Newton,832,7,124,98,1471,2534
Rostrevor - Magill,948,8,133,88,1733,2911
Norwood (SA),816,3,85,34,640,1580
Payneham - Felixstow,672,4,83,49,935,1745
St Peters - Marden,698,9,63,40,940,1747
Nailsworth - Broadview,361,0,22,29,509,928
Prospect,739,8,93,48,1127,2017
Walkerville,326,0,41,27,417,814
Goodwood - Millswood,1125,5,125,58,1236,2542
Unley - Parkside,1109,12,126,65,1338,2655
Gawler - North,378,10,65,53,702,1203
Gawler - South,884,16,180,152,1044,2273
Lewiston - Two Wells,223,7,40,26,394,683
Craigmore - Blakeview,1015,21,158,143,1320,2656
Davoren Park,1351,23,175,201,991,2731
Elizabeth,624,20,73,76,467,1262
Elizabeth East,730,9,97,92,674,1598
Munno Para West - Angle Vale,744,10,104,120,1012,1981
One Tree Hill,59,0,6,4,136,206
Smithfield - Elizabeth North,878,9,112,103,467,1566
Virginia - Waterloo Corner,142,0,26,21,264,451
Enfield - Blair Athol,1235,33,150,122,2018,3561
Northgate - Oakden - Gilles Plains,1393,10,233,103,2274,4010
Windsor Gardens,1215,13,172,83,2073,3557
Dry Creek - North,0,0,0,0,0,0
Ingle Farm,689,6,106,68,1045,1919
Para Hills,695,5,126,103,1053,1977
Parafield,14,0,0,0,0,16
Parafield Gardens,757,14,133,120,1370,2398
Paralowie,928,15,149,126,1239,2458
Salisbury,929,25,149,121,1092,2309
Salisbury East,854,11,154,107,1072,2194
Salisbury North,1116,22,190,165,1164,2650
Mawson Lakes - Globe Derby Park,801,5,129,79,1460,2483
Pooraka - Cavan,414,3,61,44,574,1091
Golden Grove,362,6,75,61,733,1238
Greenwith,325,7,85,59,732,1210
Highbury - Dernancourt,355,3,54,39,784,1233
Hope Valley - Modbury,854,11,100,92,1131,2188
Modbury Heights,844,10,127,108,1328,2410
Redwood Park,733,6,119,78,1174,2105
St Agnes - Ridgehaven,550,8,99,81,822,1559
Brighton (SA),589,4,101,37,806,1534
Glenelg (SA),1240,8,114,81,1063,2506
Edwardstown,920,11,102,81,1051,2161
Hallett Cove,476,3,73,59,916,1537
Marino - Seaview Downs,448,6,71,38,641,1202
Mitchell Park,910,14,108,64,1120,2209
Morphettville,917,9,104,69,1014,2106
Sheidow Park - Trott Park,452,6,75,66,955,1556
Warradale,891,4,134,57,1038,2122
Belair,132,0,15,13,260,425
Bellevue Heights,363,6,31,30,477,911
Blackwood,391,3,66,39,893,1400
Colonel Light Gardens,767,9,81,61,1259,2179
Mitcham (SA),608,12,87,34,1055,1792
Panorama,361,3,59,18,606,1049
Aberfoyle Park,427,10,82,55,821,1404
Aldinga,847,10,162,129,1014,2158
Christie Downs,628,4,70,61,451,1216
Christies Beach,599,10,88,80,456,1236
Clarendon,65,3,15,9,144,232
Coromandel Valley,157,0,12,18,347,542
Flagstaff Hill,370,3,62,43,790,1263
Hackham - Onkaparinga Hills,295,3,48,41,354,741
Hackham West - Huntfield Heights,555,6,68,58,363,1046
Happy Valley,661,12,92,63,976,1806
Happy Valley Reservoir,0,0,0,0,0,0
Lonsdale,0,0,0,0,3,3
McLaren Vale,161,0,38,25,370,591
Morphett Vale - East,781,11,132,109,749,1778
Morphett Vale - West,624,4,103,74,499,1308
Reynella,545,8,82,60,689,1385
Seaford (SA),1255,12,201,138,1528,3138
Willunga,115,0,22,15,197,341
Woodcroft,463,4,98,57,794,1417
Beverley,426,0,49,48,650,1176
Flinders Park,704,5,126,78,1045,1954
Henley Beach,670,3,87,50,948,1750
Hindmarsh - Brompton,1293,8,118,81,1227,2733
Royal Park - Hendon - Albert Park,347,0,45,31,427,854
Seaton - Grange,860,9,111,99,972,2056
West Lakes,634,12,76,44,745,1506
Woodville - Cheltenham,931,11,128,101,1265,2441
Dry Creek - South,0,0,0,0,0,0
Largs Bay - Semaphore,944,3,111,79,782,1930
North Haven,846,14,92,84,724,1755
Port Adelaide,660,8,104,72,608,1449
The Parks,993,21,169,104,1487,2771
Torrens Island,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0
Fulham,86,0,17,16,175,294
Lockleys,643,9,69,42,1070,1829
Plympton,1449,9,173,107,2025,3767
Richmond (SA),1383,12,140,74,1169,2775
West Beach,246,0,32,20,344,640
Barossa - Angaston,219,5,39,37,379,679
Light,332,4,42,41,672,1087
Lyndoch,207,7,24,26,454,724
Mallala,135,0,17,19,168,340
Nuriootpa,251,4,45,36,408,745
Tanunda,150,0,37,28,258,475
Clare,190,0,29,18,239,481
Gilbert Valley,162,6,27,13,261,468
Goyder,127,5,18,15,211,374
Wakefield - Barunga West,333,14,21,40,521,936
Jamestown,140,3,18,17,269,445
Peterborough - Mount Remarkable,188,4,24,19,216,448
Port Pirie,737,13,85,78,630,1547
Port Pirie Region,98,0,15,14,197,332
Kadina,234,9,26,28,286,578
Moonta,162,0,27,14,177,383
Wallaroo,153,6,24,15,150,345
Yorke Peninsula - North,197,6,22,10,316,547
Yorke Peninsula - South,105,0,18,15,145,285
Ceduna,190,5,18,9,131,352
Eyre Peninsula,228,0,27,17,395,669
Kimba - Cleve - Franklin Harbour,108,0,19,14,308,445
Le Hunte - Elliston,70,0,7,5,153,237
Port Lincoln,824,6,104,88,894,1916
West Coast (SA),152,0,15,5,207,385
Western,8,0,0,0,0,10
Whyalla,1259,15,129,134,1143,2684
Whyalla - North,0,0,0,0,0,0
APY Lands,175,4,5,18,174,379
Coober Pedy,107,0,0,12,90,204
Quorn - Lake Gilles,81,6,9,12,89,186
Outback,166,7,8,8,91,277
Port Augusta,877,17,64,79,566,1603
Roxby Downs,236,0,22,22,368,648
Goolwa - Port Elliot,324,10,74,37,390,833
Kangaroo Island,181,3,19,20,252,475
Strathalbyn,247,3,61,27,453,792
Strathalbyn Region,250,6,39,33,442,771
Victor Harbor,439,7,78,75,527,1129
Yankalilla,184,4,36,22,243,483
Grant,169,0,23,21,355,565
Kingston - Robe,136,3,15,14,187,358
Millicent,185,0,39,18,260,507
Naracoorte,262,0,34,29,415,748
Naracoorte Region,48,0,6,3,170,226
Penola,132,0,22,15,177,349
Tatiara,214,4,37,17,466,737
Wattle Range,102,4,11,6,202,323
Mount Gambier - East,642,10,118,86,949,1798
Mount Gambier - West,658,4,110,92,782,1648
Barmera,235,9,47,25,313,632
Berri,244,6,28,28,192,498
Karoonda - Lameroo,78,4,14,11,190,299
Loxton,188,0,36,31,306,568
Loxton Region,51,0,11,9,90,162
Mannum,232,3,25,17,248,518
Murray Bridge,835,17,112,113,947,2023
Murray Bridge Region,106,5,26,14,222,372
Renmark,245,3,42,29,213,534
Renmark Region,196,0,19,22,316,553
The Coorong,230,3,35,29,251,549
Waikerie,215,0,29,30,320,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0
No Usual Address (SA),237,0,19,29,70,353
Augusta,248,0,24,20,341,635
Busselton,1093,25,183,160,1649,3110
Busselton Region,476,5,60,46,863,1455
Margaret River,644,6,67,62,707,1483
Australind - Leschenault,759,6,124,115,1445,2449
Capel,230,0,38,37,323,633
College Grove - Carey Park,436,5,51,30,343,854
Collie,432,3,46,52,473,1015
Dardanup,86,0,9,6,222,324
Davenport,0,0,0,0,0,0
Eaton - Pelican Point,527,4,83,101,892,1604
Harvey,348,0,60,30,566,1005
East Bunbury - Glen Iris,398,0,48,44,426,918
Waroona,156,0,31,22,229,436
Dalyellup,401,3,83,71,856,1410
Gelorup - Stratham,60,0,17,11,202,286
South Bunbury - Bunbury,584,4,88,69,761,1502
Withers - Usher,324,0,53,47,291,713
Bridgetown - Boyup Brook,183,3,35,31,358,612
Donnybrook - Balingup,225,4,34,16,337,617
Manjimup,247,4,18,29,318,616
Pemberton,184,10,18,10,225,441
Dawesville - Bouvard,264,5,59,58,475,855
Falcon - Wannanup,349,7,62,58,488,961
Greenfields,484,9,84,69,452,1095
Halls Head - Erskine,673,6,122,98,1111,2005
Mandurah,442,3,80,70,401,1001
Mandurah - East,204,5,35,41,270,554
Mandurah - North,848,6,129,110,1488,2583
Mandurah - South,403,4,88,73,411,978
Pinjarra,388,8,81,80,581,1137
City Beach,127,0,20,10,346,498
Claremont (WA),442,3,44,23,434,943
Cottesloe,440,0,37,11,412,913
Floreat,215,3,23,14,607,867
Mosman Park - Peppermint Grove,591,11,54,31,678,1357
Nedlands - Dalkeith - Crawley,738,3,60,26,1155,1991
Swanbourne - Mount Claremont,245,0,31,16,568,866
Kings Park (WA),5,0,0,0,0,5
Mount Hawthorn - Leederville,929,8,85,44,951,2016
Mount Lawley - Inglewood,1434,10,117,63,1151,2772
North Perth,761,3,66,31,674,1538
Perth City,4557,10,357,163,2655,7740
Subiaco - Shenton Park,1243,0,132,57,1173,2603
Wembley - West Leederville - Glendalough,1303,11,119,71,1872,3373
Bassendean - Eden Hill - Ashfield,939,12,157,72,1119,2299
Bayswater - Embleton - Bedford,1510,14,199,97,1964,3783
Maylands,1385,9,133,69,1189,2789
Morley,1249,11,167,119,1763,3298
Noranda,288,5,52,28,532,901
Chidlow,104,8,18,25,181,330
Glen Forrest - Darlington,198,0,28,19,473,724
Helena Valley - Koongamia,249,3,19,30,401,701
Malmalling - Reservoir,0,0,0,0,0,0
Mundaring,472,5,79,61,793,1403
Swan View - Greenmount - Midvale,629,5,93,66,661,1463
Avon Valley National Park,0,0,0,0,0,0
Ballajura,824,15,145,102,1302,2391
Beechboro,998,14,149,113,1823,3092
Bullsbrook,271,5,35,37,353,699
Ellenbrook,1889,36,378,309,3939,6554
Gidgegannup,93,0,19,11,171,302
Hazelmere - Guildford,236,0,31,20,353,647
Lockridge - Kiara,615,4,94,60,1003,1772
Malaga,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0
Middle Swan - Herne Hill,275,4,55,37,290,665
Midland - Guildford,690,7,112,75,653,1545
Stratton - Jane Brook,382,5,68,50,503,1011
The Vines,429,5,92,53,869,1449
Walyunga National Park,0,0,0,0,0,0
Craigie - Beldon,708,4,87,53,801,1652
Currambine - Kinross,522,0,95,72,1104,1805
Duncraig,446,3,84,61,1162,1760
Greenwood - Warwick,638,8,81,59,1029,1819
Heathridge - Connolly,555,9,70,53,783,1473
Hillarys,305,3,34,50,764,1157
Iluka - Burns Beach,174,0,24,18,784,1000
Joondalup - Edgewater,763,7,105,65,947,1894
Kingsley,440,3,85,51,935,1509
Mullaloo - Kallaroo,408,8,61,37,807,1324
Ocean Reef,206,3,26,20,527,781
Padbury,461,3,58,36,668,1224
Sorrento - Marmion,259,0,39,13,620,927
Woodvale,237,0,52,31,606,928
Balcatta - Hamersley,976,12,103,74,1213,2378
Balga - Mirrabooka,1150,30,188,141,1739,3243
Dianella,1139,15,154,106,1748,3176
Herdsman,0,0,0,0,0,0
Innaloo - Doubleview,1687,13,136,62,1392,3288
Karrinyup - Gwelup - Carine,700,3,109,72,1662,2549
Nollamara - Westminster,1600,9,191,117,1828,3750
Osborne Park Industrial,0,0,0,0,0,0
Scarborough,1895,3,150,91,1170,3310
Stirling - Osborne Park,804,9,87,46,1309,2248
Trigg - North Beach - Watermans Bay,402,3,38,24,478,948
Tuart Hill - Joondanna,1318,16,120,60,1079,2584
Wembley Downs - Churchlands - Woodlands,519,5,85,49,1042,1707
Yokine - Coolbinia - Menora,1040,7,115,76,1230,2462
Alexander Heights - Koondoola,548,5,95,68,852,1567
Butler - Merriwa - Ridgewood,1325,23,212,224,2017,3799
Carramar,962,10,136,137,1778,3019
Clarkson,912,10,139,114,1143,2318
Girrawheen,483,10,78,66,621,1251
Madeley - Darch - Landsdale,963,6,193,113,2971,4251
Marangaroo,502,13,83,58,803,1457
Mindarie - Quinns Rocks - Jindalee,642,3,115,106,1470,2336
Neerabup National Park,0,0,0,0,0,0
Tapping - Ashby - Sinagra,473,6,104,82,1427,2098
Wanneroo,1319,10,181,144,2288,3945
Alkimos - Eglinton,610,0,87,65,912,1677
Carabooda - Pinjar,29,0,4,0,49,86
Two Rocks,165,0,17,15,205,402
Yanchep,511,3,63,73,712,1369
Armadale - Wungong - Brookdale,1210,13,207,154,1161,2745
Ashendon - Lesley,0,0,0,0,0,0
Camillo - Champion Lakes,319,5,39,28,350,738
Forrestdale - Harrisdale - Piara Waters,1023,11,139,107,2912,4193
Kelmscott,564,9,84,73,664,1401
Mount Nasura - Mount Richon - Bedfordale,261,6,46,26,549,881
Roleystone,252,7,43,22,523,841
Seville Grove,629,11,68,67,1002,1778
Belmont - Ascot - Redcliffe,1027,14,94,95,1111,2337
East Victoria Park - Carlisle,1491,13,149,85,1516,3252
Kewdale Commercial,0,0,0,0,0,0
Perth Airport,6,0,0,0,4,8
Rivervale - Kewdale - Cloverdale,1876,14,210,162,2249,4502
Victoria Park - Lathlain - Burswood,1256,0,119,64,1402,2846
Bentley - Wilson - St James,1351,12,132,77,1521,3097
Canning Vale - West,358,0,49,38,818,1260
Canning Vale Commercial,0,0,0,0,0,0
