SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Maribyrnong,69,123,823,593,45,15,12,662,2332
Seddon - Kingsville,69,123,848,421,37,25,3,454,1976
West Footscray - Tottenham,75,101,806,546,26,23,0,642,2224
Yarraville,114,148,1197,692,50,42,9,680,2925
Bacchus Marsh,106,182,309,267,486,482,4,907,2753
Hillside,110,62,358,1530,378,31,11,1077,3552
Melton,66,107,255,403,536,67,4,1264,2694
Melton South,113,102,299,492,1021,130,10,1588,3756
Melton West,80,74,369,358,750,83,6,1158,2886
Rockbank - Mount Cottrell,10,0,15,63,28,4,0,338,455
Taylors Hill,140,92,381,1556,180,31,9,1148,3542
Burnside,18,14,77,259,22,5,3,250,650
Burnside Heights,46,34,133,475,40,10,0,435,1171
Caroline Springs,134,122,377,1458,191,29,9,1134,3453
Hoppers Crossing - North,101,46,415,782,196,20,4,1045,2611
Hoppers Crossing - South,74,159,319,730,238,23,8,1221,2771
Laverton,53,30,181,748,69,18,6,690,1796
Tarneit,342,174,872,2121,764,96,16,2800,7185
Truganina,195,100,520,1837,229,79,14,2033,5010
Werribee - South,50,92,237,256,316,13,4,577,1550
Wyndham Vale,143,100,500,697,1146,84,5,1702,4386
Point Cook - East,141,32,189,837,173,26,6,864,2276
Point Cook - North,228,206,465,1645,244,56,17,1510,4361
Point Cook - South,160,75,358,1233,275,47,12,1161,3318
Werribee - East,68,124,391,449,471,37,6,1357,2912
Werribee - West,65,47,234,286,400,34,8,635,1711
Carrum Downs,81,133,461,1005,375,34,0,1095,3188
Frankston,99,257,466,688,492,20,9,1215,3236
Frankston North,59,91,414,593,361,19,8,1174,2712
Frankston South,112,92,436,427,424,19,0,484,1998
Langwarrin,151,77,708,870,524,42,8,859,3239
Seaford (Vic.),85,77,348,706,413,26,7,841,2518
Skye - Sandhurst,102,29,268,731,308,27,4,578,2047
Dromana,80,42,141,295,75,108,4,341,1094
Flinders,56,15,29,88,26,52,3,134,389
Hastings - Somers,114,155,277,687,236,162,8,982,2627
Mornington,139,250,485,545,333,187,6,723,2674
Mount Eliza,203,72,328,246,352,26,10,488,1719
Mount Martha,211,76,368,453,207,187,5,503,2004
Point Nepean,100,73,348,213,156,178,11,626,1707
Rosebud - McCrae,95,186,422,303,135,176,3,709,2032
Somerville,116,99,277,746,313,63,9,630,2249
Ararat,13,297,159,24,27,20,3,249,792
Ararat Region,44,4,14,62,47,40,6,104,312
Horsham,61,660,555,27,26,58,10,593,1987
Horsham Region,33,9,15,117,54,20,5,101,351
Nhill Region,43,148,20,54,87,42,4,217,612
St Arnaud,20,103,22,25,12,17,3,94,297
Stawell,32,233,99,103,50,35,3,301,850
West Wimmera,39,20,10,19,35,37,10,70,248
Yarriambiack,37,162,20,39,57,45,5,206,567
Irymple,44,38,357,82,0,4,8,210,738
Merbein,24,26,89,168,3,0,5,181,491
Mildura Region,29,49,19,66,28,32,3,125,354
Red Cliffs,24,32,42,271,3,10,4,277,665
Mildura - North,60,528,640,130,9,21,12,994,2388
Mildura - South,52,167,899,95,0,13,13,621,1871
Buloke,35,152,19,39,44,51,5,188,530
Gannawarra,59,80,26,101,78,44,4,192,583
Kerang,17,149,28,11,19,15,0,129,362
Robinvale,22,68,47,26,5,36,3,225,429
Swan Hill,41,504,259,14,9,39,12,463,1347
Swan Hill Region,58,15,50,187,35,30,0,249,626
Echuca,60,337,649,61,35,60,0,458,1673
Kyabram,54,239,107,165,176,28,4,400,1174
Lockington - Gunbower,36,3,31,104,59,17,0,138,385
Rochester,25,58,27,71,15,29,3,127,361
Rushworth,25,11,17,54,65,24,4,132,328
Cobram,26,210,82,31,25,19,4,243,645
Moira,16,3,4,48,35,36,3,87,241
Numurkah,97,159,66,224,235,67,7,389,1246
Yarrawonga,33,185,205,5,33,40,7,246,749
Mooroopna,15,52,424,94,24,13,4,350,979
Shepparton - North,70,459,859,113,43,52,5,887,2490
Shepparton - South,89,253,1087,180,44,66,4,1211,2934
Shepparton Region - East,31,11,32,168,17,9,3,123,392
Shepparton Region - West,77,138,53,395,55,26,0,365,1115
Glenelg (Vic.),51,78,77,170,51,72,10,289,800
Hamilton (Vic.),45,409,226,21,21,19,13,287,1028
Portland,28,242,390,42,0,20,11,451,1191
Southern Grampians,82,33,26,107,100,37,10,182,584
Camperdown,12,125,14,26,16,28,0,118,341
Colac,38,504,290,10,13,54,3,393,1307
Colac Region,55,10,56,190,35,33,0,158,535
Corangamite - North,35,65,29,76,55,57,0,169,490
Corangamite - South,93,55,50,143,90,44,3,214,691
Otway,46,72,27,24,19,32,5,110,334
Moyne - East,74,21,27,201,81,61,0,215,688
Moyne - West,61,111,68,362,85,39,8,287,1022
Warrnambool - North,84,405,1132,130,28,51,14,775,2622
Warrnambool - South,48,415,449,133,14,32,9,447,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0
No Usual Address (Vic.),0,0,0,0,0,0,0,1271,1271
Alexandra Hills,98,69,486,902,56,24,10,644,2279
Belmont - Gumdale,58,22,170,405,13,6,5,205,883
Birkdale,100,69,333,790,36,15,14,459,1812
Capalaba,100,119,386,1038,51,23,9,620,2344
Thorneside,29,10,90,231,9,0,3,138,523
Wellington Point,79,43,321,498,48,8,9,309,1314
Cleveland,69,159,294,363,122,16,6,436,1464
Ormiston,42,35,126,182,42,11,5,140,579
Redland Bay,136,66,241,585,378,45,10,576,2034
Sheldon - Mount Cotton,93,8,103,490,268,22,11,264,1255
Thornlands,118,54,431,499,237,18,10,432,1799
Victoria Point,72,88,295,393,235,17,11,447,1558
Redland Islands,34,64,40,90,51,24,0,368,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0,0
Manly - Lota,52,60,93,389,17,8,5,241,871
Manly West,86,95,279,690,24,8,7,388,1579
Murarrie,41,47,174,224,11,11,9,167,686
Tingalpa,54,29,299,611,17,18,3,314,1341
Wakerley,111,29,253,728,24,7,6,353,1525
Wynnum,92,134,213,772,39,17,14,487,1765
Wynnum West - Hemmant,97,110,451,894,42,18,19,582,2208
Bald Hills,49,20,226,548,28,10,7,277,1165
Bridgeman Downs,55,9,207,348,20,9,3,206,858
Carseldine,49,31,250,571,21,14,13,279,1224
Everton Park,53,80,537,461,25,7,10,328,1497
McDowall,51,27,258,407,26,10,9,211,995
Aspley,69,76,357,614,26,12,7,365,1535
Chermside,38,235,402,433,23,14,8,498,1657
Chermside West,44,82,210,309,15,0,3,194,864
Geebung,34,36,165,266,14,6,0,127,650
Kedron - Gordon Park,104,117,1220,433,28,14,23,571,2521
Stafford,44,67,503,248,22,9,7,308,1211
Stafford Heights,35,43,327,274,8,3,6,235,941
Wavell Heights,88,103,557,493,25,12,18,354,1641
Boondall,39,51,251,533,22,15,10,357,1271
Brisbane Airport,0,0,3,9,0,0,0,11,23
Eagle Farm - Pinkenba,3,0,53,38,3,0,3,47,151
Northgate - Virginia,33,61,337,472,19,10,9,262,1190
Nudgee - Banyo,44,81,284,686,39,18,15,383,1547
Nundah,43,158,896,788,42,13,31,623,2588
Bracken Ridge,100,75,486,1060,55,24,8,661,2473
Brighton (Qld),73,58,134,670,39,8,12,306,1306
Deagon,25,24,88,234,13,0,4,144,526
Sandgate - Shorncliffe,44,59,68,333,19,6,0,205,739
Taigum - Fitzgibbon,55,67,414,923,50,16,14,628,2171
Zillmere,30,90,279,551,29,19,0,535,1537
Camp Hill,103,71,887,342,18,17,8,387,1843
Cannon Hill,47,68,401,216,15,4,10,293,1062
Carina,71,68,588,688,27,18,16,405,1871
Carina Heights,45,69,294,434,20,8,6,296,1174
Carindale,86,65,328,725,30,11,12,433,1687
Annerley,65,165,999,337,30,26,27,642,2292
Coorparoo,100,184,1577,459,31,28,15,655,3045
Fairfield - Dutton Park,30,80,340,110,5,14,3,257,844
Greenslopes,62,201,900,273,28,17,14,416,1907
Holland Park,72,57,590,268,15,12,6,342,1361
Holland Park West,45,60,467,246,8,7,4,234,1074
Woolloongabba,14,138,385,144,21,13,8,362,1076
Yeronga,56,49,673,269,35,23,6,360,1467
Eight Mile Plains,87,98,453,958,36,33,11,887,2559
Macgregor (Qld),27,60,141,278,13,16,3,339,874
Mansfield (Qld),46,48,245,429,15,9,3,352,1145
Mount Gravatt,74,102,640,957,23,20,11,662,2489
Rochedale - Burbank,48,14,161,460,15,11,7,252,968
Upper Mount Gravatt,44,104,226,558,8,21,7,494,1466
Wishart,57,78,259,636,18,12,3,432,1490
Coopers Plains,24,66,145,310,13,15,6,357,927
Moorooka,56,72,731,412,31,26,10,460,1791
Robertson,22,65,103,236,0,11,7,320,764
Salisbury - Nathan,41,70,241,451,15,17,8,284,1134
Tarragindi,89,61,720,297,25,15,11,350,1579
Algester,46,59,217,568,32,15,6,400,1339
Calamvale - Stretton,134,88,662,1416,98,54,15,1328,3802
Pallara - Willawong,48,14,97,365,40,12,4,196,783
Parkinson - Drewvale,99,23,420,1162,104,34,13,688,2529
Rocklea - Acacia Ridge,34,54,232,454,25,9,10,577,1385
Kuraby,56,30,191,414,19,19,8,474,1209
Runcorn,82,60,447,887,42,32,17,1028,2596
Sunnybank,40,112,193,456,10,15,5,587,1429
Sunnybank Hills,99,97,507,954,43,36,13,1055,2809
Jindalee - Mount Ommaney,55,53,151,455,18,14,4,217,953
Middle Park - Jamboree Heights,50,55,127,468,16,8,6,259,983
Riverhills,23,14,101,341,17,3,6,165,677
Seventeen Mile Rocks - Sinnamon Park,57,40,223,642,22,13,3,289,1293
Westlake,30,13,49,233,17,10,0,113,456
Bellbowrie - Moggill,82,27,65,775,52,4,12,346,1370
Brookfield - Kenmore Hills,53,15,64,230,13,3,3,166,549
Chapel Hill,75,35,343,381,28,11,11,361,1239
Fig Tree Pocket,36,9,65,170,9,6,0,131,426
Kenmore,71,39,212,469,24,11,11,266,1087
Pinjarra Hills - Pullenvale,53,9,41,266,25,9,4,121,524
Chelmer - Graceville,62,62,299,268,16,6,8,227,957
Corinda,24,31,119,284,12,6,4,178,646
Indooroopilly,46,154,659,255,38,17,5,661,1837
Sherwood,32,64,195,346,11,7,0,218,870
St Lucia,40,180,306,121,16,13,6,796,1491
Taringa,42,134,655,191,44,14,5,451,1534
Enoggera,52,88,671,178,35,16,13,339,1395
Enoggera Reservoir,0,0,0,0,0,0,0,7,7
Keperra,36,40,180,435,18,5,9,300,1023
Mitchelton,64,83,444,451,26,5,9,335,1421
Mount Coot-tha,0,0,0,0,0,0,0,0,0
The Gap,132,63,414,830,31,17,12,478,1978
Upper Kedron - Ferny Grove,72,37,177,720,30,11,10,389,1439
Brisbane City,47,716,314,149,20,13,18,813,2090
Fortitude Valley,20,669,416,156,21,20,17,548,1853
Highgate Hill,28,169,430,117,7,11,6,339,1111
Kangaroo Point,43,136,795,213,18,16,10,437,1663
New Farm,70,469,1114,248,36,21,34,650,2644
South Brisbane,29,475,340,147,14,15,16,535,1568
Spring Hill,25,511,227,97,11,14,11,498,1393
West End,69,229,789,196,30,20,11,566,1912
Balmoral,39,53,295,116,10,10,8,188,722
Bulimba,69,54,512,194,18,14,12,319,1197
East Brisbane,30,110,565,121,14,4,12,279,1134
Hawthorne,67,67,393,108,13,6,5,192,851
Morningside - Seven Hills,115,155,1349,440,39,23,20,613,2750
Norman Park,43,46,590,175,18,17,7,246,1130
Albion,18,65,291,64,8,3,5,132,594
Alderley,45,51,581,132,20,5,4,214,1059
Ascot,43,63,344,75,7,9,7,196,745
Clayfield,66,113,919,225,28,19,24,484,1871
Grange,36,50,341,67,5,12,6,132,648
Hamilton (Qld),54,63,527,101,18,9,12,348,1130
Hendra,35,40,274,93,12,13,3,152,618
Kelvin Grove - Herston,40,232,612,139,18,13,16,743,1824
Newmarket,30,50,423,83,17,9,5,210,823
Newstead - Bowen Hills,53,516,1113,229,34,33,36,679,2700
Wilston,34,58,297,59,7,10,3,129,608
Windsor,41,134,726,165,22,7,12,294,1405
Wooloowin - Lutwyche,53,73,929,215,29,18,11,463,1789
Ashgrove,90,88,931,221,19,17,7,423,1802
Auchenflower,36,123,459,96,14,10,7,257,1004
Bardon,105,82,679,138,16,9,15,313,1362
Paddington - Milton,88,249,1006,232,35,15,24,447,2097
Red Hill (Qld),51,106,521,126,18,7,12,286,1129
Toowong,69,175,880,217,39,16,19,582,2004
Brinsmead,26,24,420,103,0,4,10,196,785
Clifton Beach - Kewarra Beach,84,75,233,552,39,16,33,439,1471
Freshwater - Stratford,18,21,210,102,5,7,20,141,520
Redlynch,80,64,282,903,8,16,34,472,1855
Trinity Beach - Smithfield,105,119,307,972,26,20,43,603,2202
Yorkeys Knob - Machans Beach,26,18,88,388,4,11,18,283,847
Bentley Park,40,45,162,612,8,8,18,428,1316
Cairns City,34,704,401,89,3,7,48,860,2153
Earlville - Bayview Heights,51,59,556,63,0,0,14,325,1068
Edmonton,39,53,214,711,17,5,17,555,1624
Gordonvale - Trinity,43,39,88,475,83,13,17,353,1118
Kanimbla - Mooroobool,66,90,693,93,0,7,27,461,1428
Lamb Range,0,0,0,0,0,0,0,0,0
Manoora,22,71,363,43,0,9,13,519,1038
Manunda,16,100,269,27,0,5,18,396,825
Mount Sheridan,38,54,439,323,5,7,6,341,1222
Westcourt - Bungalow,16,217,274,49,0,6,25,416,1005
White Rock,21,20,265,114,0,5,14,274,708
Whitfield - Edge Hill,49,72,590,55,0,12,25,283,1091
Woree,14,41,278,43,4,9,12,294,687
Babinda,30,33,36,119,39,36,7,145,440
Innisfail,25,199,230,80,15,28,14,494,1079
Johnstone,53,22,142,251,62,24,9,307,875
Tully,65,124,151,208,100,71,12,421,1151
Wooroonooran,0,0,0,0,0,0,0,0,0
Yarrabah,38,0,34,0,0,3,3,217,305
Daintree,52,58,103,179,38,39,19,284,777
Port Douglas,42,156,255,67,16,13,27,255,827
Atherton,55,213,232,160,50,39,9,396,1161
Herberton,18,22,25,74,46,37,11,264,500
Kuranda,25,16,50,93,88,15,5,196,492
Malanda - Yungaburra,54,26,59,268,63,31,11,267,787
Mareeba,60,169,365,75,83,50,21,498,1310
Balonne,38,158,30,47,13,99,8,167,548
Chinchilla,55,251,188,69,39,39,15,457,1113
Goondiwindi,49,335,163,40,0,17,6,252,866
Inglewood - Waggamba,39,60,30,40,40,87,9,167,467
Miles - Wandoan,48,76,33,50,63,53,5,179,504
Roma,29,479,201,0,5,13,27,313,1081
Roma Region,68,57,32,64,63,181,20,188,668
Tara,40,34,4,21,22,58,5,231,423
Crows Nest - Rosalie,51,44,33,108,180,72,0,354,841
Jondaryan,54,90,71,165,110,49,4,288,834
Millmerran,23,63,25,36,30,15,0,143,352
Pittsworth,38,76,47,68,125,34,8,186,585
Wambo,95,444,480,150,97,96,12,724,2093
Clifton - Greenmount,36,21,18,127,104,24,3,196,531
Southern Downs - East,19,27,49,112,47,25,0,125,401
Southern Downs - West,37,14,18,96,42,35,3,162,407
Stanthorpe,22,193,92,44,0,15,10,201,575
Stanthorpe Region,52,14,88,133,25,25,8,213,553
Warwick,47,274,599,28,24,42,7,615,1646
Central Highlands - East,93,147,57,214,22,72,12,495,1113
Central Highlands - West,83,99,29,77,70,260,42,387,1039
Emerald,102,358,823,4,33,53,31,788,2183
Berserker,18,132,310,31,8,3,26,357,892
Bouldercombe,13,0,5,72,36,13,8,73,214
Emu Park,25,49,44,84,102,22,8,238,573
Frenchville - Mount Archer,37,66,620,61,15,3,25,318,1146
Glenlee - Rockyview,36,5,53,283,12,6,9,106,515
Gracemere,51,76,128,802,8,26,34,659,1775
Lakes Creek,14,42,327,12,4,0,19,241,660
Mount Morgan,9,29,19,7,44,3,4,165,273
Norman Gardens,37,100,748,82,19,12,42,397,1435
Park Avenue,14,82,305,12,6,0,11,222,658
Parkhurst - Kawana,27,64,419,103,10,0,19,294,947
Rockhampton - West,14,129,308,32,4,6,20,258,763
Rockhampton City,11,85,83,14,0,0,11,168,374
Rockhampton Region - East,28,3,12,123,42,0,10,120,338
Rockhampton Region - North,40,4,43,72,71,41,14,145,439
Rockhampton Region - West,39,4,15,98,39,6,12,110,328
Shoalwater Bay,0,0,0,0,0,0,0,0,0
The Range - Allenstown,32,287,253,48,12,10,20,267,927
Yeppoon,121,159,566,111,444,29,54,654,2139
Banana,88,105,65,203,51,180,15,334,1042
Biloela,22,328,130,15,11,57,7,246,819
Agnes Water - Miriam Vale,41,43,60,29,26,101,10,252,564
Boyne Island - Tannum Sands,80,167,169,406,33,8,9,540,1420
Callemondah,0,0,0,0,0,0,0,0,0
Clinton - New Auckland,79,67,995,135,3,15,22,895,2214
Gladstone,14,122,256,24,0,0,7,403,833
Gladstone Hinterland,70,61,85,564,95,56,25,646,1589
Kin Kora - Sun Valley,28,44,237,30,0,0,3,199,538
South Trees,0,0,0,0,0,0,0,0,0
Telina - Toolooa,35,26,442,81,0,4,15,390,993
West Gladstone,12,146,151,27,0,3,17,282,638
Broadbeach Waters,84,74,319,183,3,41,12,265,985
Burleigh Heads,60,133,303,363,27,66,25,384,1351
Burleigh Waters,136,93,577,513,30,91,23,421,1891
Mermaid Beach - Broadbeach,78,311,615,381,22,92,33,636,2166
Mermaid Waters,98,118,528,329,20,81,24,501,1705
Miami,67,73,420,309,29,56,21,312,1285
Coolangatta,34,138,116,149,29,40,12,241,758
Currumbin - Tugun,90,100,382,419,46,73,23,468,1609
Currumbin Waters,84,47,206,344,24,29,14,287,1047
Elanora,93,60,267,460,28,74,12,417,1408
Palm Beach,120,132,490,671,38,114,31,639,2233
Arundel,60,43,390,250,39,61,10,446,1301
Biggera Waters,45,66,377,217,33,62,13,486,1299
Coombabah,50,48,290,302,37,55,8,422,1214
Labrador,82,211,748,328,45,98,23,1057,2596
Paradise Point - Hollywell,88,45,195,286,41,51,12,289,1008
Runaway Bay,61,61,228,174,27,52,14,280,885
Guanaba - Springbrook,40,14,21,185,45,27,5,245,583
Tamborine - Canungra,102,58,151,262,299,133,14,509,1523
Currumbin Valley - Tallebudgera,100,9,99,260,20,41,11,241,783
Mudgeeraba - Bonogin,171,77,494,827,74,97,23,718,2478
Reedy Creek - Andrews,98,15,306,372,22,70,24,321,1231
Carrara,76,27,456,474,36,84,13,460,1613
Highland Park,65,31,195,423,33,45,6,325,1115
Nerang - Mount Nathan,141,101,389,1103,93,115,24,890,2843
Pacific Pines - Gaven,170,59,381,1153,122,131,24,952,2994
Worongary - Tallai,73,12,148,285,24,49,11,270,878
Coomera,116,39,239,645,220,166,13,866,2297
Helensvale,147,59,348,672,81,135,30,593,2077
Hope Island,105,28,154,380,63,84,18,401,1238
Jacobs Well - Alberton,31,9,32,116,66,36,5,114,412
Ormeau - Yatala,194,69,371,787,680,74,18,932,3119
Oxenford - Maudsland,141,49,312,941,109,125,19,718,2404
Pimpama,47,16,140,465,209,97,13,735,1718
Upper Coomera - Willow Vale,296,158,547,1763,409,352,38,1710,5277
Clear Island Waters,38,3,139,70,6,12,6,123,394
Merrimac,37,32,297,332,17,42,9,303,1070
Robina,162,173,826,689,50,152,36,976,3074
Varsity Lakes,123,102,666,601,38,113,20,823,2480
Ashmore,94,93,534,222,32,55,12,462,1506
Molendinar,43,31,333,130,18,39,8,278,881
Parkwood,55,24,342,202,31,33,6,350,1048
Southport - North,59,333,569,231,45,79,13,987,2317
Southport - South,93,290,781,225,36,102,17,871,2418
Benowa,77,41,329,127,19,39,6,317,958
Bundall,40,47,198,77,7,25,0,165,559
Main Beach,25,50,126,61,3,27,20,166,485
Surfers Paradise,115,691,903,426,33,125,53,1593,3937
Darra - Sumner,14,33,123,309,15,3,4,332,828
Durack,15,32,172,423,14,17,8,488,1164
Forest Lake - Doolandella,151,124,534,1938,144,71,25,1378,4372
Inala - Richlands,48,89,293,617,51,43,14,1406,2560
Oxley (Qld),53,47,197,643,17,11,5,345,1321
Wacol,10,5,55,77,15,0,0,449,613
Boonah,86,77,128,232,141,164,12,451,1306
Esk,17,38,35,64,34,55,5,213,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0,0
Lockyer Valley - East,116,64,183,399,235,304,21,973,2300
Lowood,92,34,89,343,252,167,9,718,1706
Rosewood,64,49,78,382,162,107,11,460,1302
Brassall,41,39,414,250,225,33,3,565,1562
Bundamba,27,38,228,210,183,24,5,521,1233
Churchill - Yamanto,32,45,306,109,143,18,9,352,1011
Ipswich - Central,32,119,93,82,137,19,6,313,810
Ipswich - East,63,185,478,284,355,45,5,963,2382
Ipswich - North,31,14,90,190,93,15,4,147,587
Karalee - Barellan Point,43,11,47,243,164,23,0,167,703
Karana Downs,56,11,33,369,92,24,3,207,798
Leichhardt - One Mile,22,21,216,111,116,17,7,595,1102
North Ipswich - Tivoli,22,53,201,90,134,15,4,331,852
Raceview,51,92,649,313,303,37,18,756,2219
Ripley,24,3,164,215,162,17,0,229,809
Riverview,7,13,29,85,9,4,0,211,365
Bellbird Park - Brookwater,122,63,296,972,247,22,16,692,2423
Camira - Gailes,42,28,199,486,40,3,4,421,1230
Carole Park,0,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,39,24,140,443,88,20,0,483,1241
Goodna,34,52,190,481,61,12,0,810,1648
New Chum,0,0,0,0,0,0,0,0,0
Redbank Plains,90,69,334,968,299,22,17,1345,3130
Springfield,33,53,141,485,69,16,4,325,1126
Springfield Lakes,128,88,273,1074,672,51,21,895,3201
Beaudesert,105,102,217,147,150,161,14,663,1566
Beenleigh,34,95,110,183,153,11,7,515,1105
Eagleby,34,62,227,261,221,11,7,873,1702
Edens Landing - Holmview,37,36,170,293,202,10,6,465,1215
Mount Warren Park,26,46,135,154,131,7,0,278,781
Wolffdene - Bahrs Scrub,48,10,137,180,171,14,7,234,809
Boronia Heights - Park Ridge,65,49,167,519,127,17,3,633,1584
Browns Plains,29,56,148,364,60,17,11,475,1160
Chambers Flat - Logan Reserve,24,4,73,198,94,10,4,242,644
Crestmead,38,25,307,423,187,16,4,834,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0,0
Hillcrest,34,53,144,466,62,16,3,370,1137
Marsden,50,64,341,520,127,14,11,1083,2211
Munruben - Park Ridge South,31,0,37,186,91,6,5,152,511
Regents Park - Heritage Park,72,50,298,921,163,30,14,796,2343
Greenbank,121,6,48,535,494,45,4,506,1756
Jimboomba,215,47,193,845,999,270,27,1152,3741
Logan Village,52,9,38,242,172,30,0,285,829
Bethania - Waterford,46,51,250,377,265,9,3,543,1549
Cornubia - Carbrook,78,15,162,322,197,18,7,250,1040
Loganholme - Tanah Merah,81,25,319,546,243,17,7,504,1737
Loganlea,28,53,267,358,85,22,4,712,1527
Shailer Park,80,64,285,563,141,20,13,430,1597
Waterford West,28,36,177,234,74,11,9,435,1001
Daisy Hill,57,37,174,380,43,13,7,272,980
Kingston (Qld.),25,35,182,292,37,9,7,766,1346
Logan Central,8,38,73,121,13,3,0,509,777
Rochedale South - Priestdale,108,86,412,1058,32,39,10,637,2389
Slacks Creek,46,36,228,438,37,18,4,684,1499
Springwood,47,58,234,521,35,17,7,419,1345
Underwood,56,36,172,396,15,12,8,386,1094
Woodridge,25,70,192,356,20,8,7,1082,1764
Bowen,29,182,338,89,3,43,33,424,1142
Broadsound - Nebo,64,172,63,73,33,281,17,538,1244
Clermont,37,92,49,43,17,107,5,191,546
Collinsville,30,31,28,37,5,87,9,160,398
Moranbah,68,296,386,112,19,70,11,619,1592
Andergrove - Beaconsfield,85,91,913,261,28,36,18,688,2119
East Mackay,20,55,189,12,13,12,7,147,452
Eimeo - Rural View,104,46,221,868,18,44,34,668,1999
Eungella Hinterland,0,0,0,0,0,0,0,0,0
Mackay,9,164,100,9,9,9,3,255,558
Mackay Harbour,0,6,34,4,0,0,0,24,68
Mount Pleasant - Glenella,78,72,664,105,21,22,27,368,1356
North Mackay,28,82,314,22,3,19,11,288,767
Ooralea - Bakers Creek,27,30,314,66,13,17,6,235,705
Pioneer Valley,69,57,43,302,159,71,15,436,1147
Sarina,59,89,120,241,266,57,30,570,1420
Seaforth - Calen,74,5,26,209,115,66,19,309,825
Shoal Point - Bucasia,38,20,87,391,0,14,11,305,863
Slade Point,14,19,93,124,3,14,3,164,425
South Mackay,27,163,327,33,13,19,12,305,900
Walkerston - Eton,60,36,58,447,63,28,18,310,1015
West Mackay,21,168,287,26,12,3,11,258,777
Airlie - Whitsundays,126,475,524,187,99,33,71,759,2284
Cape Conway,0,0,0,0,0,0,0,0,0
Proserpine,59,163,82,270,34,14,17,302,943
Beachmere - Sandstone Point,63,33,138,363,112,129,6,620,1470
Bribie Island,54,108,214,149,79,144,9,484,1238
Burpengary - East,35,0,80,120,88,12,6,128,467
Caboolture,135,180,652,513,416,162,20,1597,3667
Caboolture - South,56,117,529,418,351,103,13,1435,3025
Elimbah,48,5,68,110,65,44,0,146,496
Morayfield - East,27,31,216,212,190,32,8,489,1201
Wamuran,62,3,46,115,65,49,0,131,471
Kilcoy,34,91,41,71,51,54,7,235,578
Woodford - D'Aguilar,49,28,63,175,101,93,6,304,810
Burpengary,87,42,250,444,302,42,4,605,1781
Deception Bay,85,89,371,616,301,43,13,1229,2738
Morayfield,35,0,91,106,80,14,4,141,474
Narangba,149,70,275,942,520,46,10,819,2829
Upper Caboolture,23,3,57,73,46,25,7,96,334
Clontarf,44,65,188,333,57,8,5,326,1031
Margate - Woody Point,42,117,191,407,116,16,10,565,1469
Redcliffe,40,136,96,238,128,19,12,450,1114
Rothwell - Kippa-Ring,66,173,419,448,162,21,16,778,2086
Scarborough - Newport - Moreton Island,60,75,226,259,197,29,14,383,1243
Albany Creek,108,66,349,879,45,8,6,420,1876
Cashmere,193,47,406,1437,92,29,9,672,2882
Dayboro,88,21,64,226,273,53,7,295,1031
Eatons Hill,69,17,134,570,30,8,4,242,1070
The Hills District,210,112,597,1727,56,19,24,716,3472
Samford Valley,108,22,66,550,120,14,10,341,1232
Dakabin - Kallangur,101,112,531,1390,227,36,13,1325,3730
Murrumba Downs - Griffin,116,38,310,1446,101,39,13,844,2906
North Lakes - Mango Hill,275,234,775,1717,560,80,41,1631,5309
Bray Park,50,73,203,659,27,12,0,466,1496
Lawnton,29,24,114,385,18,8,4,280,863
Petrie,46,49,211,530,38,13,3,365,1257
Strathpine - Brendale,63,88,241,707,34,13,9,629,1783
Aurukun,48,0,0,0,0,3,3,136,182
Cape York,153,94,42,32,19,71,29,492,936
Croydon - Etheridge,8,33,0,0,3,18,19,58,139
Kowanyama - Pormpuraaw,92,0,0,0,0,0,7,181,274
Northern Peninsula,51,93,57,6,0,0,6,186,392
Tablelands,61,8,20,97,39,61,7,187,487
Torres,14,260,80,5,0,0,5,232,605
Torres Strait Islands,29,7,3,7,22,132,15,371,587
Weipa,34,87,169,77,0,37,67,193,674
Carpentaria,179,64,17,4,0,49,25,354,690
Mount Isa,50,768,1028,46,0,36,42,1008,2972
Mount Isa Region,24,171,20,20,0,32,16,155,441
Northern Highlands,21,112,6,8,8,79,32,113,381
Barcaldine - Blackall,50,186,14,16,15,140,19,144,581
Charleville,22,224,61,0,3,77,6,151,546
Far Central West,42,74,0,0,15,28,19,80,256
Far South West,26,122,7,3,0,61,27,87,329
Longreach,26,234,19,37,4,27,12,119,479
Buderim - North,171,51,519,383,37,69,19,509,1755
Buderim - South,162,53,556,451,44,70,19,531,1876
Mountain Creek,112,51,624,314,33,79,9,521,1750
Sippy Downs,69,38,182,476,47,43,8,473,1346
Aroona - Currimundi,77,73,353,226,67,43,13,321,1176
Buddina - Minyama,41,42,228,128,11,41,9,205,715
Caloundra - Kings Beach,20,114,96,109,39,35,9,239,669
Caloundra - West,161,86,778,678,101,125,24,814,2759
Golden Beach - Pelican Waters,85,72,228,194,52,72,19,333,1056
Moffat Beach - Battery Hill,57,106,210,131,61,57,11,251,881
Parrearra - Warana,85,72,296,259,32,41,18,361,1159
