SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Ooralea - Bakers Creek,5,75,24,34,37,44,54,69,73,80,58,33,18,25,6,65,705
Pioneer Valley,10,166,49,78,72,87,117,123,93,93,57,35,27,28,8,97,1147
Sarina,0,161,63,111,92,106,134,135,137,94,75,57,17,59,13,151,1420
Seaforth - Calen,0,87,37,72,60,66,85,85,55,75,37,37,19,22,12,82,825
Shoal Point - Bucasia,3,91,34,48,58,62,99,99,85,89,38,44,24,13,12,55,863
Slade Point,8,27,16,32,42,40,61,58,46,35,19,8,3,12,3,31,425
South Mackay,15,69,28,63,60,61,116,103,94,84,50,45,24,23,0,59,900
Walkerston - Eton,10,100,51,65,67,81,99,107,104,107,52,47,24,27,13,84,1015
West Mackay,10,54,19,74,44,47,70,75,76,79,63,39,31,19,3,66,777
Airlie - Whitsundays,4,103,54,95,101,102,245,323,299,250,104,80,34,42,24,419,2284
Cape Conway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proserpine,4,60,28,65,71,89,122,116,96,77,50,30,18,20,12,84,943
Beachmere - Sandstone Point,3,98,50,117,95,130,185,203,167,127,82,46,32,12,8,130,1470
Bribie Island,0,87,43,92,95,123,160,167,128,98,60,39,30,21,19,74,1238
Burpengary - East,0,43,14,25,24,24,44,49,54,64,41,26,13,8,5,27,467
Caboolture,14,220,111,291,320,362,503,499,396,275,167,118,36,43,18,298,3667
Caboolture - South,12,179,99,273,253,290,432,409,394,221,119,63,41,14,10,219,3025
Elimbah,0,36,24,35,32,41,54,55,53,38,32,27,13,11,0,35,496
Morayfield - East,3,75,45,92,84,103,167,166,167,114,47,35,16,10,0,75,1201
Wamuran,5,34,16,33,32,30,46,60,62,36,30,24,12,11,5,43,471
Kilcoy,3,34,26,53,38,52,60,76,72,63,22,13,13,11,4,41,578
Woodford - D'Aguilar,4,60,46,44,48,60,99,96,89,73,43,36,17,13,3,87,810
Burpengary,11,135,61,108,138,107,210,238,208,197,113,64,33,34,9,118,1781
Deception Bay,10,149,77,209,237,219,335,364,322,253,144,97,32,35,13,241,2738
Morayfield,0,48,21,33,9,35,47,43,44,50,38,34,12,16,8,28,474
Narangba,16,236,108,155,188,176,286,304,342,337,208,178,75,76,21,125,2829
Upper Caboolture,0,15,16,27,32,18,36,32,30,43,24,19,6,8,0,26,334
Clontarf,3,64,32,60,55,76,110,110,120,108,76,62,33,34,10,76,1031
Margate - Woody Point,3,115,39,92,111,115,163,155,175,133,100,73,35,50,15,93,1469
Redcliffe,4,79,26,67,78,86,111,130,122,112,78,55,21,34,4,101,1114
Rothwell - Kippa-Ring,9,145,82,127,155,162,282,291,235,173,124,78,35,40,10,135,2086
Scarborough - Newport - Moreton Island,6,96,46,67,61,69,136,114,126,133,99,74,49,53,20,102,1243
Albany Creek,5,141,74,92,97,105,137,165,213,222,184,168,82,96,27,63,1876
Cashmere,5,215,90,163,117,170,242,284,316,372,270,259,109,124,47,94,2882
Dayboro,3,78,49,66,50,69,79,86,85,110,70,77,39,64,22,82,1031
Eatons Hill,6,93,37,56,43,68,71,91,121,130,88,95,59,68,17,35,1070
The Hills District,5,195,131,161,147,181,283,302,359,456,372,329,167,229,48,115,3472
Samford Valley,4,125,38,62,57,72,87,81,98,106,93,103,63,109,74,73,1232
Dakabin - Kallangur,12,228,130,233,270,274,383,484,492,445,233,158,78,60,12,246,3730
Murrumba Downs - Griffin,12,213,83,159,123,156,257,359,402,353,239,174,92,91,25,179,2906
North Lakes - Mango Hill,26,542,168,277,248,307,483,573,614,591,443,332,166,191,45,301,5309
Bray Park,3,99,62,106,74,84,169,218,216,180,98,52,33,21,5,69,1496
Lawnton,0,57,25,45,48,67,102,96,99,109,64,53,22,20,4,52,863
Petrie,0,69,47,80,67,88,137,132,165,140,96,93,32,37,9,66,1257
Strathpine - Brendale,8,108,63,127,122,144,206,245,206,186,121,83,44,20,7,91,1783
Aurukun,0,5,4,99,26,10,12,5,3,0,3,0,0,0,0,7,182
Cape York,7,38,27,195,96,62,92,92,67,58,38,19,10,17,9,115,936
Croydon - Etheridge,4,4,6,16,19,15,15,9,14,10,5,0,0,0,3,23,139
Kowanyama - Pormpuraaw,0,10,6,86,62,30,32,9,11,5,0,4,0,6,0,8,274
Northern Peninsula,0,9,4,39,38,42,71,50,35,28,24,16,12,7,0,21,392
Tablelands,4,34,15,39,58,34,60,48,31,40,26,16,3,9,4,61,487
Torres,0,22,10,27,25,26,45,48,53,52,48,41,33,38,8,134,605
Torres Strait Islands,0,18,18,88,75,82,114,59,49,24,12,13,4,3,0,48,587
Weipa,4,63,23,35,20,24,43,58,49,61,48,50,57,55,11,67,674
Carpentaria,0,13,19,103,87,45,87,72,41,53,23,21,16,11,7,79,690
Mount Isa,14,268,81,124,133,171,228,234,245,278,281,188,134,203,22,371,2972
Mount Isa Region,4,29,11,32,15,19,28,53,43,42,22,34,26,21,5,65,441
Northern Highlands,5,23,18,33,36,22,47,39,41,35,22,9,10,12,6,36,381
Barcaldine - Blackall,0,38,25,53,39,46,65,71,40,50,40,29,10,20,5,43,581
Charleville,6,18,17,34,33,37,63,52,68,56,36,27,17,21,5,45,546
Far Central West,0,11,9,18,17,22,32,29,25,33,18,3,0,7,4,29,256
Far South West,3,14,7,20,22,28,46,31,38,39,26,14,10,8,0,25,329
Longreach,0,15,10,24,32,22,35,52,52,63,49,30,17,22,6,49,479
Buderim - North,9,129,63,104,111,103,183,218,208,150,115,107,55,57,33,103,1755
Buderim - South,5,165,69,105,120,137,158,218,200,195,121,115,64,75,41,84,1876
Mountain Creek,6,147,63,98,109,114,194,215,217,192,111,89,48,48,24,85,1750
Sippy Downs,10,115,50,89,104,108,159,141,167,136,79,52,25,19,3,84,1346
Aroona - Currimundi,0,66,41,80,83,111,165,152,135,120,68,52,25,27,9,41,1176
Buddina - Minyama,7,47,28,51,43,44,84,74,83,67,38,49,25,27,17,43,715
Caloundra - Kings Beach,0,31,19,33,46,57,93,103,61,51,31,28,12,13,10,73,669
Caloundra - West,5,197,107,170,204,214,348,348,285,294,190,137,63,47,14,133,2759
Golden Beach - Pelican Waters,6,92,40,68,58,89,146,104,104,79,61,55,31,35,19,62,1056
Moffat Beach - Battery Hill,0,60,35,57,60,57,110,99,91,82,58,60,15,22,20,46,881
Parrearra - Warana,5,90,35,61,80,74,130,122,112,128,84,57,41,39,18,82,1159
Wurtulla - Birtinya,4,57,35,52,57,80,119,119,144,113,58,60,36,25,11,73,1038
Coolum Beach,0,135,59,129,136,156,240,248,225,195,113,97,53,58,27,133,2006
Marcoola - Mudjimba,5,89,51,83,77,104,154,155,141,111,85,50,34,24,8,84,1252
Maroochydore - Kuluin,8,164,68,158,161,180,266,321,310,261,138,126,58,59,25,192,2500
Mooloolaba - Alexandra Headland,8,90,36,92,90,107,160,168,172,159,126,90,31,53,16,173,1564
Noosa Heads,3,27,11,24,32,18,50,43,48,37,32,13,10,16,13,32,417
Noosaville,4,53,29,54,36,69,103,102,92,70,45,46,28,15,11,62,807
Sunshine Beach,8,57,25,48,46,70,82,90,94,67,40,32,22,29,14,58,775
Tewantin,3,51,32,80,92,89,142,146,108,74,32,31,22,8,4,56,982
Peregian Beach - Marcus Beach,0,25,17,28,29,29,44,44,44,24,27,31,13,13,9,36,412
Peregian Springs,0,103,54,79,56,71,107,123,105,126,65,50,30,29,8,98,1104
Beerwah,5,76,31,99,85,100,121,131,96,101,58,24,13,9,5,66,1024
Caloundra Hinterland,0,49,24,66,61,64,99,105,67,38,26,16,12,17,9,39,686
Glass House Mountains,0,53,30,63,43,59,76,88,77,73,34,23,16,7,5,38,683
Landsborough,3,92,53,103,78,91,138,166,147,93,62,53,29,24,16,100,1249
Maroochy Hinterland,0,41,18,46,34,52,64,63,58,29,34,20,15,17,3,40,532
Palmwoods,4,82,56,82,84,105,130,157,119,109,59,57,24,33,16,54,1169
Bli Bli,0,59,37,82,70,71,143,137,144,116,79,59,24,27,13,66,1128
Diddillibah - Rosemount,0,32,13,37,26,34,47,43,38,31,32,13,11,3,10,27,394
Eumundi - Yandina,6,104,53,93,84,127,145,142,97,85,58,51,21,17,19,85,1176
Nambour,11,168,94,208,178,213,305,335,302,224,106,98,48,37,10,178,2509
Noosa Hinterland,7,173,97,179,148,192,290,261,193,182,112,91,35,39,25,156,2171
Cambooya - Wyreema,0,59,36,67,54,54,114,108,92,82,65,57,31,20,11,77,928
Darling Heights,16,190,63,159,120,153,203,224,191,205,151,96,43,36,4,140,1988
Drayton - Harristown,7,68,40,92,92,108,160,184,162,119,64,58,24,20,5,104,1294
Gatton,7,80,29,74,86,95,148,188,115,63,40,21,12,7,4,104,1070
Gowrie (Qld),3,66,37,68,56,65,94,119,111,89,56,46,9,16,7,38,872
Highfields,0,107,59,94,84,105,152,166,160,165,130,107,42,44,11,71,1505
Lockyer Valley - West,0,87,54,99,91,103,155,168,130,115,71,55,24,26,13,109,1307
Middle Ridge,5,86,21,51,31,42,70,71,65,94,71,59,31,38,19,17,785
Newtown (Qld),7,77,28,81,95,102,156,176,150,135,96,64,31,17,8,105,1319
North Toowoomba - Harlaxton,0,26,16,63,50,50,96,96,75,80,56,32,16,17,8,69,748
Rangeville,0,65,32,53,52,68,87,92,102,131,71,78,48,47,15,59,988
Toowoomba - Central,8,90,50,116,121,138,184,225,214,184,112,88,49,56,18,128,1784
Toowoomba - East,0,70,34,55,63,56,94,81,117,124,108,114,66,72,33,88,1181
Toowoomba - West,4,119,66,107,102,99,184,258,221,178,127,96,44,42,11,107,1763
Wilsonton,0,66,62,102,135,138,221,254,187,155,79,38,19,24,5,112,1589
Ayr,3,56,27,66,77,82,127,137,113,80,59,49,19,22,8,71,998
Burdekin,5,55,38,62,71,57,104,103,84,65,42,23,18,8,3,42,779
Charters Towers,4,67,34,59,77,82,94,95,78,65,73,55,19,18,12,102,935
Dalrymple,3,39,17,41,36,26,50,47,36,34,23,18,7,12,0,53,430
Ingham,0,26,8,47,33,33,58,44,27,32,22,8,5,7,11,42,397
Ingham Region,5,24,33,48,46,48,65,53,57,42,31,18,18,4,6,47,547
Palm Island,0,9,3,88,54,38,32,23,16,15,13,8,0,0,0,14,315
Aitkenvale,0,49,18,58,43,44,71,73,74,61,53,38,18,13,4,53,664
Annandale,5,88,33,50,46,63,95,97,99,122,104,81,48,40,16,60,1060
Belgian Gardens - Pallarenda,0,20,13,12,19,23,25,21,36,53,31,34,18,30,9,39,380
Bohle Plains,4,91,29,66,41,71,87,136,154,149,124,94,42,39,5,61,1185
Condon - Rasmussen,8,76,47,92,108,128,166,172,171,153,83,67,27,29,3,92,1418
Cranbrook,3,54,20,56,49,53,68,90,94,68,46,31,18,19,5,53,733
Deeragun,12,216,116,205,212,250,436,456,488,459,339,240,125,121,20,263,3969
Douglas,4,102,40,70,42,47,78,76,98,106,117,94,62,58,22,59,1070
Garbutt - West End,0,38,16,66,53,45,84,95,101,102,91,53,37,41,6,125,942
Gulliver - Currajong - Vincent,0,56,27,57,73,91,123,136,116,132,85,56,26,24,6,85,1093
Heatley,0,28,16,26,38,53,70,67,68,60,31,28,7,6,3,42,544
Hermit Park - Rosslea,0,53,20,48,39,58,73,80,87,102,56,68,26,21,8,65,805
Hyde Park - Pimlico,4,36,24,38,33,50,51,54,70,78,59,44,35,17,12,47,642
Kelso,5,66,46,124,94,122,176,183,193,160,89,64,35,18,6,128,1504
Kirwan - East,4,35,30,76,95,98,131,120,97,101,59,47,14,13,0,65,988
Kirwan - West,9,129,70,113,120,125,232,285,281,309,180,146,87,52,12,140,2283
Magnetic Island,0,8,7,13,18,17,28,20,20,19,6,4,3,8,0,23,217
Mount Louisa,3,95,34,87,68,78,150,170,190,183,160,113,53,53,7,78,1533
Mundingburra,4,27,14,18,25,25,35,49,44,45,39,28,12,17,3,17,397
Northern Beaches,6,53,20,45,43,62,79,74,94,55,47,34,10,25,6,69,732
Oonoonba,0,77,19,44,39,37,90,103,121,150,122,81,44,61,18,62,1076
South Townsville - Railway Estate,4,41,20,43,32,37,66,74,73,73,78,58,36,32,6,98,772
Townsville - South,4,35,25,36,27,33,38,58,51,48,35,45,12,14,6,28,487
Townsville City - North Ward,0,79,18,73,57,65,92,100,133,127,134,137,66,84,46,175,1388
Wulguru - Roseneath,0,22,21,45,44,47,76,98,61,65,43,24,14,24,0,172,763
Ashfield - Kepnock,4,27,21,47,52,50,68,97,65,58,40,26,15,11,0,29,612
Bargara - Burnett Heads,3,124,49,116,108,135,198,197,188,175,113,97,72,50,21,88,1729
Branyan - Kensington,0,35,14,46,50,44,72,81,64,46,31,24,12,8,5,34,555
Bundaberg,9,47,27,67,93,70,103,104,64,56,37,21,14,18,5,80,814
Bundaberg East - Kalkie,0,40,15,47,47,53,108,112,83,67,38,25,16,18,10,42,718
Bundaberg North - Gooburrum,5,29,17,60,68,55,82,108,73,58,21,25,11,8,5,65,683
Bundaberg Region - North,3,55,35,86,80,94,101,106,72,54,33,28,11,12,4,97,868
Bundaberg Region - South,4,50,30,97,67,81,104,103,57,56,39,23,13,15,11,87,834
Millbank - Avoca,4,41,15,44,50,64,118,102,117,64,46,35,20,17,4,50,792
Svensson Heights - Norville,3,33,14,42,44,75,84,92,75,59,29,26,4,8,8,41,643
Walkervale - Avenell Heights,4,58,30,98,120,134,174,188,121,120,51,53,10,12,6,96,1273
Gayndah - Mundubbera,9,30,19,45,56,64,117,95,64,56,31,25,12,8,10,80,705
Gin Gin,6,41,23,45,35,52,49,57,39,30,14,8,8,3,0,47,451
Kingaroy,4,75,54,107,103,119,169,155,131,125,67,63,30,7,7,77,1301
Kingaroy Region - North,6,42,29,114,120,107,112,87,65,67,45,32,12,10,3,75,934
Kingaroy Region - South,0,25,20,29,50,39,53,47,31,37,16,21,4,12,0,28,419
Monto - Eidsvold,3,25,21,41,27,32,38,23,27,27,13,15,8,14,3,56,375
Nanango,6,43,33,81,98,100,120,100,49,56,26,24,5,11,5,78,835
North Burnett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooloola,5,28,25,36,42,68,78,52,30,32,6,7,0,0,3,36,444
Gympie - North,7,71,54,124,152,165,241,269,211,113,53,35,15,20,4,122,1666
Gympie - South,0,39,23,58,57,72,119,103,90,58,37,26,14,13,5,46,751
Gympie Region,11,136,93,182,170,178,249,210,151,134,80,59,15,18,14,169,1870
Kilkivan,4,35,19,32,33,41,47,38,29,24,14,4,0,4,4,45,356
Booral - River Heads,4,29,18,31,47,50,60,60,48,38,21,21,16,7,3,39,489
Craignish - Dundowran Beach,0,33,8,33,35,45,55,39,55,61,25,33,22,9,4,26,482
Pialba - Eli Waters,8,80,32,108,117,112,193,192,138,126,71,75,30,26,10,90,1408
Point Vernon,3,39,19,48,41,70,81,75,56,27,26,17,11,5,0,40,562
Torquay - Scarness - Kawungan,3,77,32,88,118,164,189,184,161,130,73,69,32,29,12,136,1485
Urangan - Wondunna,6,67,41,99,96,116,172,176,131,114,76,67,27,25,4,102,1335
Burrum - Fraser,0,60,25,86,77,78,127,115,76,64,32,37,11,11,3,76,882
Granville,0,8,18,37,25,36,38,52,32,20,16,8,5,4,3,28,318
Maryborough (Qld),7,91,63,165,165,205,211,249,185,139,82,63,24,12,12,147,1821
Maryborough Region - South,0,50,33,62,60,73,84,72,68,31,16,27,15,8,4,69,680
Tinana,3,30,27,44,48,56,84,68,60,58,33,23,15,14,3,47,604
Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12
No Usual Address (Qld),9,171,50,177,124,117,133,132,83,87,44,50,17,20,9,292,1518
Adelaide,16,390,78,141,129,127,195,156,214,222,187,179,100,127,41,251,2560
North Adelaide,8,103,17,38,34,34,57,53,80,108,75,67,60,77,45,81,923
Adelaide Hills,0,53,39,37,35,31,63,69,71,58,38,43,22,33,8,41,640
Aldgate - Stirling,3,119,65,105,99,82,165,173,191,197,154,176,95,115,66,81,1889
Hahndorf - Echunga,0,32,10,20,22,26,48,33,40,43,44,27,22,13,15,32,429
Lobethal - Woodside,9,58,52,76,50,67,95,124,98,96,82,41,37,34,13,39,953
Mount Barker,3,144,84,180,158,184,261,275,249,251,168,132,68,58,25,133,2378
Mount Barker Region,0,45,41,38,60,50,74,90,70,65,57,50,25,20,8,48,739
Nairne,0,39,36,46,47,69,89,87,79,90,66,45,16,18,4,39,771
Uraidla - Summertown,0,43,18,40,30,37,49,53,53,61,57,30,27,38,11,28,574
Burnside - Wattle Park,12,228,67,127,85,113,128,165,190,235,185,160,104,135,69,90,2109
Glenside - Beaumont,3,89,34,58,41,45,83,74,104,120,106,83,44,72,47,42,1033
Toorak Gardens,10,215,51,91,90,78,100,130,178,190,144,170,82,127,64,69,1794
Athelstone,9,64,39,57,51,76,104,127,127,110,94,80,50,36,12,30,1060
Paradise - Newton,17,232,102,174,157,173,240,279,305,277,168,147,65,63,18,117,2534
Rostrevor - Magill,19,317,110,162,171,175,256,272,290,325,261,193,98,121,26,110,2911
Norwood (SA),0,164,50,84,70,96,107,97,136,165,140,126,79,87,54,125,1580
Payneham - Felixstow,8,168,56,92,102,116,132,148,196,204,148,133,72,71,19,88,1745
St Peters - Marden,9,164,57,68,85,119,135,138,142,195,153,130,82,111,77,84,1747
Nailsworth - Broadview,0,71,21,48,43,54,56,78,99,132,86,78,54,49,15,50,928
Prospect,4,183,63,104,96,116,164,150,202,232,166,173,98,103,47,112,2017
Walkerville,3,74,29,37,40,26,49,47,62,90,72,59,43,76,39,64,814
Goodwood - Millswood,12,214,76,132,117,122,200,197,219,299,243,193,130,169,85,140,2542
Unley - Parkside,11,215,74,126,118,117,198,186,259,265,243,257,141,196,124,138,2655
Gawler - North,0,78,55,94,77,89,130,161,120,132,80,65,43,25,0,59,1203
Gawler - South,7,119,86,163,149,192,280,273,290,209,149,95,51,48,20,137,2273
Lewiston - Two Wells,4,38,18,50,61,44,87,83,81,68,32,25,9,12,5,53,683
Craigmore - Blakeview,5,178,126,203,167,207,336,332,350,265,157,88,60,38,11,136,2656
Davoren Park,11,154,77,310,243,283,430,349,268,186,109,36,15,6,7,239,2731
Elizabeth,13,79,51,225,138,146,153,123,74,65,24,8,6,11,8,134,1262
Elizabeth East,8,95,67,165,146,136,224,199,171,134,66,34,21,5,0,122,1598
Munno Para West - Angle Vale,10,126,63,144,115,157,296,258,259,201,117,62,30,17,0,121,1981
One Tree Hill,0,8,4,19,12,19,20,24,31,17,17,8,3,5,6,13,206
Smithfield - Elizabeth North,4,77,48,181,205,173,248,212,146,80,28,12,9,0,3,138,1566
Virginia - Waterloo Corner,3,40,16,40,27,36,43,48,53,52,27,11,10,7,5,44,451
Enfield - Blair Athol,19,415,94,302,288,310,344,339,339,322,230,145,79,63,19,250,3561
Northgate - Oakden - Gilles Plains,13,367,127,270,185,267,363,422,423,443,310,246,140,99,26,297,4010
Windsor Gardens,14,387,114,260,193,224,337,329,371,388,291,208,113,106,21,193,3557
Dry Creek - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingle Farm,7,144,76,177,125,139,228,225,220,216,107,90,51,23,6,92,1919
Para Hills,10,165,77,172,133,163,247,191,227,203,124,83,30,37,4,108,1977
Parafield,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Parafield Gardens,10,250,85,241,182,205,312,282,281,215,114,60,30,10,7,118,2398
Paralowie,8,201,83,245,197,208,321,314,325,211,108,48,26,14,7,145,2458
Salisbury,17,215,89,344,208,203,278,261,222,177,73,45,17,11,8,149,2309
Salisbury East,13,123,80,196,175,179,265,259,269,226,125,89,46,24,3,123,2194
Salisbury North,13,181,87,269,232,234,330,337,310,235,127,52,26,15,10,178,2650
Mawson Lakes - Globe Derby Park,18,278,86,136,114,144,229,238,251,319,179,163,98,78,24,125,2483
Pooraka - Cavan,8,100,33,104,63,79,120,154,111,101,65,47,15,12,0,75,1091
Golden Grove,6,73,26,73,71,53,131,140,152,152,104,93,58,43,12,41,1238
Greenwith,0,75,42,59,64,71,127,147,142,156,94,92,51,36,5,49,1210
Highbury - Dernancourt,0,86,37,67,74,71,119,92,160,155,111,89,42,61,7,51,1233
Hope Valley - Modbury,9,177,89,142,144,164,228,261,246,248,163,115,56,36,0,107,2188
Modbury Heights,4,145,90,158,146,176,243,274,300,296,203,147,69,56,11,102,2410
Redwood Park,6,129,81,131,99,133,246,249,279,263,156,122,64,42,3,92,2105
St Agnes - Ridgehaven,5,90,52,103,80,108,169,189,201,179,136,103,48,29,11,59,1559
Brighton (SA),3,90,46,64,84,102,108,143,157,202,137,128,62,91,34,75,1534
Glenelg (SA),5,162,60,94,128,133,175,213,297,325,228,209,103,121,55,188,2506
Edwardstown,7,176,51,154,137,133,222,201,232,258,167,153,65,53,9,125,2161
Hallett Cove,4,120,55,82,85,90,137,183,183,213,120,102,52,35,13,44,1537
Marino - Seaview Downs,6,60,37,81,53,76,111,127,149,148,119,78,46,45,10,59,1202
Mitchell Park,12,207,82,148,156,162,218,213,236,241,169,135,50,48,8,114,2209
Morphettville,7,128,46,123,139,142,181,197,235,268,182,153,82,80,20,110,2106
Sheidow Park - Trott Park,4,96,63,87,94,85,165,195,192,220,135,95,29,38,7,48,1556
Warradale,10,184,70,149,109,132,192,212,247,241,173,144,57,61,11,122,2122
Belair,0,30,9,22,18,21,32,43,39,47,43,38,29,14,15,17,425
Bellevue Heights,6,129,34,67,48,66,123,64,68,105,63,47,38,27,0,42,911
Blackwood,4,76,52,65,69,62,127,134,145,187,134,112,75,91,25,40,1400
Colonel Light Gardens,0,150,67,117,102,111,164,204,267,250,201,187,108,114,41,83,2179
Mitcham (SA),3,146,55,76,77,92,152,146,176,207,160,137,103,133,65,69,1792
Panorama,4,89,26,90,58,56,108,108,107,107,91,59,37,26,6,67,1049
Aberfoyle Park,4,100,47,91,81,92,146,153,183,155,118,109,33,35,3,48,1404
Aldinga,5,115,85,192,169,181,269,282,224,194,121,84,35,21,11,167,2158
Christie Downs,3,67,39,108,115,119,156,157,131,95,50,30,13,14,6,115,1216
Christies Beach,7,77,32,90,108,90,161,146,133,124,64,57,15,16,6,118,1236
Clarendon,4,8,8,13,9,18,20,26,21,32,27,24,7,11,6,8,232
Coromandel Valley,0,36,20,19,24,36,38,66,54,54,55,47,30,29,3,22,542
Flagstaff Hill,0,90,44,68,65,86,101,132,149,145,124,88,52,41,13,50,1263
Hackham - Onkaparinga Hills,0,32,23,73,68,62,105,106,78,89,44,29,11,9,0,24,741
Hackham West - Huntfield Heights,3,44,27,126,101,118,170,117,115,74,44,21,10,6,0,55,1046
Happy Valley,0,90,71,121,108,130,198,198,236,255,144,82,50,42,4,75,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
McLaren Vale,3,32,38,40,34,35,77,67,51,75,46,36,16,18,3,29,591
Morphett Vale - East,10,91,68,127,141,150,244,227,224,172,111,62,26,18,4,101,1778
Morphett Vale - West,0,67,47,115,111,130,171,162,166,121,62,29,21,10,3,94,1308
Reynella,0,80,52,112,93,101,185,165,183,151,101,56,20,17,0,58,1385
Seaford (SA),9,164,116,221,227,254,380,419,385,330,208,130,67,40,8,190,3138
Willunga,4,22,10,26,26,28,42,42,39,27,24,14,8,10,4,23,341
Woodcroft,0,79,46,71,78,110,160,185,195,182,136,80,30,28,5,42,1417
Beverley,6,84,27,71,61,85,143,106,139,138,81,78,47,30,3,70,1176
Flinders Park,8,154,67,151,97,126,187,210,233,210,150,124,71,61,14,90,1954
Henley Beach,6,139,38,83,96,84,149,156,192,238,147,128,82,80,48,98,1750
Hindmarsh - Brompton,12,222,62,158,158,148,191,248,271,335,263,240,113,103,30,180,2733
Royal Park - Hendon - Albert Park,5,29,26,66,43,56,100,113,117,85,67,49,20,19,3,49,854
Seaton - Grange,6,132,64,142,114,128,181,223,235,236,195,126,73,67,15,118,2056
West Lakes,6,109,49,92,84,86,153,142,168,164,124,108,65,55,15,90,1506
Woodville - Cheltenham,7,210,73,170,139,163,242,259,308,269,173,150,73,34,14,146,2441
Dry Creek - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,3,94,46,110,95,114,157,188,227,263,181,153,104,80,16,87,1930
North Haven,3,90,48,131,130,131,192,197,214,202,143,92,42,43,11,87,1755
Port Adelaide,9,100,48,103,109,105,139,159,193,171,89,76,42,10,8,85,1449
The Parks,30,343,96,296,212,208,251,290,286,229,143,108,53,25,10,175,2771
Torrens Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,0,24,16,27,22,22,25,23,29,27,17,24,12,14,3,13,294
Lockleys,14,191,68,111,100,132,149,185,199,202,131,124,56,68,14,85,1829
Plympton,17,398,113,231,187,240,323,376,457,434,294,236,117,108,24,206,3767
Richmond (SA),13,235,83,157,154,164,248,290,309,316,240,166,94,106,18,164,2775
West Beach,0,52,15,36,22,34,63,74,77,66,58,44,23,31,9,32,640
Barossa - Angaston,3,39,26,56,54,43,82,70,87,78,32,23,19,26,8,31,679
Light,3,54,49,97,95,88,131,124,123,100,67,53,25,23,4,47,1087
Lyndoch,0,47,29,63,47,50,81,78,77,63,46,48,39,13,3,44,724
Mallala,0,31,14,35,28,37,45,36,32,27,17,11,0,3,0,26,340
Nuriootpa,4,38,32,65,55,63,80,105,101,55,40,35,15,9,0,38,745
Tanunda,0,30,17,33,38,36,48,54,43,66,36,26,19,17,10,23,475
Clare,0,15,15,21,34,44,53,76,63,44,34,18,15,9,9,32,481
Gilbert Valley,0,36,26,50,37,49,52,48,42,31,22,23,7,4,6,40,468
Goyder,4,16,23,45,41,42,50,42,36,20,18,9,3,0,0,28,374
Wakefield - Barunga West,0,56,41,96,89,83,120,121,83,60,39,37,19,22,3,62,936
Jamestown,0,22,22,36,36,50,58,52,40,39,25,21,12,9,3,26,445
Peterborough - Mount Remarkable,0,29,20,39,49,43,51,54,45,24,20,27,7,4,3,39,448
Port Pirie,5,71,69,148,128,189,192,162,168,120,66,55,36,20,12,100,1547
Port Pirie Region,0,15,18,29,33,26,27,34,31,30,26,20,9,10,9,17,332
Kadina,0,25,13,65,55,49,68,71,51,42,32,18,12,11,7,48,578
Moonta,0,15,15,35,35,56,41,55,31,35,24,14,3,11,3,20,383
Wallaroo,0,21,3,33,40,36,46,34,26,24,20,11,5,10,3,19,345
Yorke Peninsula - North,0,28,39,49,57,61,70,63,48,41,19,22,12,9,3,30,547
Yorke Peninsula - South,0,12,27,28,20,25,50,24,26,20,18,8,3,0,7,26,285
Ceduna,0,16,6,18,29,20,38,24,34,36,37,16,7,6,12,54,352
Eyre Peninsula,0,34,37,65,60,60,69,77,66,54,39,26,8,14,10,60,669
Kimba - Cleve - Franklin Harbour,0,28,25,40,31,36,45,54,30,39,21,24,5,15,4,48,445
Le Hunte - Elliston,4,24,12,20,30,19,27,23,16,23,13,11,5,6,0,13,237
Port Lincoln,6,89,64,143,135,174,250,244,212,152,108,90,40,19,19,163,1916
West Coast (SA),0,16,17,39,28,34,39,31,27,27,27,13,7,6,3,64,385
Western,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,10
