SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Russell,0,0,0,0,0,0,0,0,0,0,0,0
Deakin,44,120,4,21,42,4,0,4,3,0,54,303
Forrest,34,95,3,10,32,9,0,0,5,0,55,245
Griffith (ACT),108,298,16,35,114,15,0,11,11,0,158,762
Lake Burley Griffin,0,0,0,0,0,0,0,0,0,0,0,0
Narrabundah,126,313,15,50,116,17,0,12,16,5,217,888
Parkes (ACT) - South,0,0,0,0,0,0,0,0,0,0,0,0
Red Hill (ACT),50,114,9,24,44,6,0,0,7,0,78,334
Yarralumla,43,97,0,12,37,8,0,0,3,0,69,269
Barton,57,134,4,13,35,10,0,0,7,7,52,316
Fyshwick,0,0,0,0,0,0,0,0,0,0,0,3
Kingston (ACT),173,537,19,55,151,18,0,4,23,3,160,1150
Banks,98,163,27,78,210,51,0,20,26,3,162,841
Bonython,52,133,20,52,122,21,3,11,20,0,111,539
Calwell,77,181,22,85,194,21,8,17,13,3,158,775
Chisholm,77,149,25,61,159,39,0,20,11,3,149,682
Conder,59,140,21,60,167,33,5,13,10,3,137,654
Fadden,50,103,10,11,80,15,0,3,3,0,40,304
Gilmore,50,93,15,22,99,18,0,14,4,0,96,407
Gordon (ACT),103,228,35,109,272,54,7,17,13,7,194,1037
Gowrie (ACT),37,110,17,34,91,11,0,0,4,0,85,386
Greenway,29,85,3,32,55,13,0,3,6,3,113,340
Isabella Plains,73,139,20,58,178,32,0,15,12,0,138,666
Kambah,203,528,52,172,390,62,9,29,36,8,434,1929
Macarthur,24,49,6,9,48,4,0,4,3,0,25,166
Monash,69,179,24,49,145,29,0,17,9,0,143,667
Mount Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Oxley (ACT),18,55,8,19,37,13,0,0,3,0,51,206
Richardson,37,94,17,49,115,21,5,17,9,0,100,468
Theodore,53,118,21,54,138,35,0,14,12,0,111,551
Tuggeranong,0,0,0,0,0,0,0,0,0,0,0,0
Wanniassa,94,277,29,94,225,34,0,18,8,3,216,991
Tuggeranong - West,0,0,0,0,0,0,0,0,0,0,0,0
Chapman,39,106,0,13,48,7,0,0,3,0,31,254
Duffy,68,141,15,25,85,15,0,13,10,0,69,439
Fisher,64,145,6,23,78,19,0,6,9,0,85,436
Holder,63,128,10,14,74,11,0,4,10,3,49,362
Rivett,64,153,9,39,73,17,3,9,9,4,97,477
Stirling,30,66,4,21,56,10,0,5,0,0,57,249
Waramanga,63,114,3,26,63,7,0,6,12,3,77,377
Weston,68,165,9,36,69,9,0,10,9,0,97,459
Scrivener,0,0,0,0,0,0,0,0,0,0,0,0
Chifley,48,121,13,45,62,7,0,13,5,0,77,402
Curtin,90,253,15,43,87,17,0,13,12,3,107,643
Farrer,45,138,9,30,65,16,0,5,0,0,59,361
Garran,34,213,3,19,37,12,0,5,4,3,114,451
Hughes,46,118,6,21,42,4,0,3,3,0,75,325
Isaacs,33,87,12,18,30,3,0,4,6,4,33,219
Lyons (ACT),49,136,18,47,70,10,0,20,5,6,145,493
Mawson,55,152,10,45,58,22,3,17,5,0,126,485
O'Malley,6,23,0,6,20,0,0,0,0,0,27,80
Pearce,38,123,5,21,50,7,0,3,4,0,46,295
Phillip,58,347,23,57,80,17,0,28,7,5,155,778
Torrens,38,74,8,30,41,12,0,7,5,0,54,266
Arboretum,0,0,0,0,0,0,0,0,0,0,0,0
Coombs,37,170,10,36,74,12,0,4,0,0,92,443
Denman Prospect,0,0,0,0,0,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0,0,0,0,0,0
Wright,89,285,14,37,141,26,3,3,12,5,127,738
ACT - South West,14,22,3,7,19,3,0,0,0,0,24,99
Namadgi,0,0,0,0,4,0,0,0,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (ACT),0,14,3,8,10,4,0,0,0,0,34,77
Christmas Island,20,26,6,22,28,3,7,13,0,0,72,208
Cocos (Keeling) Islands,7,12,6,11,9,0,0,5,0,0,30,72
Jervis Bay,4,11,0,5,0,0,0,4,0,0,31,56
Norfolk Island,27,20,9,38,42,14,0,20,0,0,25,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (OT),0,0,0,0,0,0,0,0,0,0,0,8
Total,249229,727143,108803,327457,472218,192864,25992,121529,20158,13325,1039933,3298649
