SA2,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Total
Upper Kedron - Ferny Grove,83,195,516,291,316,41,1439
Brisbane City,557,576,502,117,126,214,2090
Fortitude Valley,336,641,438,119,77,244,1853
Highgate Hill,117,338,362,102,92,100,1111
Kangaroo Point,274,587,474,120,63,138,1663
New Farm,257,944,764,183,167,334,2644
South Brisbane,278,463,470,126,93,137,1568
Spring Hill,397,366,313,83,81,148,1393
West End,208,563,615,184,116,227,1912
Balmoral,35,171,234,107,127,57,722
Bulimba,80,322,383,158,151,107,1197
East Brisbane,125,350,381,89,88,93,1134
Hawthorne,46,192,302,127,156,31,851
Morningside - Seven Hills,261,741,925,308,299,209,2750
Norman Park,55,289,385,167,161,78,1130
Albion,48,206,176,57,35,65,594
Alderley,76,272,351,167,137,58,1059
Ascot,72,182,233,109,102,46,745
Clayfield,224,494,593,241,199,122,1871
Grange,29,118,214,143,117,27,648
Hamilton (Qld),122,319,332,106,111,144,1130
Hendra,41,118,200,112,111,32,618
Kelvin Grove - Herston,352,477,501,185,142,164,1824
Newmarket,82,237,252,109,91,49,823
Newstead - Bowen Hills,260,959,827,155,125,376,2700
Wilston,28,157,196,97,90,36,608
Windsor,125,386,485,175,154,82,1405
Wooloowin - Lutwyche,204,429,600,234,197,126,1789
Ashgrove,116,378,575,298,332,97,1802
Auchenflower,85,295,334,116,94,79,1004
Bardon,70,250,477,253,242,66,1362
Paddington - Milton,157,699,640,235,230,136,2097
Red Hill (Qld),89,345,358,143,111,95,1129
Toowong,231,560,687,199,175,148,2004
Brinsmead,59,103,288,151,133,56,785
Clifton Beach - Kewarra Beach,119,241,506,261,231,120,1471
Freshwater - Stratford,31,105,176,77,89,35,520
Redlynch,105,247,643,373,379,105,1855
Trinity Beach - Smithfield,210,342,784,373,335,156,2202
Yorkeys Knob - Machans Beach,64,163,254,114,135,114,847
Bentley Park,155,149,441,242,230,95,1316
Cairns City,482,450,502,171,152,400,2153
Earlville - Bayview Heights,112,134,363,186,177,93,1068
Edmonton,185,190,491,285,329,130,1624
Gordonvale - Trinity,84,129,368,213,249,80,1118
Kanimbla - Mooroobool,159,234,429,231,243,128,1428
Lamb Range,0,0,0,0,0,0,0
Manoora,185,158,266,118,139,177,1038
Manunda,157,134,217,99,84,136,825
Mount Sheridan,139,181,398,213,228,71,1222
Westcourt - Bungalow,204,222,239,87,103,140,1005
White Rock,99,108,209,100,113,76,708
Whitfield - Edge Hill,110,198,357,167,178,81,1091
Woree,114,100,179,96,101,96,687
Babinda,30,57,137,79,102,36,440
Innisfail,169,115,277,163,202,149,1079
Johnstone,82,84,218,197,208,79,875
Tully,136,136,309,211,223,139,1151
Wooroonooran,0,0,0,0,0,0,0
Yarrabah,77,65,71,37,48,3,305
Daintree,57,107,238,119,141,108,777
Port Douglas,102,162,243,98,81,141,827
Atherton,112,154,335,210,261,90,1161
Herberton,64,45,111,82,129,72,500
Kuranda,39,59,133,107,111,44,492
Malanda - Yungaburra,41,79,235,160,220,48,787
Mareeba,158,143,368,240,244,155,1310
Balonne,52,60,160,112,135,43,548
Chinchilla,69,111,291,208,305,135,1113
Goondiwindi,72,127,243,153,173,98,866
Inglewood - Waggamba,51,35,129,80,130,43,467
Miles - Wandoan,39,49,158,81,115,66,504
Roma,105,149,324,185,187,128,1081
Roma Region,48,50,201,128,179,54,668
Tara,36,32,79,72,123,89,423
Crows Nest - Rosalie,53,79,231,173,251,61,841
Jondaryan,100,86,213,163,210,63,834
Millmerran,35,31,94,66,93,38,352
Pittsworth,27,41,182,110,169,51,585
Wambo,178,212,604,369,568,164,2093
Clifton - Greenmount,36,55,148,107,149,38,531
Southern Downs - East,19,40,114,81,115,29,401
Southern Downs - West,29,31,110,79,133,30,407
Stanthorpe,56,51,173,119,143,32,575
Stanthorpe Region,37,51,153,129,146,35,553
Warwick,156,195,462,338,408,86,1646
Central Highlands - East,84,140,298,177,293,123,1113
Central Highlands - West,52,83,256,202,311,134,1039
Emerald,136,222,605,412,546,265,2183
Berserker,114,132,253,160,162,67,892
Bouldercombe,12,28,67,35,56,15,214
Emu Park,36,51,157,115,163,41,573
Frenchville - Mount Archer,95,146,385,240,219,62,1146
Glenlee - Rockyview,27,41,172,112,127,32,515
Gracemere,165,194,540,331,432,118,1775
Lakes Creek,76,70,196,139,131,45,660
Mount Morgan,39,25,64,55,71,27,273
Norman Gardens,174,220,436,272,240,95,1435
Park Avenue,75,73,199,125,132,41,658
Parkhurst - Kawana,108,129,285,177,192,60,947
Rockhampton - West,74,120,259,140,130,46,763
Rockhampton City,39,58,120,60,60,38,374
Rockhampton Region - East,21,25,81,85,91,34,338
Rockhampton Region - North,20,45,137,91,111,38,439
Rockhampton Region - West,16,23,101,77,87,25,328
Shoalwater Bay,0,0,0,0,0,0,0
The Range - Allenstown,81,154,293,160,155,91,927
Yeppoon,129,261,711,422,461,146,2139
Banana,66,93,282,204,308,92,1042
Biloela,70,95,253,141,188,74,819
Agnes Water - Miriam Vale,27,46,175,116,148,56,564
Boyne Island - Tannum Sands,85,132,430,298,379,90,1420
Callemondah,0,0,0,0,0,0,0
Clinton - New Auckland,225,249,685,382,556,129,2214
Gladstone,102,121,228,114,167,106,833
Gladstone Hinterland,87,140,430,298,491,144,1589
Kin Kora - Sun Valley,42,52,175,109,129,28,538
South Trees,0,0,0,0,0,0,0
Telina - Toolooa,88,101,291,186,240,79,993
West Gladstone,68,80,184,114,141,58,638
Broadbeach Waters,105,193,321,165,129,68,985
Burleigh Heads,128,349,443,147,153,139,1351
Burleigh Waters,147,340,653,354,318,73,1891
Mermaid Beach - Broadbeach,287,641,627,188,164,257,2166
Mermaid Waters,195,324,503,274,282,119,1705
Miami,122,335,437,161,130,106,1285
Coolangatta,94,205,224,79,64,95,758
Currumbin - Tugun,137,323,519,245,243,145,1609
Currumbin Waters,83,142,351,208,222,51,1047
Elanora,101,206,428,287,310,77,1408
Palm Beach,206,497,678,338,336,175,2233
Arundel,164,209,380,227,226,94,1301
Biggera Waters,206,267,370,140,166,141,1299
Coombabah,141,187,376,213,208,93,1214
Labrador,347,493,795,314,392,245,2596
Paradise Point - Hollywell,81,164,335,192,175,66,1008
Runaway Bay,107,149,295,150,134,54,885
Guanaba - Springbrook,36,62,174,89,93,127,583
Tamborine - Canungra,110,202,478,283,321,126,1523
Currumbin Valley - Tallebudgera,36,123,218,174,182,55,783
Mudgeeraba - Bonogin,157,338,798,506,520,147,2478
Reedy Creek - Andrews,94,164,400,269,239,63,1231
Carrara,151,287,539,270,264,95,1613
Highland Park,97,166,358,223,210,68,1115
Nerang - Mount Nathan,265,433,897,541,543,170,2843
Pacific Pines - Gaven,281,421,944,578,580,185,2994
Worongary - Tallai,72,139,253,181,178,53,878
Coomera,200,326,725,399,468,183,2297
Helensvale,193,315,626,421,386,134,2077
Hope Island,110,222,403,205,185,117,1238
Jacobs Well - Alberton,25,58,130,89,91,17,412
Ormeau - Yatala,205,367,1057,642,658,200,3119
Oxenford - Maudsland,188,360,792,423,471,155,2404
Pimpama,134,215,511,287,363,201,1718
Upper Coomera - Willow Vale,453,649,1763,990,1099,332,5277
Clear Island Waters,55,66,115,68,64,30,394
Merrimac,87,172,377,188,173,73,1070
Robina,368,572,983,473,488,186,3074
Varsity Lakes,310,481,777,342,397,179,2480
Ashmore,163,250,485,283,237,90,1506
Molendinar,111,144,278,154,136,48,881
Parkwood,135,187,324,187,164,54,1048
Southport - North,474,494,616,247,239,244,2317
Southport - South,445,438,697,321,312,208,2418
Benowa,102,178,245,182,170,74,958
Bundall,61,95,159,88,91,44,559
Main Beach,51,138,145,46,39,71,485
Surfers Paradise,936,880,877,281,313,649,3937
Darra - Sumner,131,134,223,102,126,106,828
Durack,227,194,299,143,186,119,1164
Forest Lake - Doolandella,607,675,1334,757,747,245,4372
Inala - Richlands,687,317,544,276,395,345,2560
Oxley (Qld),112,224,462,227,188,96,1321
Wacol,96,51,93,49,66,268,613
Boonah,100,140,394,258,307,107,1306
Esk,35,46,110,81,125,54,455
Lake Manchester - England Creek,0,0,0,0,0,0,0
Lockyer Valley - East,206,242,699,426,526,201,2300
Lowood,137,176,493,328,421,149,1706
Rosewood,110,175,390,237,294,98,1302
Brassall,155,232,488,276,317,90,1562
Bundamba,139,166,380,220,210,111,1233
Churchill - Yamanto,89,129,337,174,222,58,1011
Ipswich - Central,73,98,267,136,145,81,810
Ipswich - East,249,324,748,438,447,187,2382
Ipswich - North,33,81,198,125,124,26,587
Karalee - Barellan Point,37,77,264,136,161,31,703
Karana Downs,33,122,268,167,171,35,798
Leichhardt - One Mile,118,147,306,177,232,129,1102
North Ipswich - Tivoli,76,125,278,155,163,57,852
Raceview,215,308,695,411,479,108,2219
Ripley,49,101,320,143,129,64,809
Riverview,71,48,78,66,72,40,365
Bellbird Park - Brookwater,208,329,811,465,467,154,2423
Camira - Gailes,135,184,382,215,221,87,1230
Carole Park,0,0,0,0,0,0,0
Collingwood Park - Redbank,170,158,355,222,261,78,1241
Goodna,326,245,388,218,292,177,1648
New Chum,0,0,0,0,0,0,0
Redbank Plains,491,431,849,504,615,231,3130
Springfield,114,165,377,201,211,56,1126
Springfield Lakes,297,513,1108,558,585,145,3201
Beaudesert,134,165,471,295,375,124,1566
Beenleigh,153,163,296,178,212,103,1105
Eagleby,267,201,465,271,359,140,1702
Edens Landing - Holmview,144,173,392,204,225,75,1215
Mount Warren Park,84,108,238,149,142,57,781
Wolffdene - Bahrs Scrub,74,107,257,165,154,49,809
Boronia Heights - Park Ridge,199,205,480,310,275,112,1584
Browns Plains,178,191,311,182,216,86,1160
Chambers Flat - Logan Reserve,93,89,209,92,117,49,644
Crestmead,272,230,481,289,379,166,1836
Greenbank Military Camp,0,0,0,0,0,0,0
Hillcrest,155,169,364,190,205,48,1137
Marsden,417,252,538,297,435,260,2211
Munruben - Park Ridge South,44,70,176,83,119,23,511
Regents Park - Heritage Park,316,312,709,414,454,130,2343
Greenbank,128,209,615,355,372,72,1756
Jimboomba,293,435,1233,743,785,252,3741
Logan Village,56,92,250,173,188,73,829
Bethania - Waterford,178,216,503,257,274,118,1549
Cornubia - Carbrook,82,161,376,195,184,52,1040
Loganholme - Tanah Merah,153,246,578,332,334,102,1737
Loganlea,243,224,374,251,286,155,1527
Shailer Park,131,244,571,321,246,77,1597
Waterford West,179,121,288,162,177,73,1001
Daisy Hill,87,165,314,203,164,42,980
Kingston (Qld.),266,148,317,172,253,188,1346
Logan Central,188,97,161,119,152,69,777
Rochedale South - Priestdale,192,374,779,484,458,101,2389
Slacks Creek,243,216,388,225,300,111,1499
Springwood,109,231,457,230,228,88,1345
Underwood,161,170,316,197,189,55,1094
Woodridge,442,238,403,194,338,143,1764
Bowen,160,119,311,210,225,115,1142
Broadsound - Nebo,70,120,309,216,333,193,1244
Clermont,34,56,132,96,165,63,546
Collinsville,37,38,98,81,84,61,398
Moranbah,106,163,415,275,420,194,1592
Andergrove - Beaconsfield,186,244,655,434,489,111,2119
East Mackay,55,74,143,80,80,35,452
Eimeo - Rural View,167,233,648,361,461,133,1999
Eungella Hinterland,0,0,0,0,0,0,0
Mackay,106,100,141,63,75,76,558
Mackay Harbour,6,13,18,10,9,16,68
Mount Pleasant - Glenella,109,163,450,280,302,59,1356
North Mackay,83,123,229,131,143,57,767
Ooralea - Bakers Creek,55,97,220,108,161,63,705
Pioneer Valley,59,92,331,232,343,86,1147
Sarina,117,143,414,266,342,140,1420
Seaforth - Calen,49,67,223,180,228,80,825
Shoal Point - Bucasia,67,78,269,176,208,53,863
Slade Point,41,66,124,65,105,22,425
South Mackay,146,135,276,143,146,48,900
Walkerston - Eton,66,90,321,199,275,76,1015
West Mackay,67,136,216,143,156,63,777
Airlie - Whitsundays,225,418,627,298,289,422,2284
Cape Conway,0,0,0,0,0,0,0
Proserpine,75,86,312,176,210,82,943
Beachmere - Sandstone Point,139,173,416,293,334,114,1470
Bribie Island,154,173,360,235,243,65,1238
Burpengary - East,45,51,145,100,110,24,467
Caboolture,501,461,1066,613,741,284,3667
Caboolture - South,399,377,826,520,691,217,3025
Elimbah,27,51,186,116,88,27,496
Morayfield - East,144,162,369,199,259,68,1201
Wamuran,56,50,150,101,85,34,471
Kilcoy,93,53,144,106,141,50,578
Woodford - D'Aguilar,42,82,264,144,190,87,810
Burpengary,154,211,581,356,363,114,1781
Deception Bay,322,344,823,466,575,217,2738
Morayfield,24,59,156,107,100,22,474
Narangba,146,325,1032,592,620,125,2829
Upper Caboolture,26,31,100,82,64,23,334
Clontarf,102,154,354,155,190,70,1031
Margate - Woody Point,167,236,477,249,248,82,1469
Redcliffe,120,201,348,178,173,91,1114
Rothwell - Kippa-Ring,254,283,659,362,407,115,2086
Scarborough - Newport - Moreton Island,109,215,377,202,238,99,1243
Albany Creek,103,276,648,399,393,58,1876
Cashmere,193,393,1060,578,571,73,2882
Dayboro,49,117,342,201,237,79,1031
Eatons Hill,55,130,399,236,222,35,1070
The Hills District,202,585,1240,707,634,98,3472
Samford Valley,56,171,359,295,282,66,1232
Dakabin - Kallangur,385,543,1207,626,728,240,3730
Murrumba Downs - Griffin,245,451,968,508,585,154,2906
North Lakes - Mango Hill,443,730,1788,973,1102,284,5309
Bray Park,127,240,477,289,296,59,1496
Lawnton,84,134,306,139,152,49,863
Petrie,77,197,465,229,225,63,1257
Strathpine - Brendale,199,306,557,316,316,90,1783
Aurukun,7,120,47,4,3,0,182
Cape York,112,150,251,155,171,98,936
Croydon - Etheridge,8,13,32,29,31,24,139
Kowanyama - Pormpuraaw,25,97,69,43,37,6,274
Northern Peninsula,50,94,87,74,77,14,392
Tablelands,28,35,140,116,105,56,487
Torres,132,84,146,56,54,128,605
Torres Strait Islands,107,174,132,38,94,38,587
Weipa,68,83,214,109,129,67,674
Carpentaria,136,184,132,70,84,84,690
Mount Isa,309,392,871,480,564,354,2972
Mount Isa Region,59,70,119,54,68,70,441
Northern Highlands,57,55,102,73,71,31,381
Barcaldine - Blackall,53,69,172,115,135,47,581
Charleville,68,67,156,90,122,42,546
Far Central West,29,35,79,38,49,34,256
Far South West,49,46,109,48,58,21,329
Longreach,45,70,150,92,79,46,479
Buderim - North,112,278,601,357,311,92,1755
Buderim - South,114,267,642,399,374,80,1876
Mountain Creek,123,256,616,344,331,81,1750
Sippy Downs,113,181,447,253,273,78,1346
Aroona - Currimundi,74,179,405,249,243,30,1176
Buddina - Minyama,36,136,232,134,134,42,715
Caloundra - Kings Beach,84,122,211,98,92,66,669
Caloundra - West,167,360,922,583,588,131,2759
Golden Beach - Pelican Waters,89,166,339,205,211,53,1056
Moffat Beach - Battery Hill,75,126,290,171,169,43,881
Parrearra - Warana,97,189,381,190,234,69,1159
Wurtulla - Birtinya,81,146,355,192,204,63,1038
Coolum Beach,133,304,701,351,393,122,2006
Marcoola - Mudjimba,98,183,437,208,263,72,1252
Maroochydore - Kuluin,282,544,809,352,331,186,2500
Mooloolaba - Alexandra Headland,164,361,511,186,172,173,1564
Noosa Heads,37,83,125,75,65,27,417
Noosaville,83,129,257,145,142,48,807
Sunshine Beach,64,140,251,149,118,58,775
Tewantin,76,124,328,187,209,56,982
Peregian Beach - Marcus Beach,26,72,136,79,75,25,412
Peregian Springs,58,118,380,225,231,96,1104
Beerwah,83,124,332,187,230,67,1024
Caloundra Hinterland,36,94,225,139,158,38,686
Glass House Mountains,51,75,251,126,144,41,683
Landsborough,80,129,402,248,311,89,1249
Maroochy Hinterland,33,62,160,98,134,39,532
Palmwoods,74,155,392,221,275,49,1169
Bli Bli,69,136,393,229,244,57,1128
Diddillibah - Rosemount,30,33,133,101,67,32,394
Eumundi - Yandina,67,135,351,261,279,77,1176
Nambour,203,356,783,494,539,137,2509
Noosa Hinterland,133,240,675,470,519,134,2171
Cambooya - Wyreema,50,86,265,213,243,71,928
Darling Heights,299,282,562,324,396,122,1988
Drayton - Harristown,124,170,404,237,260,103,1294
Gatton,247,188,258,120,167,90,1070
Gowrie (Qld),39,76,265,206,242,43,872
Highfields,62,154,459,380,397,58,1505
Lockyer Valley - West,85,122,409,259,319,106,1307
Middle Ridge,42,73,263,178,211,17,785
Newtown (Qld),144,209,387,240,237,102,1319
North Toowoomba - Harlaxton,66,95,259,136,128,60,748
Rangeville,54,155,325,183,213,49,988
Toowoomba - Central,171,302,553,315,312,126,1784
Toowoomba - East,88,177,371,226,236,87,1181
Toowoomba - West,127,229,540,352,411,102,1763
Wilsonton,168,239,491,252,335,107,1589
Ayr,121,99,311,199,194,68,998
Burdekin,50,71,229,190,193,43,779
Charters Towers,89,102,281,183,185,97,935
Dalrymple,20,47,125,67,120,52,430
Ingham,45,34,103,83,97,33,397
Ingham Region,34,44,166,116,144,51,547
Palm Island,33,169,49,18,31,14,315
Aitkenvale,73,93,227,108,111,51,664
Annandale,85,137,350,223,204,61,1060
Belgian Gardens - Pallarenda,22,68,120,68,57,37,380
Bohle Plains,94,134,405,274,218,58,1185
Condon - Rasmussen,185,179,434,260,270,98,1418
Cranbrook,107,116,213,122,120,53,733
Deeragun,303,536,1351,767,777,233,3969
Douglas,82,199,351,221,152,61,1070
Garbutt - West End,103,201,289,131,100,118,942
Gulliver - Currajong - Vincent,101,159,362,189,197,86,1093
Heatley,72,75,190,70,98,40,544
Hermit Park - Rosslea,83,155,284,105,117,60,805
Hyde Park - Pimlico,86,125,216,94,80,33,642
Kelso,156,191,461,257,315,132,1504
Kirwan - East,153,152,276,155,195,54,988
Kirwan - West,209,312,746,431,449,138,2283
Magnetic Island,12,24,76,40,36,24,217
Mount Louisa,122,206,571,265,285,81,1533
Mundingburra,36,60,144,81,66,15,397
Northern Beaches,56,76,230,130,177,66,732
Oonoonba,82,177,373,202,179,51,1076
South Townsville - Railway Estate,60,152,255,107,100,95,772
Townsville - South,21,53,144,106,124,32,487
Townsville City - North Ward,142,362,452,130,131,162,1388
Wulguru - Roseneath,59,97,205,112,117,171,763
Ashfield - Kepnock,61,69,176,126,148,33,612
Bargara - Burnett Heads,140,217,573,339,380,81,1729
Branyan - Kensington,56,57,176,108,130,26,555
Bundaberg,164,112,206,119,138,81,814
Bundaberg East - Kalkie,72,76,259,132,135,48,718
Bundaberg North - Gooburrum,98,73,191,120,146,55,683
Bundaberg Region - North,71,89,218,171,235,91,868
Bundaberg Region - South,66,85,234,165,193,87,834
Millbank - Avoca,63,85,254,158,186,49,792
Svensson Heights - Norville,71,68,198,136,121,48,643
Walkervale - Avenell Heights,153,130,395,233,275,80,1273
Gayndah - Mundubbera,102,71,194,116,152,75,705
Gin Gin,41,40,118,87,130,41,451
Kingaroy,95,154,411,243,327,73,1301
Kingaroy Region - North,123,117,266,146,210,70,934
Kingaroy Region - South,34,22,120,85,112,32,419
Monto - Eidsvold,29,31,99,58,108,48,375
Nanango,73,85,205,153,244,80,835
North Burnett,0,0,0,0,0,0,0
Cooloola,35,48,129,86,121,31,444
Gympie - North,142,208,461,326,417,106,1666
Gympie - South,62,70,218,167,192,46,751
Gympie Region,98,191,523,406,500,155,1870
Kilkivan,17,29,95,71,96,33,356
Booral - River Heads,44,43,149,120,103,34,489
Craignish - Dundowran Beach,31,62,150,104,106,30,482
Pialba - Eli Waters,140,172,423,271,309,93,1408
Point Vernon,48,60,174,125,116,42,562
Torquay - Scarness - Kawungan,155,194,442,277,292,124,1485
Urangan - Wondunna,131,185,393,262,256,100,1335
Burrum - Fraser,81,78,228,169,236,86,882
Granville,22,40,94,58,73,29,318
Maryborough (Qld),178,209,522,341,439,142,1821
Maryborough Region - South,53,60,198,134,167,62,680
Tinana,57,70,171,130,141,36,604
Migratory - Offshore - Shipping (Qld),6,6,0,0,0,0,12
No Usual Address (Qld),376,314,257,101,109,368,1518
Adelaide,553,705,734,181,138,247,2560
North Adelaide,104,289,285,96,66,78,923
Adelaide Hills,32,72,211,123,163,35,640
Aldgate - Stirling,67,248,659,447,404,71,1889
Hahndorf - Echunga,25,56,131,106,78,29,429
Lobethal - Woodside,45,134,304,191,240,36,953
Mount Barker,124,311,767,486,555,138,2378
Mount Barker Region,30,74,267,153,174,45,739
Nairne,30,86,290,180,155,35,771
Uraidla - Summertown,32,90,192,124,111,28,574
Burnside - Wattle Park,223,380,654,389,382,69,2109
Glenside - Beaumont,83,191,338,199,185,42,1033
Toorak Gardens,188,368,553,323,303,63,1794
Athelstone,85,169,381,213,189,24,1060
Paradise - Newton,305,443,774,421,478,109,2534
Rostrevor - Magill,352,531,881,544,503,102,2911
Norwood (SA),172,405,535,193,167,114,1580
Payneham - Felixstow,201,374,553,314,232,71,1745
St Peters - Marden,179,333,617,268,273,72,1747
Nailsworth - Broadview,108,176,328,148,129,40,928
Prospect,204,374,678,340,311,103,2017
Walkerville,82,172,251,131,122,56,814
Goodwood - Millswood,260,553,844,416,350,120,2542
Unley - Parkside,252,594,896,425,361,126,2655
Gawler - North,85,133,389,256,297,52,1203
Gawler - South,177,285,741,467,480,117,2273
Lewiston - Two Wells,64,61,195,149,166,54,683
Craigmore - Blakeview,243,338,873,510,574,120,2656
Davoren Park,412,301,783,428,581,230,2731
Elizabeth,290,145,269,175,270,126,1262
Elizabeth East,217,219,451,251,341,115,1598
Munno Para West - Angle Vale,219,255,594,376,423,122,1981
One Tree Hill,13,25,64,49,48,9,206
Smithfield - Elizabeth North,229,213,407,242,336,131,1566
Virginia - Waterloo Corner,58,62,136,68,93,39,451
Enfield - Blair Athol,651,572,973,537,583,243,3561
Northgate - Oakden - Gilles Plains,523,639,1203,660,693,299,4010
Windsor Gardens,518,622,1104,579,561,178,3557
Dry Creek - North,0,0,0,0,0,0,0
Ingle Farm,252,257,610,339,371,89,1919
Para Hills,237,282,596,368,407,81,1977
Parafield,11,5,0,0,0,0,16
Parafield Gardens,477,294,631,418,465,120,2398
Paralowie,388,327,766,389,452,135,2458
Salisbury,436,321,611,358,428,157,2309
Salisbury East,273,317,681,383,438,103,2194
Salisbury North,412,371,753,422,527,165,2650
Mawson Lakes - Globe Derby Park,401,397,769,399,403,114,2483
Pooraka - Cavan,201,181,290,160,201,65,1091
Golden Grove,93,189,455,249,206,43,1238
Greenwith,85,163,441,255,232,35,1210
Highbury - Dernancourt,100,178,427,258,234,47,1233
Hope Valley - Modbury,325,366,689,358,365,94,2188
Modbury Heights,239,358,813,458,459,89,2410
Redwood Park,135,335,691,440,418,87,2105
St Agnes - Ridgehaven,113,255,538,308,300,52,1559
Brighton (SA),110,308,551,276,218,62,1534
Glenelg (SA),210,596,855,354,309,175,2506
Edwardstown,279,437,728,311,285,121,2161
Hallett Cove,109,249,526,300,305,44,1537
Marino - Seaview Downs,89,196,397,254,217,44,1202
Mitchell Park,317,382,733,342,330,106,2209
Morphettville,229,418,720,314,325,104,2106
Sheidow Park - Trott Park,107,245,529,285,346,40,1556
Warradale,271,404,720,326,285,117,2122
Belair,20,67,157,84,76,18,425
Bellevue Heights,147,168,276,152,136,34,911
Blackwood,55,180,536,312,282,34,1400
Colonel Light Gardens,179,364,742,408,409,75,2179
Mitcham (SA),122,317,638,354,292,68,1792
Panorama,124,152,332,197,179,69,1049
Aberfoyle Park,87,220,514,294,252,37,1404
Aldinga,102,253,672,441,548,148,2158
Christie Downs,124,164,373,186,270,102,1216
Christies Beach,107,187,394,210,240,114,1236
Clarendon,13,36,72,55,51,5,232
Coromandel Valley,23,75,196,118,113,24,542
Flagstaff Hill,98,177,421,240,272,54,1263
Hackham - Onkaparinga Hills,57,94,258,158,155,22,741
Hackham West - Huntfield Heights,119,151,327,168,224,57,1046
Happy Valley,101,281,647,358,345,73,1806
Happy Valley Reservoir,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,3
McLaren Vale,29,81,215,114,126,27,591
Morphett Vale - East,158,278,570,354,322,89,1778
Morphett Vale - West,137,187,386,241,269,88,1308
Reynella,113,206,470,260,281,49,1385
Seaford (SA),243,439,1036,616,645,165,3138
Willunga,21,39,104,89,75,19,341
Woodcroft,113,219,494,303,247,39,1417
Beverley,156,192,385,185,187,64,1176
Flinders Park,239,329,644,318,328,95,1954
Henley Beach,162,339,562,290,302,95,1750
Hindmarsh - Brompton,340,582,956,353,350,160,2733
Royal Park - Hendon - Albert Park,91,164,285,130,138,43,854
Seaton - Grange,249,342,666,353,324,115,2056
West Lakes,141,287,510,260,246,75,1506
Woodville - Cheltenham,387,411,775,348,394,123,2441
Dry Creek - South,0,0,0,0,0,0,0
Largs Bay - Semaphore,160,354,717,345,266,86,1930
North Haven,203,300,578,281,313,79,1755
Port Adelaide,207,248,476,221,219,83,1449
The Parks,595,436,735,361,456,191,2771
Torrens Island,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0
Fulham,32,41,97,59,53,14,294
Lockleys,272,317,572,292,301,83,1829
Plympton,535,751,1223,545,518,192,3767
Richmond (SA),369,605,934,369,334,159,2775
West Beach,60,118,230,95,112,20,640
Barossa - Angaston,29,75,214,149,175,30,679
Light,64,114,342,229,293,48,1087
Lyndoch,41,75,238,168,157,48,724
Mallala,27,22,117,62,85,28,340
Nuriootpa,37,84,242,167,184,35,745
Tanunda,18,64,170,98,109,21,475
Clare,29,62,148,94,108,31,481
Gilbert Valley,25,42,126,107,133,36,468
Goyder,17,42,90,78,124,24,374
Wakefield - Barunga West,66,103,231,187,292,57,936
Jamestown,28,44,116,96,134,24,445
Peterborough - Mount Remarkable,31,40,119,90,134,32,448
Port Pirie,184,153,411,308,390,100,1547
Port Pirie Region,22,28,94,72,102,14,332
Kadina,43,56,162,129,141,45,578
Moonta,29,44,124,78,79,22,383
Wallaroo,26,27,103,68,111,17,345
Yorke Peninsula - North,40,35,152,112,180,29,547
Yorke Peninsula - South,18,22,86,70,67,21,285
Ceduna,38,53,105,58,45,52,352
Eyre Peninsula,41,57,193,145,189,45,669
Kimba - Cleve - Franklin Harbour,8,28,108,113,148,40,445
Le Hunte - Elliston,8,7,64,56,83,11,237
Port Lincoln,159,205,607,356,448,143,1916
West Coast (SA),33,36,89,88,86,54,385
Western,0,0,3,0,0,6,10
Whyalla,304,274,822,510,584,185,2684
Whyalla - North,0,0,0,0,0,0,0
APY Lands,24,68,114,67,45,60,379
Coober Pedy,29,34,50,25,24,41,204
Quorn - Lake Gilles,17,21,53,31,46,22,186
Outback,33,40,67,35,56,53,277
Port Augusta,211,214,423,291,315,144,1603
Roxby Downs,39,67,186,135,170,52,648
Goolwa - Port Elliot,61,96,263,166,189,53,833
Kangaroo Island,22,50,148,107,109,41,475
Strathalbyn,36,103,236,158,209,51,792
Strathalbyn Region,44,71,256,156,184,57,771
Victor Harbor,80,128,356,214,289,61,1129
Yankalilla,32,48,141,108,132,30,483
Grant,30,49,172,116,165,30,565
Kingston - Robe,18,37,111,71,87,25,358
Millicent,41,48,140,103,147,29,507
Naracoorte,72,106,235,159,139,39,748
Naracoorte Region,10,10,62,59,75,11,226
Penola,18,42,106,74,97,16,349
Tatiara,52,69,238,148,176,53,737
Wattle Range,27,20,89,59,116,21,323
Mount Gambier - East,149,201,595,366,391,95,1798
Mount Gambier - West,130,205,525,349,353,84,1648
Barmera,55,61,190,125,159,39,632
Berri,48,55,144,86,120,40,498
Karoonda - Lameroo,29,23,75,59,92,28,299
Loxton,53,60,177,122,130,25,568
Loxton Region,11,8,52,34,49,15,162
Mannum,48,42,173,87,136,38,518
Murray Bridge,272,276,590,348,394,143,2023
Murray Bridge Region,21,38,115,84,86,24,372
Renmark,75,66,153,87,100,50,534
Renmark Region,50,53,160,133,110,53,553
The Coorong,43,42,151,120,152,44,549
Waikerie,49,45,175,113,171,36,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0
No Usual Address (SA),75,74,69,27,34,76,353
Augusta,32,78,158,144,172,52,635
Busselton,241,327,947,605,811,186,3110
