SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Buloke,17,9,0,0,43,0,457,530
Gannawarra,15,11,0,0,34,0,525,583
Kerang,14,4,0,0,27,0,313,362
Robinvale,67,46,54,5,44,4,208,429
Swan Hill,87,81,23,3,118,0,1033,1347
Swan Hill Region,29,20,11,0,78,0,489,626
Echuca,53,39,5,3,109,0,1471,1673
Kyabram,39,29,0,0,81,0,1020,1174
Lockington - Gunbower,7,3,0,0,34,0,341,385
Rochester,13,4,0,0,18,0,326,361
Rushworth,14,9,0,0,19,0,279,328
Cobram,62,42,19,3,46,0,479,645
Moira,9,3,0,0,16,0,212,241
Numurkah,39,15,0,0,60,0,1128,1246
Yarrawonga,26,20,0,0,64,0,640,749
Mooroopna,58,33,18,3,53,0,807,979
Shepparton - North,315,188,84,10,184,4,1709,2490
Shepparton - South,301,255,174,55,210,10,1927,2934
Shepparton Region - East,20,3,3,0,18,0,340,392
Shepparton Region - West,50,29,27,4,79,4,924,1115
Glenelg (Vic.),21,9,0,0,61,0,712,800
Hamilton (Vic.),41,13,5,0,43,0,931,1028
Portland,42,11,0,0,78,0,1049,1191
Southern Grampians,24,0,0,0,32,0,527,584
Camperdown,6,6,0,0,21,0,313,341
Colac,42,35,18,0,60,4,1153,1307
Colac Region,13,3,6,0,30,0,488,535
Corangamite - North,8,0,0,0,37,0,446,490
Corangamite - South,24,8,0,0,45,0,612,691
Otway,27,6,5,0,32,0,266,334
Moyne - East,14,3,0,0,39,0,629,688
Moyne - West,41,19,10,4,68,0,885,1022
Warrnambool - North,98,59,28,3,141,6,2289,2622
Warrnambool - South,62,39,38,4,104,4,1303,1557
Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0
No Usual Address (Vic.),139,105,52,9,329,0,637,1271
Alexandra Hills,148,52,9,0,77,0,1994,2279
Belmont - Gumdale,126,26,8,0,28,5,689,883
Birkdale,131,38,8,0,52,0,1575,1812
Capalaba,201,81,20,3,60,3,1983,2344
Thorneside,41,7,0,0,23,0,441,523
Wellington Point,69,28,3,0,49,0,1162,1314
Cleveland,124,56,15,0,54,0,1211,1464
Ormiston,60,14,5,0,15,5,484,579
Redland Bay,122,21,0,0,110,0,1778,2034
Sheldon - Mount Cotton,58,17,0,0,34,0,1135,1255
Thornlands,111,40,11,0,56,4,1578,1799
Victoria Point,94,25,9,0,50,0,1381,1558
Redland Islands,29,15,3,0,48,0,572,677
Brisbane Port - Lytton,0,0,0,0,0,0,0,0
Manly - Lota,58,24,3,0,27,0,757,871
Manly West,97,44,7,0,62,3,1369,1579
Murarrie,82,43,6,0,29,0,520,686
Tingalpa,146,65,21,0,63,0,1051,1341
Wakerley,248,62,3,0,44,0,1167,1525
Wynnum,127,56,9,0,62,3,1508,1765
Wynnum West - Hemmant,220,99,20,0,87,3,1770,2208
Bald Hills,146,62,9,0,38,0,912,1165
Bridgeman Downs,166,41,4,0,21,0,621,858
Carseldine,260,97,16,0,49,0,802,1224
Everton Park,159,70,15,0,47,0,1209,1497
McDowall,127,35,4,0,34,0,786,995
Aspley,235,69,12,4,51,0,1156,1535
Chermside,366,227,50,5,102,6,900,1657
Chermside West,129,49,5,0,22,4,657,864
Geebung,55,19,5,0,25,0,540,650
Kedron - Gordon Park,265,145,30,0,155,0,1927,2521
Stafford,113,62,15,4,55,0,959,1211
Stafford Heights,79,21,9,0,40,3,788,941
Wavell Heights,144,61,17,0,54,0,1369,1641
Boondall,207,122,19,3,34,3,882,1271
Brisbane Airport,4,0,0,0,7,0,13,23
Eagle Farm - Pinkenba,25,8,0,0,25,0,90,151
Northgate - Virginia,144,48,11,0,69,0,920,1190
Nudgee - Banyo,172,95,11,3,61,0,1205,1547
Nundah,442,255,52,0,148,5,1687,2588
Bracken Ridge,357,136,30,10,80,4,1857,2473
Brighton (Qld),65,17,6,0,57,0,1166,1306
Deagon,39,12,4,0,28,0,441,526
Sandgate - Shorncliffe,60,13,3,0,34,0,633,739
Taigum - Fitzgibbon,551,284,38,0,89,4,1202,2171
Zillmere,258,165,43,9,77,5,976,1537
Camp Hill,192,43,10,0,84,0,1508,1843
Cannon Hill,111,65,24,0,101,0,754,1062
Carina,244,98,15,0,83,0,1434,1871
Carina Heights,180,74,20,10,37,0,850,1174
Carindale,411,141,27,0,56,6,1033,1687
Annerley,428,206,47,3,158,6,1445,2292
Coorparoo,453,216,41,5,177,5,2158,3045
Fairfield - Dutton Park,135,71,14,0,47,0,570,844
Greenslopes,332,161,30,0,96,5,1282,1907
Holland Park,162,56,20,4,60,3,1055,1361
Holland Park West,157,79,15,0,38,4,775,1074
Woolloongabba,209,133,42,0,118,0,584,1076
Yeronga,219,90,24,5,99,6,1022,1467
Eight Mile Plains,822,686,219,26,76,3,725,2559
Macgregor (Qld),265,273,89,9,34,5,208,874
Mansfield (Qld),245,107,45,0,47,0,707,1145
Mount Gravatt,412,214,55,6,131,8,1671,2489
Rochedale - Burbank,280,169,45,4,25,3,441,968
Upper Mount Gravatt,312,232,50,10,77,4,777,1466
Wishart,326,204,65,0,56,5,838,1490
Coopers Plains,244,228,58,0,54,0,342,927
Moorooka,292,146,43,7,83,8,1213,1791
Robertson,245,243,92,11,32,0,145,764
Salisbury - Nathan,174,87,21,0,55,0,796,1134
Tarragindi,189,52,9,0,60,0,1276,1579
Algester,298,214,59,4,43,0,728,1339
Calamvale - Stretton,1274,998,326,21,165,17,996,3802
Pallara - Willawong,220,90,29,5,33,0,403,783
Parkinson - Drewvale,740,417,93,9,59,9,1209,2529
Rocklea - Acacia Ridge,258,221,82,9,94,0,721,1385
Kuraby,403,248,77,11,38,5,421,1209
Runcorn,744,701,274,26,92,9,746,2596
Sunnybank,357,432,235,35,49,3,308,1429
Sunnybank Hills,770,764,297,36,123,8,811,2809
Jindalee - Mount Ommaney,166,50,12,0,23,0,702,953
Middle Park - Jamboree Heights,159,65,30,4,22,0,708,983
Riverhills,106,33,10,0,21,0,508,677
Seventeen Mile Rocks - Sinnamon Park,261,94,18,0,25,0,894,1293
Westlake,94,34,9,0,5,0,303,456
Bellbowrie - Moggill,185,48,12,0,44,0,1075,1370
Brookfield - Kenmore Hills,75,30,0,0,20,0,426,549
Chapel Hill,222,79,21,0,30,0,886,1239
Fig Tree Pocket,65,17,0,0,15,0,326,426
Kenmore,158,72,14,0,22,0,831,1087
Pinjarra Hills - Pullenvale,48,8,5,0,10,0,455,524
Chelmer - Graceville,102,29,0,0,28,0,793,957
Corinda,72,32,8,0,27,0,504,646
Indooroopilly,441,247,79,4,95,6,972,1837
Sherwood,122,45,16,0,54,0,629,870
St Lucia,401,384,56,0,93,4,546,1491
Taringa,336,165,28,3,65,3,937,1534
Enoggera,133,55,9,0,74,0,1123,1395
Enoggera Reservoir,0,0,0,0,0,0,3,7
Keperra,79,33,13,4,28,3,865,1023
Mitchelton,114,40,10,0,42,0,1207,1421
Mount Coot-tha,0,0,0,0,0,0,0,0
The Gap,184,41,21,0,80,0,1650,1978
Upper Kedron - Ferny Grove,125,32,5,0,34,0,1242,1439
Brisbane City,466,435,191,15,185,3,791,2090
Fortitude Valley,355,224,58,4,232,4,968,1853
Highgate Hill,212,110,23,0,91,0,674,1111
Kangaroo Point,313,170,40,0,126,6,1009,1663
New Farm,337,131,25,3,314,0,1832,2644
South Brisbane,367,285,74,5,129,3,707,1568
Spring Hill,303,338,105,12,129,0,502,1393
West End,371,146,23,0,198,4,1164,1912
Balmoral,63,15,0,0,55,0,588,722
Bulimba,119,39,5,0,96,0,935,1197
East Brisbane,156,86,26,4,84,0,766,1134
Hawthorne,84,27,3,0,25,0,712,851
Morningside - Seven Hills,292,131,54,0,170,3,2096,2750
Norman Park,113,26,3,0,70,0,911,1130
Albion,71,32,6,0,63,0,418,594
Alderley,96,56,10,0,53,0,848,1059
Ascot,128,54,4,0,36,0,520,745
Clayfield,274,160,35,0,106,3,1290,1871
Grange,46,13,8,0,25,0,562,648
Hamilton (Qld),156,81,17,0,127,0,743,1130
Hendra,63,20,0,0,30,0,508,618
Kelvin Grove - Herston,329,331,113,12,153,4,882,1824
Newmarket,107,72,12,0,33,0,598,823
Newstead - Bowen Hills,389,125,36,0,355,0,1792,2700
Wilston,53,22,4,0,35,0,496,608
Windsor,195,92,13,0,61,0,1039,1405
Wooloowin - Lutwyche,255,134,33,0,112,0,1249,1789
Ashgrove,145,65,11,0,90,0,1494,1802
Auchenflower,141,56,13,0,74,0,721,1004
Bardon,123,16,0,0,52,0,1162,1362
Paddington - Milton,216,78,18,0,120,0,1662,2097
Red Hill (Qld),85,33,8,7,84,0,910,1129
Toowong,355,216,22,0,144,4,1264,2004
Brinsmead,61,30,13,0,43,0,634,785
Clifton Beach - Kewarra Beach,155,57,19,0,99,0,1146,1471
Freshwater - Stratford,41,15,4,0,31,0,430,520
Redlynch,166,73,21,0,97,3,1502,1855
Trinity Beach - Smithfield,229,121,19,0,137,4,1693,2202
Yorkeys Knob - Machans Beach,73,30,3,0,98,0,638,847
Bentley Park,99,45,23,0,78,0,1059,1316
Cairns City,310,346,145,11,368,3,963,2153
Earlville - Bayview Heights,89,67,13,0,79,0,822,1068
Edmonton,124,58,13,7,107,11,1307,1624
Gordonvale - Trinity,45,22,7,0,64,0,982,1118
Kanimbla - Mooroobool,168,140,44,16,109,0,955,1428
Lamb Range,0,0,0,0,0,0,0,0
Manoora,149,90,32,0,158,6,604,1038
Manunda,93,79,47,7,123,0,478,825
Mount Sheridan,143,79,24,0,61,0,918,1222
Westcourt - Bungalow,134,144,67,14,119,7,530,1005
White Rock,61,44,17,0,67,7,520,708
Whitfield - Edge Hill,106,68,10,0,67,0,836,1091
Woree,86,56,14,0,78,3,448,687
Babinda,30,10,5,0,33,0,362,440
Innisfail,105,85,33,0,110,0,739,1079
Johnstone,33,35,8,0,56,0,746,875
Tully,101,65,26,0,110,9,837,1151
Wooroonooran,0,0,0,0,0,0,0,0
Yarrabah,27,3,0,0,8,3,264,305
Daintree,57,12,0,0,97,0,601,777
Port Douglas,64,52,10,0,134,5,561,827
Atherton,51,30,3,0,69,3,1002,1161
Herberton,7,9,0,0,65,0,414,500
Kuranda,37,11,0,0,33,0,409,492
Malanda - Yungaburra,23,3,0,0,43,0,710,787
Mareeba,99,61,30,5,128,5,993,1310
Balonne,16,10,4,0,38,0,481,548
Chinchilla,34,30,3,0,116,0,933,1113
Goondiwindi,26,16,7,0,80,0,731,866
Inglewood - Waggamba,12,9,3,0,37,0,395,467
Miles - Wandoan,24,10,0,0,56,0,414,504
Roma,63,35,5,0,115,0,857,1081
Roma Region,11,8,0,0,48,0,602,668
Tara,10,11,6,0,75,0,328,423
Crows Nest - Rosalie,16,8,0,0,52,0,769,841
Jondaryan,25,30,13,4,49,0,711,834
Millmerran,16,24,10,0,36,0,272,352
Pittsworth,16,9,4,0,33,0,523,585
Wambo,76,57,3,0,125,0,1832,2093
Clifton - Greenmount,21,8,0,0,39,0,471,531
Southern Downs - East,12,9,0,0,23,0,353,401
Southern Downs - West,9,7,3,0,28,0,365,407
Stanthorpe,18,37,20,0,23,0,471,575
Stanthorpe Region,15,5,0,0,19,0,502,553
Warwick,50,38,6,0,73,3,1471,1646
Central Highlands - East,44,19,7,0,110,0,936,1113
Central Highlands - West,36,17,0,0,116,0,875,1039
Emerald,132,70,8,0,236,5,1732,2183
Berserker,34,35,10,3,51,0,753,892
Bouldercombe,3,0,0,0,11,0,199,214
Emu Park,15,4,0,0,39,0,508,573
Frenchville - Mount Archer,49,42,11,0,51,0,991,1146
Glenlee - Rockyview,15,0,0,0,28,0,466,515
Gracemere,70,26,0,0,108,4,1566,1775
Lakes Creek,18,29,25,7,38,0,541,660
Mount Morgan,3,0,0,0,18,0,250,273
Norman Gardens,135,96,35,0,70,0,1096,1435
Park Avenue,27,25,3,0,34,0,576,658
Parkhurst - Kawana,50,40,12,4,44,0,788,947
Rockhampton - West,34,10,3,0,39,0,682,763
Rockhampton City,18,9,4,0,32,0,308,374
Rockhampton Region - East,11,3,0,0,22,0,297,338
Rockhampton Region - North,8,8,3,0,31,0,389,439
Rockhampton Region - West,0,0,0,0,26,0,299,328
Shoalwater Bay,0,0,0,0,0,0,0,0
The Range - Allenstown,75,29,3,0,73,0,744,927
Yeppoon,70,31,10,0,136,3,1894,2139
Banana,18,8,0,0,77,0,938,1042
Biloela,43,46,34,0,59,0,647,819
Agnes Water - Miriam Vale,23,5,0,0,53,0,481,564
Boyne Island - Tannum Sands,72,27,5,0,79,0,1241,1420
Callemondah,0,0,0,0,0,0,0,0
Clinton - New Auckland,151,107,14,0,112,3,1834,2214
Gladstone,84,69,12,0,94,0,579,833
Gladstone Hinterland,36,10,3,0,129,0,1407,1589
Kin Kora - Sun Valley,34,20,5,0,23,0,453,538
South Trees,0,0,0,0,0,0,0,0
Telina - Toolooa,51,25,4,0,70,0,843,993
West Gladstone,54,41,10,0,57,0,469,638
Broadbeach Waters,105,47,13,0,55,0,764,985
Burleigh Heads,103,41,8,0,128,0,1070,1351
Burleigh Waters,149,60,12,0,66,0,1598,1891
Mermaid Beach - Broadbeach,255,132,45,3,243,4,1483,2166
Mermaid Waters,160,95,19,0,104,0,1317,1705
Miami,116,43,7,0,97,0,1027,1285
Coolangatta,70,39,6,0,80,0,557,758
Currumbin - Tugun,109,47,8,5,130,0,1309,1609
Currumbin Waters,46,16,5,0,38,0,942,1047
Elanora,84,22,3,0,62,0,1234,1408
Palm Beach,130,45,18,0,155,4,1885,2233
Arundel,203,116,19,0,83,0,883,1301
Biggera Waters,183,110,38,5,122,0,831,1299
Coombabah,114,66,16,0,71,0,943,1214
Labrador,307,214,66,12,223,3,1767,2596
Paradise Point - Hollywell,85,32,6,0,54,0,833,1008
Runaway Bay,101,49,9,0,37,0,687,885
Guanaba - Springbrook,19,5,3,0,124,0,426,583
Tamborine - Canungra,75,25,0,0,107,0,1307,1523
Currumbin Valley - Tallebudgera,42,12,0,0,37,0,687,783
Mudgeeraba - Bonogin,182,50,14,0,124,0,2114,2478
Reedy Creek - Andrews,107,48,5,0,59,0,1007,1231
Carrara,152,70,20,0,76,0,1290,1613
Highland Park,71,22,5,0,53,0,961,1115
Nerang - Mount Nathan,221,81,11,0,143,0,2388,2843
Pacific Pines - Gaven,293,147,37,0,169,3,2340,2994
Worongary - Tallai,59,17,5,0,43,4,754,878
Coomera,200,67,16,5,156,3,1848,2297
Helensvale,189,76,16,0,121,0,1676,2077
Hope Island,138,61,22,0,107,0,912,1238
Jacobs Well - Alberton,10,9,0,0,18,0,370,412
Ormeau - Yatala,199,65,14,0,173,0,2669,3119
Oxenford - Maudsland,159,60,8,3,136,0,2034,2404
Pimpama,115,31,0,0,179,0,1384,1718
Upper Coomera - Willow Vale,438,153,36,0,293,3,4357,5277
Clear Island Waters,65,41,8,0,26,0,251,394
Merrimac,127,65,26,5,59,0,793,1070
Robina,393,224,72,6,163,5,2222,3074
Varsity Lakes,327,193,64,3,154,0,1731,2480
Ashmore,164,62,20,0,80,0,1183,1506
Molendinar,131,76,38,3,39,0,592,881
Parkwood,116,60,16,4,57,0,789,1048
Southport - North,397,405,137,12,215,0,1147,2317
Southport - South,368,360,103,10,161,5,1410,2418
Benowa,157,112,28,9,63,0,587,958
Bundall,65,31,13,0,40,0,406,559
Main Beach,67,28,3,0,66,0,317,485
Surfers Paradise,700,613,245,18,593,10,1756,3937
Darra - Sumner,154,111,66,9,85,3,393,828
Durack,303,203,151,10,103,7,383,1164
Forest Lake - Doolandella,1001,491,200,25,205,11,2430,4372
Inala - Richlands,493,452,499,76,264,15,765,2560
Oxley (Qld),213,84,32,9,88,5,885,1321
Wacol,66,53,38,3,260,0,203,613
Boonah,37,18,22,4,93,3,1131,1306
Esk,13,6,0,0,38,0,396,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0
Lockyer Valley - East,55,33,16,3,163,3,2023,2300
Lowood,49,23,8,3,122,0,1507,1706
Rosewood,25,14,3,0,82,0,1180,1302
Brassall,62,24,3,3,73,0,1390,1562
Bundamba,81,39,20,0,97,0,996,1233
Churchill - Yamanto,38,4,8,0,40,0,912,1011
Ipswich - Central,42,17,9,0,65,0,685,810
Ipswich - East,129,57,10,0,163,0,2022,2382
Ipswich - North,25,9,0,0,26,0,531,587
Karalee - Barellan Point,26,6,0,0,28,0,643,703
Karana Downs,43,9,0,0,30,0,709,798
Leichhardt - One Mile,51,26,7,0,113,0,902,1102
North Ipswich - Tivoli,26,17,4,0,46,0,764,852
Raceview,113,43,9,0,90,0,1959,2219
Ripley,36,12,0,0,56,0,702,809
Riverview,33,27,6,0,38,5,262,365
Bellbird Park - Brookwater,372,101,21,6,119,5,1795,2423
Camira - Gailes,127,48,25,0,75,0,953,1230
Carole Park,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,161,81,34,11,60,3,894,1241
Goodna,353,173,72,10,150,11,879,1648
New Chum,0,0,0,0,0,0,0,0
Redbank Plains,461,251,94,6,199,19,2104,3130
Springfield,161,54,19,0,53,0,836,1126
Springfield Lakes,582,187,50,0,119,3,2259,3201
Beaudesert,56,20,0,0,102,0,1389,1566
Beenleigh,76,44,16,4,81,0,883,1105
Eagleby,178,99,31,4,117,5,1268,1702
Edens Landing - Holmview,110,42,16,4,55,0,988,1215
Mount Warren Park,38,20,7,3,44,0,666,781
Wolffdene - Bahrs Scrub,43,21,0,0,40,0,700,809
Boronia Heights - Park Ridge,156,96,27,6,80,0,1223,1584
Browns Plains,220,112,40,0,72,0,705,1160
Chambers Flat - Logan Reserve,48,38,13,0,44,0,498,644
Crestmead,232,87,45,8,139,3,1316,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0
Hillcrest,154,67,27,7,36,0,850,1137
Marsden,366,159,105,9,227,5,1327,2211
Munruben - Park Ridge South,42,11,3,4,18,3,440,511
Regents Park - Heritage Park,332,171,46,3,104,9,1670,2343
Greenbank,91,36,20,0,61,4,1544,1756
Jimboomba,164,41,12,0,213,0,3320,3741
Logan Village,21,8,5,0,57,0,731,829
Bethania - Waterford,163,67,25,3,91,0,1195,1549
Cornubia - Carbrook,75,18,4,0,47,0,897,1040
Loganholme - Tanah Merah,119,45,17,3,93,0,1465,1737
Loganlea,255,107,54,6,130,8,957,1527
Shailer Park,170,53,19,3,60,0,1300,1597
Waterford West,139,64,28,3,60,4,695,1001
Daisy Hill,145,51,22,0,33,0,732,980
Kingston (Qld.),174,124,55,23,153,8,810,1346
Logan Central,113,91,108,35,44,8,378,777
Rochedale South - Priestdale,279,136,54,0,73,0,1840,2389
Slacks Creek,234,113,65,8,86,4,982,1499
Springwood,164,90,21,4,81,5,987,1345
Underwood,303,181,53,4,44,4,497,1094
Woodridge,308,251,227,47,94,17,831,1764
Bowen,48,78,69,13,98,0,838,1142
Broadsound - Nebo,49,29,8,0,178,0,984,1244
Clermont,21,8,0,0,55,0,465,546
Collinsville,11,9,0,0,57,0,320,398
Moranbah,91,39,3,0,176,0,1285,1592
Andergrove - Beaconsfield,122,53,10,0,95,0,1845,2119
East Mackay,32,24,0,0,29,0,365,452
Eimeo - Rural View,112,40,5,0,122,0,1721,1999
Eungella Hinterland,0,0,0,0,0,0,0,0
Mackay,73,67,12,5,76,0,314,558
Mackay Harbour,5,4,0,0,14,0,44,68
Mount Pleasant - Glenella,103,54,7,0,51,0,1146,1356
North Mackay,47,36,5,0,48,0,630,767
Ooralea - Bakers Creek,51,23,11,0,57,0,561,705
Pioneer Valley,25,0,0,0,79,0,1036,1147
Sarina,38,9,3,0,123,0,1240,1420
Seaforth - Calen,20,11,0,0,68,0,725,825
Shoal Point - Bucasia,31,10,0,0,41,0,783,863
Slade Point,26,8,0,0,21,0,372,425
South Mackay,55,66,14,0,47,7,707,900
Walkerston - Eton,27,9,5,0,60,0,909,1015
West Mackay,59,50,10,0,61,0,596,777
Airlie - Whitsundays,151,113,23,0,398,3,1589,2284
Cape Conway,0,0,0,0,0,0,0,0
Proserpine,27,14,3,0,67,0,824,943
Beachmere - Sandstone Point,42,16,6,0,101,0,1302,1470
Bribie Island,52,28,14,0,49,0,1096,1238
Burpengary - East,11,4,3,0,16,0,433,467
Caboolture,235,135,119,9,254,9,2913,3667
Caboolture - South,128,92,75,10,189,3,2527,3025
Elimbah,23,6,4,0,20,3,438,496
Morayfield - East,74,29,25,3,48,0,1017,1201
Wamuran,16,6,16,0,30,0,407,471
Kilcoy,21,49,10,0,34,5,454,578
Woodford - D'Aguilar,15,6,0,0,79,0,715,810
Burpengary,93,27,8,0,86,0,1567,1781
Deception Bay,183,67,9,0,178,5,2294,2738
Morayfield,14,6,0,0,16,0,437,474
Narangba,131,33,11,0,100,3,2556,2829
Upper Caboolture,8,0,0,0,22,0,293,334
Clontarf,59,21,3,0,58,0,888,1031
Margate - Woody Point,87,28,11,0,66,0,1271,1469
Redcliffe,84,36,10,0,85,0,896,1114
Rothwell - Kippa-Ring,164,60,8,0,92,3,1760,2086
Scarborough - Newport - Moreton Island,88,40,12,0,86,0,1023,1243
Albany Creek,142,38,4,0,48,0,1635,1876
Cashmere,243,62,14,0,57,4,2494,2882
Dayboro,35,4,5,0,66,0,918,1031
Eatons Hill,69,10,3,4,25,0,959,1070
The Hills District,210,53,10,5,83,5,3118,3472
Samford Valley,64,10,0,0,57,0,1097,1232
Dakabin - Kallangur,259,95,23,0,198,8,3145,3730
Murrumba Downs - Griffin,306,91,16,0,135,3,2347,2906
North Lakes - Mango Hill,762,280,40,0,244,6,3971,5309
Bray Park,132,45,13,0,47,0,1261,1496
Lawnton,62,24,8,0,39,0,733,863
Petrie,78,17,5,0,57,0,1100,1257
Strathpine - Brendale,173,85,25,13,67,0,1419,1783
Aurukun,122,39,0,0,3,0,18,182
Cape York,205,63,16,0,86,4,564,936
Croydon - Etheridge,3,0,0,0,23,0,113,139
Kowanyama - Pormpuraaw,78,0,0,0,6,3,185,274
Northern Peninsula,147,152,16,0,12,4,60,392
Tablelands,23,13,4,0,53,0,402,487
Torres,138,96,5,4,111,9,242,605
Torres Strait Islands,295,201,9,0,21,17,38,587
Weipa,39,23,4,0,61,0,544,674
Carpentaria,28,13,0,0,56,6,589,690
Mount Isa,229,105,8,0,310,5,2302,2972
Mount Isa Region,24,8,0,0,55,0,352,441
Northern Highlands,16,3,0,0,28,0,334,381
Barcaldine - Blackall,20,3,0,0,33,0,521,581
Charleville,11,6,12,6,36,5,462,546
Far Central West,10,5,0,0,32,0,220,256
Far South West,0,4,0,0,12,0,305,329
Longreach,11,5,0,0,40,0,421,479
Buderim - North,112,36,9,0,78,0,1527,1755
Buderim - South,118,66,12,0,66,0,1622,1876
Mountain Creek,117,45,13,0,73,0,1506,1750
Sippy Downs,95,63,22,0,68,5,1087,1346
Aroona - Currimundi,38,11,4,0,15,0,1106,1176
Buddina - Minyama,40,23,0,0,30,0,621,715
Caloundra - Kings Beach,56,40,18,0,59,0,489,669
Caloundra - West,135,31,12,0,108,0,2476,2759
Golden Beach - Pelican Waters,59,26,8,0,46,0,920,1056
Moffat Beach - Battery Hill,33,15,4,0,33,0,798,881
Parrearra - Warana,73,23,4,0,59,0,1010,1159
Wurtulla - Birtinya,78,14,7,0,57,0,882,1038
Coolum Beach,98,28,3,0,105,0,1764,2006
Marcoola - Mudjimba,79,23,9,0,60,3,1081,1252
Maroochydore - Kuluin,195,117,55,3,151,0,1977,2500
Mooloolaba - Alexandra Headland,123,70,15,0,155,0,1204,1564
Noosa Heads,39,26,4,0,25,0,326,417
Noosaville,67,26,8,0,48,0,659,807
Sunshine Beach,66,27,0,0,50,0,636,775
Tewantin,57,37,6,0,42,0,842,982
Peregian Beach - Marcus Beach,23,11,0,0,26,0,350,412
Peregian Springs,69,19,0,0,92,0,929,1104
Beerwah,32,13,8,5,53,0,916,1024
Caloundra Hinterland,36,15,0,0,28,0,603,686
Glass House Mountains,20,8,5,0,34,0,613,683
Landsborough,32,14,0,0,69,0,1131,1249
Maroochy Hinterland,29,0,0,0,33,0,475,532
Palmwoods,47,13,3,0,39,4,1060,1169
Bli Bli,53,10,3,0,56,0,1007,1128
Diddillibah - Rosemount,16,3,0,0,25,0,344,394
Eumundi - Yandina,59,16,9,0,61,0,1027,1176
Nambour,131,44,10,0,119,0,2201,2509
Noosa Hinterland,78,31,6,0,116,3,1947,2171
Cambooya - Wyreema,24,10,0,0,64,0,829,928
Darling Heights,297,249,93,22,95,5,1228,1988
Drayton - Harristown,70,77,11,4,89,3,1028,1294
Gatton,86,184,144,9,77,3,572,1070
Gowrie (Qld),12,0,0,0,35,0,822,872
Highfields,43,6,0,0,59,0,1398,1505
Lockyer Valley - West,38,16,3,0,88,0,1164,1307
Middle Ridge,77,33,13,0,16,0,636,785
Newtown (Qld),56,55,15,6,78,0,1106,1319
North Toowoomba - Harlaxton,27,12,4,0,55,0,656,748
Rangeville,89,35,9,0,48,0,805,988
Toowoomba - Central,117,77,27,0,107,4,1450,1784
Toowoomba - East,69,24,5,0,74,0,1008,1181
Toowoomba - West,72,51,11,6,88,0,1536,1763
Wilsonton,63,43,9,0,91,0,1393,1589
Ayr,42,25,13,4,59,0,854,998
Burdekin,26,8,14,0,30,0,703,779
Charters Towers,30,14,3,0,87,0,793,935
Dalrymple,4,4,0,0,48,0,381,430
Ingham,23,0,0,0,34,0,337,397
Ingham Region,11,5,0,0,45,0,495,547
Palm Island,14,0,0,0,8,0,294,315
Aitkenvale,64,38,30,3,40,0,483,664
Annandale,115,46,13,5,49,0,835,1060
Belgian Gardens - Pallarenda,26,8,0,0,35,0,311,380
Bohle Plains,68,11,0,0,50,0,1060,1185
Condon - Rasmussen,50,31,10,0,81,0,1248,1418
Cranbrook,76,51,26,0,46,0,535,733
Deeragun,130,51,6,0,205,0,3572,3969
Douglas,197,54,12,0,51,0,754,1070
Garbutt - West End,58,27,0,0,105,0,748,942
Gulliver - Currajong - Vincent,59,37,12,0,66,3,916,1093
Heatley,42,16,10,3,36,0,438,544
Hermit Park - Rosslea,69,36,13,0,55,0,635,805
Hyde Park - Pimlico,51,16,6,0,33,0,531,642
Kelso,70,13,7,0,111,4,1305,1504
Kirwan - East,50,24,15,0,47,0,848,988
Kirwan - West,128,39,8,0,107,5,1997,2283
Magnetic Island,14,10,0,0,25,0,170,217
Mount Louisa,111,33,4,0,68,0,1314,1533
Mundingburra,35,18,5,0,14,0,325,397
Northern Beaches,14,8,0,0,62,0,654,732
Oonoonba,97,34,9,0,45,0,889,1076
South Townsville - Railway Estate,43,22,0,0,81,0,618,772
Townsville - South,17,5,3,0,22,0,435,487
Townsville City - North Ward,133,52,15,0,158,0,1024,1388
Wulguru - Roseneath,23,13,0,0,155,0,561,763
Ashfield - Kepnock,26,14,4,3,26,0,546,612
Bargara - Burnett Heads,91,35,16,0,60,0,1532,1729
Branyan - Kensington,18,5,0,0,24,0,502,555
Bundaberg,70,82,43,0,71,0,540,814
Bundaberg East - Kalkie,39,26,3,0,31,0,618,718
Bundaberg North - Gooburrum,23,30,35,3,49,0,546,683
Bundaberg Region - North,17,12,19,0,78,0,746,868
Bundaberg Region - South,15,8,3,0,76,3,727,834
Millbank - Avoca,21,23,7,0,40,0,697,792
Svensson Heights - Norville,26,12,6,0,29,0,571,643
Walkervale - Avenell Heights,30,31,15,0,71,7,1123,1273
Gayndah - Mundubbera,33,40,21,0,72,0,538,705
Gin Gin,18,9,0,0,35,0,396,451
Kingaroy,44,31,9,0,66,0,1154,1301
Kingaroy Region - North,26,14,0,0,62,0,830,934
Kingaroy Region - South,11,3,7,0,26,0,377,419
Monto - Eidsvold,13,8,0,0,43,0,314,375
Nanango,25,4,0,0,61,0,744,835
North Burnett,0,0,0,0,0,0,0,0
Cooloola,18,6,3,0,32,0,384,444
