SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Seventeen Mile Rocks - Sinnamon Park,67,190,3,753,10,274,1293
Westlake,21,64,6,255,3,105,456
Bellbowrie - Moggill,69,215,7,741,7,327,1370
Brookfield - Kenmore Hills,29,59,0,302,3,155,549
Chapel Hill,86,157,14,632,7,344,1239
Fig Tree Pocket,24,48,3,229,3,122,426
Kenmore,81,149,12,591,9,247,1087
Pinjarra Hills - Pullenvale,25,63,3,309,4,110,524
Chelmer - Graceville,44,123,11,544,10,220,957
Corinda,36,110,9,326,3,163,646
Indooroopilly,113,168,19,887,11,649,1837
Sherwood,41,119,6,495,5,208,870
St Lucia,157,90,6,446,10,785,1491
Taringa,133,164,10,781,10,429,1534
Enoggera,99,224,12,734,5,317,1395
Enoggera Reservoir,0,0,0,0,0,4,7
Keperra,29,180,10,508,4,285,1023
Mitchelton,109,216,13,758,9,316,1421
Mount Coot-tha,0,0,0,0,0,0,0
The Gap,115,298,17,1098,10,443,1978
Upper Kedron - Ferny Grove,103,265,8,699,8,353,1439
Brisbane City,80,118,11,1087,11,780,2090
Fortitude Valley,54,149,6,1111,12,524,1853
Highgate Hill,95,123,14,554,5,321,1111
Kangaroo Point,61,158,17,1003,12,416,1663
New Farm,106,299,20,1588,14,623,2644
South Brisbane,92,133,7,815,7,514,1568
Spring Hill,43,87,3,766,14,488,1393
West End,160,233,12,949,9,542,1912
Balmoral,31,65,5,449,9,168,722
Bulimba,37,124,8,725,3,298,1197
East Brisbane,49,137,10,671,7,262,1134
Hawthorne,28,103,3,531,4,180,851
Morningside - Seven Hills,83,361,22,1700,19,569,2750
Norman Park,45,164,14,670,5,231,1130
Albion,14,73,7,359,5,131,594
Alderley,57,157,8,629,7,196,1059
Ascot,23,64,10,460,3,183,745
Clayfield,62,201,11,1123,6,464,1871
Grange,26,104,8,379,5,127,648
Hamilton (Qld),25,108,4,656,5,324,1130
Hendra,9,68,3,387,3,148,618
Kelvin Grove - Herston,98,225,15,739,14,733,1824
Newmarket,30,123,3,464,8,193,823
Newstead - Bowen Hills,99,330,26,1579,18,652,2700
Wilston,27,82,5,358,4,120,608
Windsor,47,243,11,817,16,280,1405
Wooloowin - Lutwyche,83,251,17,991,14,436,1789
Ashgrove,105,255,23,1012,5,397,1802
Auchenflower,70,119,7,553,4,249,1004
Bardon,74,185,6,795,0,294,1362
Paddington - Milton,120,247,18,1286,8,416,2097
Red Hill (Qld),72,148,14,617,0,272,1129
Toowong,134,221,15,1074,8,559,2004
Brinsmead,25,128,10,424,6,192,785
Clifton Beach - Kewarra Beach,47,164,12,814,15,422,1471
Freshwater - Stratford,19,107,4,255,0,134,520
Redlynch,66,342,25,960,8,447,1855
Trinity Beach - Smithfield,96,308,18,1192,8,582,2202
Yorkeys Knob - Machans Beach,22,111,3,430,4,269,847
Bentley Park,49,167,15,669,6,409,1316
Cairns City,38,220,14,1037,20,827,2153
Earlville - Bayview Heights,29,147,19,566,3,305,1068
Edmonton,31,216,17,799,19,537,1624
Gordonvale - Trinity,30,155,12,580,7,338,1118
Kanimbla - Mooroobool,36,173,14,759,12,434,1428
Lamb Range,0,0,0,0,0,0,0
Manoora,15,86,0,418,11,507,1038
Manunda,14,73,9,341,4,383,825
Mount Sheridan,30,161,20,668,9,329,1222
Westcourt - Bungalow,16,78,5,487,9,408,1005
White Rock,16,60,7,357,3,263,708
Whitfield - Edge Hill,32,173,13,590,7,272,1091
Woree,17,57,3,317,4,285,687
Babinda,7,62,4,214,3,143,440
Innisfail,6,100,11,472,5,477,1079
Johnstone,7,87,6,472,12,294,875
Tully,4,104,11,620,8,406,1151
Wooroonooran,0,0,0,0,0,0,0
Yarrabah,5,22,16,40,0,217,305
Daintree,9,87,15,388,3,267,777
Port Douglas,9,34,7,551,4,240,827
Atherton,12,168,18,571,4,386,1161
Herberton,0,41,5,192,3,264,500
Kuranda,8,49,3,235,4,187,492
Malanda - Yungaburra,8,90,14,407,8,254,787
Mareeba,10,163,28,619,8,490,1310
Balonne,3,77,13,299,0,161,548
Chinchilla,7,105,11,533,5,447,1113
Goondiwindi,4,93,19,501,8,246,866
Inglewood - Waggamba,0,40,3,251,0,164,467
Miles - Wandoan,4,61,11,259,0,172,504
Roma,8,164,41,550,6,307,1081
Roma Region,3,91,28,360,5,180,668
Tara,0,42,8,145,0,226,423
Crows Nest - Rosalie,9,91,16,383,8,335,841
Jondaryan,10,68,5,458,8,278,834
Millmerran,5,20,3,174,0,141,352
Pittsworth,3,54,9,336,0,175,585
Wambo,19,241,66,1054,13,709,2093
Clifton - Greenmount,9,37,7,294,3,185,531
Southern Downs - East,10,35,6,232,0,125,401
Southern Downs - West,0,32,5,216,5,159,407
Stanthorpe,4,47,4,321,3,196,575
Stanthorpe Region,3,48,10,280,10,200,553
Warwick,17,160,25,837,7,605,1646
Central Highlands - East,7,108,13,506,0,479,1113
Central Highlands - West,13,100,10,525,20,373,1039
Emerald,23,226,34,1125,14,767,2183
Berserker,23,98,11,416,7,347,892
Bouldercombe,3,31,0,108,3,67,214
Emu Park,5,50,9,282,0,228,573
Frenchville - Mount Archer,35,196,26,567,10,308,1146
Glenlee - Rockyview,26,93,5,274,0,103,515
Gracemere,25,246,20,845,6,633,1775
Lakes Creek,15,81,13,319,0,232,660
Mount Morgan,0,24,3,77,6,158,273
Norman Gardens,38,254,22,730,9,390,1435
Park Avenue,13,69,9,344,3,217,658
Parkhurst - Kawana,28,162,7,455,0,286,947
Rockhampton - West,22,128,10,357,4,246,763
Rockhampton City,4,36,4,168,5,158,374
Rockhampton Region - East,7,30,5,182,6,115,338
Rockhampton Region - North,10,42,6,236,3,137,439
Rockhampton Region - West,3,43,3,172,3,107,328
Shoalwater Bay,0,0,0,0,0,0,0
The Range - Allenstown,24,151,10,475,5,259,927
Yeppoon,54,262,45,1144,15,618,2139
Banana,6,119,16,581,5,317,1042
Biloela,4,88,29,447,5,242,819
Agnes Water - Miriam Vale,6,43,4,268,10,235,564
Boyne Island - Tannum Sands,5,168,25,695,3,519,1420
Callemondah,0,0,0,0,0,0,0
Clinton - New Auckland,23,221,32,1061,4,871,2214
Gladstone,10,49,7,368,0,394,833
Gladstone Hinterland,9,180,30,745,8,619,1589
Kin Kora - Sun Valley,3,55,8,288,0,183,538
South Trees,0,0,0,0,0,0,0
Telina - Toolooa,6,105,23,467,7,380,993
West Gladstone,5,61,11,283,0,279,638
Broadbeach Waters,18,74,12,629,11,245,985
Burleigh Heads,22,124,13,830,10,351,1351
Burleigh Waters,32,203,25,1231,10,391,1891
Mermaid Beach - Broadbeach,33,165,14,1351,16,574,2166
Mermaid Waters,25,156,10,1022,13,469,1705
Miami,14,138,23,822,12,283,1285
Coolangatta,21,49,10,453,4,223,758
Currumbin - Tugun,21,165,15,957,14,433,1609
Currumbin Waters,19,90,6,655,6,266,1047
Elanora,21,148,15,820,12,394,1408
Palm Beach,41,219,26,1339,16,593,2233
Arundel,29,110,10,718,6,422,1301
Biggera Waters,21,90,14,703,12,457,1299
Coombabah,29,95,9,686,8,391,1214
Labrador,51,184,18,1315,22,1005,2596
Paradise Point - Hollywell,19,94,6,617,9,262,1008
Runaway Bay,16,72,0,538,3,248,885
Guanaba - Springbrook,10,43,8,283,3,228,583
Tamborine - Canungra,44,169,19,819,7,460,1523
Currumbin Valley - Tallebudgera,7,80,3,460,7,218,783
Mudgeeraba - Bonogin,35,255,32,1452,14,673,2478
Reedy Creek - Andrews,18,147,20,744,5,302,1231
Carrara,35,135,12,984,14,435,1613
Highland Park,17,92,13,698,14,298,1115
Nerang - Mount Nathan,41,225,23,1705,21,834,2843
Pacific Pines - Gaven,45,289,28,1710,21,897,2994
Worongary - Tallai,14,75,13,513,6,253,878
Coomera,35,170,16,1230,8,835,2297
Helensvale,32,174,19,1279,16,552,2077
Hope Island,13,90,8,739,3,374,1238
Jacobs Well - Alberton,7,28,3,266,0,109,412
Ormeau - Yatala,48,358,19,1796,20,873,3119
Oxenford - Maudsland,50,239,17,1434,16,648,2404
Pimpama,28,99,11,876,5,698,1718
Upper Coomera - Willow Vale,92,445,28,3077,50,1590,5277
Clear Island Waters,4,27,3,241,0,116,394
Merrimac,9,77,4,684,15,277,1070
Robina,55,252,21,1804,14,931,3074
Varsity Lakes,41,193,13,1439,18,783,2480
Ashmore,21,154,16,868,14,438,1506
Molendinar,13,63,13,515,6,265,881
Parkwood,22,115,12,559,9,336,1048
Southport - North,53,152,13,1142,10,955,2317
Southport - South,49,160,17,1337,15,851,2418
Benowa,7,69,10,558,4,305,958
Bundall,7,17,8,370,0,154,559
Main Beach,12,41,4,268,0,157,485
Surfers Paradise,39,128,6,2200,42,1520,3937
Darra - Sumner,27,69,5,395,9,325,828
Durack,27,88,4,567,6,473,1164
Forest Lake - Doolandella,132,495,30,2363,30,1319,4372
Inala - Richlands,32,99,7,1013,32,1381,2560
Oxley (Qld),61,217,7,688,6,329,1321
Wacol,10,12,0,148,6,447,613
Boonah,14,111,23,718,17,427,1306
Esk,3,46,6,189,0,204,455
Lake Manchester - England Creek,0,0,0,0,0,0,0
Lockyer Valley - East,57,182,32,1071,17,937,2300
Lowood,31,150,12,815,8,686,1706
Rosewood,40,161,12,653,10,430,1302
Brassall,37,180,17,779,4,541,1562
Bundamba,26,100,11,600,13,501,1233
Churchill - Yamanto,49,143,18,459,7,338,1011
Ipswich - Central,36,115,17,336,4,304,810
Ipswich - East,60,245,30,1108,10,932,2382
Ipswich - North,20,84,10,326,9,143,587
Karalee - Barellan Point,27,127,15,377,9,152,703
Karana Downs,40,112,10,439,5,195,798
Leichhardt - One Mile,18,93,9,399,7,579,1102
North Ipswich - Tivoli,13,93,13,409,5,320,852
Raceview,62,290,24,1110,11,722,2219
Ripley,54,122,7,419,0,208,809
Riverview,3,16,3,128,5,214,365
Bellbird Park - Brookwater,110,292,17,1335,12,652,2423
Camira - Gailes,25,121,3,667,5,402,1230
Carole Park,0,0,0,0,0,0,0
Collingwood Park - Redbank,23,114,5,618,7,471,1241
Goodna,29,94,11,715,22,781,1648
New Chum,0,0,0,0,0,0,0
Redbank Plains,35,215,13,1542,31,1297,3130
Springfield,37,154,4,615,6,307,1126
Springfield Lakes,111,375,27,1814,18,847,3201
Beaudesert,12,115,27,767,4,640,1566
Beenleigh,9,74,10,510,8,497,1105
Eagleby,20,80,4,747,11,845,1702
Edens Landing - Holmview,22,118,7,620,11,442,1215
Mount Warren Park,10,80,6,420,5,267,781
Wolffdene - Bahrs Scrub,15,87,10,465,6,221,809
Boronia Heights - Park Ridge,25,116,13,820,18,601,1584
Browns Plains,15,84,3,575,11,467,1160
Chambers Flat - Logan Reserve,8,55,4,346,0,228,644
Crestmead,19,136,11,836,20,814,1836
Greenbank Military Camp,0,0,0,0,0,0,0
Hillcrest,23,98,11,651,10,345,1137
Marsden,24,127,15,990,17,1042,2211
Munruben - Park Ridge South,4,53,10,295,8,142,511
Regents Park - Heritage Park,36,225,8,1286,26,755,2343
Greenbank,53,244,14,970,15,468,1756
Jimboomba,53,411,31,2149,22,1072,3741
Logan Village,13,76,11,453,6,262,829
Bethania - Waterford,17,153,8,846,8,513,1549
Cornubia - Carbrook,21,164,11,611,0,230,1040
Loganholme - Tanah Merah,39,198,20,994,12,470,1737
Loganlea,13,142,7,658,12,692,1527
Shailer Park,39,212,19,916,10,405,1597
Waterford West,12,77,0,476,3,431,1001
Daisy Hill,23,131,10,559,8,250,980
Kingston (Qld.),16,78,4,477,19,752,1346
Logan Central,0,34,4,227,7,505,777
Rochedale South - Priestdale,84,350,15,1321,19,598,2389
Slacks Creek,21,119,13,668,11,667,1499
Springwood,39,150,15,737,7,396,1345
Underwood,26,102,4,579,9,373,1094
Woodridge,19,80,9,576,10,1069,1764
Bowen,9,96,16,598,15,409,1142
Broadsound - Nebo,5,126,18,574,3,518,1244
Clermont,0,55,13,285,9,180,546
Collinsville,0,37,0,198,10,154,398
Moranbah,4,158,47,756,9,602,1592
Andergrove - Beaconsfield,18,226,27,1164,16,667,2119
East Mackay,5,49,8,249,3,139,452
Eimeo - Rural View,33,223,27,1063,7,643,1999
Eungella Hinterland,0,0,0,0,0,0,0
Mackay,0,58,4,249,0,247,558
Mackay Harbour,0,7,0,35,3,24,68
Mount Pleasant - Glenella,17,188,14,764,5,360,1356
North Mackay,8,66,10,407,9,276,767
Ooralea - Bakers Creek,4,77,9,379,7,234,705
Pioneer Valley,8,123,11,571,7,419,1147
Sarina,13,106,24,716,8,557,1420
Seaforth - Calen,8,96,7,420,3,290,825
Shoal Point - Bucasia,9,113,3,429,6,296,863
Slade Point,6,38,0,228,3,155,425
South Mackay,8,77,10,497,3,296,900
Walkerston - Eton,9,102,14,587,3,301,1015
West Mackay,3,120,17,378,6,244,777
Airlie - Whitsundays,13,90,12,1434,20,714,2284
Cape Conway,0,0,0,0,0,0,0
Proserpine,4,83,23,550,7,286,943
Beachmere - Sandstone Point,13,137,14,711,9,586,1470
Bribie Island,11,125,11,607,14,468,1238
Burpengary - East,11,59,11,264,4,124,467
Caboolture,43,301,32,1730,25,1548,3667
Caboolture - South,32,204,20,1359,13,1401,3025
Elimbah,11,62,8,270,0,141,496
Morayfield - East,11,75,3,632,7,467,1201
Wamuran,7,62,8,278,6,114,471
Kilcoy,0,54,3,287,10,226,578
Woodford - D'Aguilar,14,75,10,424,4,283,810
Burpengary,25,192,17,968,13,564,1781
Deception Bay,31,221,9,1286,22,1168,2738
Morayfield,7,53,4,273,4,131,474
Narangba,61,419,15,1545,19,776,2829
Upper Caboolture,0,45,3,190,6,93,334
Clontarf,19,134,5,561,6,306,1031
Margate - Woody Point,28,153,13,726,8,539,1469
Redcliffe,26,117,7,535,8,423,1114
Rothwell - Kippa-Ring,30,186,6,1096,14,751,2086
Scarborough - Newport - Moreton Island,19,153,9,685,8,372,1243
Albany Creek,71,336,11,1050,9,392,1876
Cashmere,83,432,29,1702,15,621,2882
Dayboro,29,136,20,562,9,272,1031
Eatons Hill,41,179,6,613,11,218,1070
The Hills District,174,664,26,1925,20,665,3472
Samford Valley,38,169,7,683,11,321,1232
Dakabin - Kallangur,61,393,24,1969,22,1264,3730
Murrumba Downs - Griffin,55,356,16,1654,14,806,2906
North Lakes - Mango Hill,110,625,22,2972,30,1559,5309
Bray Park,39,177,12,822,11,440,1496
Lawnton,24,76,12,490,5,258,863
Petrie,29,180,17,687,8,336,1257
Strathpine - Brendale,46,169,11,943,14,596,1783
Aurukun,0,10,4,29,0,136,182
Cape York,3,91,58,285,7,485,936
Croydon - Etheridge,0,13,16,55,0,56,139
Kowanyama - Pormpuraaw,5,33,29,31,0,181,274
Northern Peninsula,0,56,30,123,0,183,392
Tablelands,0,40,4,256,7,181,487
Torres,23,130,12,194,11,229,605
Torres Strait Islands,0,80,44,87,6,371,587
Weipa,10,122,7,350,3,179,674
Carpentaria,5,102,37,196,11,350,690
Mount Isa,36,471,37,1424,16,989,2972
Mount Isa Region,0,66,9,211,3,147,441
Northern Highlands,0,34,32,203,0,111,381
Barcaldine - Blackall,3,112,29,287,10,143,581
Charleville,8,126,5,256,13,144,546
Far Central West,0,37,26,118,0,77,256
Far South West,3,39,39,161,0,83,329
Longreach,5,83,23,254,4,114,479
Buderim - North,51,167,6,1044,17,473,1755
Buderim - South,47,195,12,1121,16,489,1876
Mountain Creek,37,168,27,1031,7,482,1750
Sippy Downs,37,120,9,737,0,451,1346
Aroona - Currimundi,20,131,15,697,15,301,1176
Buddina - Minyama,15,79,10,416,6,193,715
Caloundra - Kings Beach,11,37,7,382,6,227,669
Caloundra - West,34,312,26,1608,22,762,2759
Golden Beach - Pelican Waters,18,77,20,618,16,313,1056
Moffat Beach - Battery Hill,14,100,11,515,8,241,881
Parrearra - Warana,25,118,14,669,5,339,1159
Wurtulla - Birtinya,17,96,9,621,3,282,1038
Coolum Beach,29,188,15,1204,9,557,2006
Marcoola - Mudjimba,13,100,12,739,7,373,1252
Maroochydore - Kuluin,36,180,20,1533,16,714,2500
Mooloolaba - Alexandra Headland,35,118,20,929,14,452,1564
Noosa Heads,0,14,0,274,4,120,417
Noosaville,4,39,8,512,6,228,807
Sunshine Beach,10,45,3,501,7,207,775
Tewantin,6,45,11,628,8,290,982
Peregian Beach - Marcus Beach,0,34,0,257,3,109,412
Peregian Springs,7,77,11,652,3,359,1104
Beerwah,13,92,6,561,6,345,1024
Caloundra Hinterland,12,64,0,381,8,227,686
Glass House Mountains,11,68,6,406,3,190,683
Landsborough,18,101,7,689,12,422,1249
Maroochy Hinterland,5,54,6,273,3,188,532
Palmwoods,18,142,16,652,5,337,1169
Bli Bli,16,128,14,666,3,297,1128
Diddillibah - Rosemount,9,43,0,216,3,121,394
Eumundi - Yandina,6,104,3,656,10,393,1176
Nambour,33,282,27,1312,18,842,2509
Noosa Hinterland,27,177,33,1214,18,702,2171
Cambooya - Wyreema,12,129,3,507,7,265,928
Darling Heights,42,236,16,910,7,779,1988
Drayton - Harristown,11,134,11,678,5,450,1294
Gatton,15,44,14,567,10,422,1070
Gowrie (Qld),25,117,9,485,3,235,872
Highfields,54,252,24,808,6,357,1505
Lockyer Valley - West,29,156,17,653,10,444,1307
Middle Ridge,17,146,6,400,4,208,785
Newtown (Qld),14,140,12,685,3,458,1319
North Toowoomba - Harlaxton,12,85,6,371,5,267,748
Rangeville,9,190,12,494,0,278,988
Toowoomba - Central,19,258,21,921,13,546,1784
Toowoomba - East,28,216,14,590,5,324,1181
Toowoomba - West,41,257,9,951,11,486,1763
Wilsonton,15,144,14,794,9,616,1589
Ayr,7,109,29,556,13,277,998
Burdekin,6,63,17,466,4,209,779
Charters Towers,7,132,23,417,0,358,935
Dalrymple,6,36,12,238,4,145,430
Ingham,0,28,19,206,0,139,397
Ingham Region,4,56,21,314,3,153,547
Palm Island,10,19,10,69,0,211,315
Aitkenvale,42,88,7,283,4,238,664
Annandale,97,210,10,461,7,277,1060
Belgian Gardens - Pallarenda,30,59,9,177,3,100,380
Bohle Plains,97,208,17,568,9,291,1185
Condon - Rasmussen,56,179,13,612,7,547,1418
Cranbrook,29,106,5,313,4,269,733
Deeragun,225,517,51,2034,31,1115,3969
Douglas,116,239,11,396,3,299,1070
Garbutt - West End,56,114,15,426,0,331,942
Gulliver - Currajong - Vincent,46,140,19,515,5,365,1093
Heatley,14,74,10,244,0,204,544
Hermit Park - Rosslea,55,115,8,377,4,242,805
Hyde Park - Pimlico,37,89,12,297,5,196,642
Kelso,64,167,12,677,11,579,1504
Kirwan - East,28,124,8,444,0,372,988
Kirwan - West,151,372,24,1114,9,607,2283
Magnetic Island,11,11,0,116,0,75,217
Mount Louisa,104,249,21,763,10,385,1533
Mundingburra,23,59,12,204,0,100,397
Northern Beaches,26,68,10,388,3,239,732
Oonoonba,86,192,16,539,9,228,1076
South Townsville - Railway Estate,37,118,11,341,5,250,772
Townsville - South,26,79,9,237,0,135,487
Townsville City - North Ward,105,245,23,598,3,413,1388
Wulguru - Roseneath,35,78,5,307,4,332,763
Ashfield - Kepnock,7,54,9,336,10,197,612
Bargara - Burnett Heads,21,258,16,913,9,512,1729
Branyan - Kensington,7,65,5,280,3,184,555
Bundaberg,7,71,7,340,9,383,814
Bundaberg East - Kalkie,7,80,7,384,3,230,718
Bundaberg North - Gooburrum,3,55,9,335,10,271,683
Bundaberg Region - North,4,63,7,386,5,395,868
Bundaberg Region - South,5,67,8,408,7,343,834
Millbank - Avoca,3,99,7,413,5,264,792
Svensson Heights - Norville,11,80,4,294,4,247,643
Walkervale - Avenell Heights,10,135,11,593,13,517,1273
Gayndah - Mundubbera,0,63,22,379,0,234,705
Gin Gin,0,40,4,170,9,230,451
Kingaroy,13,153,16,648,4,468,1301
Kingaroy Region - North,4,125,15,346,7,434,934
Kingaroy Region - South,0,46,9,219,0,133,419
Monto - Eidsvold,0,40,14,164,0,152,375
Nanango,4,67,18,321,7,420,835
North Burnett,0,0,0,0,0,0,0
Cooloola,0,15,0,220,4,205,444
Gympie - North,8,132,26,792,10,695,1666
Gympie - South,4,61,8,383,0,287,751
Gympie Region,20,140,29,914,11,758,1870
Kilkivan,4,28,4,161,4,149,356
Booral - River Heads,9,46,7,250,4,172,489
Craignish - Dundowran Beach,8,85,5,243,0,143,482
Pialba - Eli Waters,14,174,9,652,11,553,1408
Point Vernon,3,64,3,241,4,244,562
Torquay - Scarness - Kawungan,9,189,17,684,16,572,1485
Urangan - Wondunna,12,158,16,653,7,490,1335
Burrum - Fraser,13,74,9,375,4,407,882
Granville,5,28,5,142,0,143,318
Maryborough (Qld),19,211,20,750,5,819,1821
Maryborough Region - South,4,72,3,279,3,308,680
Tinana,11,94,17,265,4,214,604
Migratory - Offshore - Shipping (Qld),0,0,0,6,0,0,12
No Usual Address (Qld),16,49,3,510,9,925,1518
Adelaide,118,228,15,1162,11,1028,2560
North Adelaide,46,128,5,448,0,284,923
Adelaide Hills,15,76,6,381,0,160,640
Aldgate - Stirling,73,277,22,1112,5,396,1889
Hahndorf - Echunga,12,53,0,269,6,93,429
Lobethal - Woodside,26,99,9,571,4,245,953
Mount Barker,68,246,20,1368,16,660,2378
Mount Barker Region,20,74,8,434,3,204,739
Nairne,22,87,4,468,4,185,771
Uraidla - Summertown,26,62,4,339,5,128,574
Burnside - Wattle Park,72,233,9,1193,11,579,2109
Glenside - Beaumont,33,122,6,601,4,261,1033
Toorak Gardens,74,223,15,983,3,499,1794
Athelstone,35,128,7,653,6,230,1060
Paradise - Newton,74,280,16,1409,17,737,2534
Rostrevor - Magill,97,326,30,1619,18,830,2911
Norwood (SA),67,193,13,849,6,454,1580
Payneham - Felixstow,74,204,14,1000,12,452,1745
St Peters - Marden,76,229,16,983,14,435,1747
Nailsworth - Broadview,40,145,9,530,3,203,928
Prospect,80,268,22,1105,13,526,2017
Walkerville,53,106,3,418,8,222,814
Goodwood - Millswood,122,348,17,1416,15,624,2542
Unley - Parkside,129,389,23,1473,16,623,2655
Gawler - North,49,113,18,696,10,324,1203
Gawler - South,64,204,14,1245,11,734,2273
Lewiston - Two Wells,14,73,7,384,4,204,683
Craigmore - Blakeview,77,230,24,1406,11,908,2656
Davoren Park,38,122,12,1129,14,1418,2731
Elizabeth,6,36,0,343,4,867,1262
Elizabeth East,22,111,4,711,14,732,1598
Munno Para West - Angle Vale,42,153,17,1075,12,695,1981
One Tree Hill,12,23,4,126,3,44,206
Smithfield - Elizabeth North,14,57,4,552,12,928,1566
Virginia - Waterloo Corner,12,44,0,227,4,162,451
Enfield - Blair Athol,92,260,22,1742,41,1403,3561
Northgate - Oakden - Gilles Plains,135,481,30,2065,22,1277,4010
Windsor Gardens,104,382,32,1926,21,1094,3557
Dry Creek - North,0,0,0,0,0,0,0
Ingle Farm,51,205,11,1010,19,621,1919
Para Hills,42,165,9,1080,11,671,1977
Parafield,0,0,0,3,0,14,16
Parafield Gardens,37,175,10,1204,16,957,2398
Paralowie,43,157,13,1255,22,974,2458
Salisbury,22,125,12,984,14,1154,2309
Salisbury East,41,185,28,1159,13,773,2194
Salisbury North,65,163,9,1257,18,1137,2650
Mawson Lakes - Globe Derby Park,103,266,19,1338,10,743,2483
Pooraka - Cavan,23,95,4,543,11,418,1091
Golden Grove,53,174,4,747,3,260,1238
Greenwith,42,160,18,732,5,255,1210
Highbury - Dernancourt,55,182,17,706,7,268,1233
Hope Valley - Modbury,54,245,15,1218,4,652,2188
Modbury Heights,100,337,18,1336,11,607,2410
Redwood Park,63,271,29,1218,12,508,2105
St Agnes - Ridgehaven,66,219,10,903,3,349,1559
Brighton (SA),61,263,22,850,11,330,1534
Glenelg (SA),86,290,22,1487,15,596,2506
Edwardstown,88,267,24,1131,16,633,2161
Hallett Cove,44,186,20,901,12,375,1537
Marino - Seaview Downs,70,166,18,682,9,256,1202
Mitchell Park,78,253,14,1121,16,726,2209
Morphettville,70,293,21,1186,5,529,2106
Sheidow Park - Trott Park,60,217,11,941,5,319,1556
Warradale,79,241,18,1113,15,657,2122
Belair,34,54,9,245,3,82,425
Bellevue Heights,60,94,5,425,7,323,911
Blackwood,86,257,13,767,7,270,1400
Colonel Light Gardens,101,290,24,1288,6,462,2179
Mitcham (SA),87,264,11,1028,7,389,1792
Panorama,27,134,11,551,10,318,1049
Aberfoyle Park,57,194,16,795,12,327,1404
Aldinga,32,169,23,1144,7,784,2158
Christie Downs,27,83,8,552,12,537,1216
Christies Beach,32,109,9,606,4,475,1236
Clarendon,9,34,3,137,0,43,232
Coromandel Valley,35,81,5,308,0,112,542
Flagstaff Hill,53,221,4,675,3,302,1263
Hackham - Onkaparinga Hills,15,59,7,440,0,224,741
Hackham West - Huntfield Heights,18,56,3,486,0,475,1046
Happy Valley,66,246,20,1048,15,414,1806
Happy Valley Reservoir,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,3
McLaren Vale,13,64,7,369,0,135,591
Morphett Vale - East,43,167,15,957,6,586,1778
Morphett Vale - West,26,100,9,656,11,505,1308
Reynella,47,160,14,799,3,369,1385
Seaford (SA),62,312,46,1783,8,928,3138
Willunga,8,37,4,202,7,89,341
Woodcroft,40,165,16,906,11,288,1417
Beverley,37,173,8,626,3,318,1176
Flinders Park,76,215,21,1076,21,542,1954
Henley Beach,62,216,15,1019,11,429,1750
Hindmarsh - Brompton,137,369,31,1473,7,721,2733
Royal Park - Hendon - Albert Park,21,93,12,490,4,236,854
Seaton - Grange,48,257,20,1150,10,575,2056
West Lakes,42,175,14,851,9,420,1506
Woodville - Cheltenham,71,260,24,1305,15,765,2441
Dry Creek - South,0,0,0,0,0,0,0
Largs Bay - Semaphore,110,275,17,1085,10,428,1930
North Haven,72,175,20,946,8,532,1755
Port Adelaide,29,151,13,782,6,461,1449
The Parks,48,224,17,1317,22,1155,2771
Torrens Island,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0
Fulham,5,36,3,168,0,88,294
Lockleys,59,189,12,1038,14,526,1829
Plympton,121,394,19,2171,17,1054,3767
Richmond (SA),98,336,26,1530,15,767,2775
West Beach,15,87,5,383,0,148,640
Barossa - Angaston,21,42,10,423,5,187,679
Light,13,89,14,638,3,320,1087
Lyndoch,19,76,12,433,6,184,724
Mallala,10,15,0,174,6,136,340
Nuriootpa,7,46,10,492,3,186,745
Tanunda,7,34,0,330,0,107,475
Clare,3,49,5,321,0,111,481
Gilbert Valley,11,29,0,261,0,168,468
Goyder,0,19,8,217,0,137,374
Wakefield - Barunga West,9,62,11,497,8,349,936
Jamestown,0,54,3,263,3,115,445
Peterborough - Mount Remarkable,5,54,8,211,0,172,448
Port Pirie,13,152,15,762,8,601,1547
Port Pirie Region,8,56,0,169,0,96,332
Kadina,7,37,3,313,4,208,578
Moonta,4,26,4,212,4,139,383
Wallaroo,3,20,5,170,0,148,345
Yorke Peninsula - North,3,34,10,311,6,175,547
Yorke Peninsula - South,0,21,4,160,3,97,285
Ceduna,5,58,8,174,0,107,352
Eyre Peninsula,5,82,9,381,3,190,669
Kimba - Cleve - Franklin Harbour,3,58,11,255,8,121,445
Le Hunte - Elliston,0,27,8,139,0,68,237
Port Lincoln,14,185,19,1117,15,555,1916
West Coast (SA),5,45,7,178,3,146,385
Western,0,0,0,0,0,5,10
Whyalla,21,323,26,1255,9,1048,2684
Whyalla - North,0,0,0,0,0,0,0
APY Lands,3,45,4,79,0,249,379
Coober Pedy,4,26,9,86,0,82,204
Quorn - Lake Gilles,0,34,9,81,0,61,186
Outback,0,20,0,150,0,113,277
Port Augusta,48,243,27,677,8,595,1603
Roxby Downs,5,49,10,392,5,191,648
Goolwa - Port Elliot,3,43,14,458,7,301,833
Kangaroo Island,5,46,9,296,0,119,475
Strathalbyn,19,53,4,457,3,259,792
Strathalbyn Region,11,58,15,461,8,225,771
Victor Harbor,9,73,16,645,0,391,1129
